Feature	Gain	Cover	Frequency
ctrx_quarter	0.145539248134252	0.0194926612179946	0.00403305785123967
mcaja_ahorro	0.0493981409898934	0.0120278335145318	0.0030633608815427
mdescubierto_preacordado_delta1	0.0426994391219878	0.00326438287701691	0.000815426997245179
mdescubierto_preacordado	0.0204665852305912	0.00190785420402475	0.00105234159779614
mtarjeta_visa_consumo	0.0203748710782491	0.0113916714024968	0.00166391184573003
mcuentas_saldo	0.0192402500467616	0.00787168831972803	0.00346005509641873
foto_mes	0.0188313488260384	0.014870886913628	0.00689807162534435
mcuenta_corriente_deflactada	0.0140511244628849	0.00178166636273101	0.00303030303030303
ctarjeta_visa_transacciones	0.0130072670371597	0.0149549576878319	0.00272176308539945
mcaja_ahorro_deflactada	0.0117556409829378	0.00379050447094148	0.00202203856749311
mprestamos_personales_delta1	0.0103407921688067	0.00887256623827434	0.00391735537190083
Visa_status	0.0103127102543926	0.00373302258163014	0.000633608815426997
cpayroll_trx	0.0101737408817002	0.0138392161556425	0.00115151515151515
Visa_Finiciomora	0.00917403453320339	0.00713179881506921	0.00164738292011019
mprestamos_personales	0.00885941009631243	0.00839705412335202	0.00301928374655647
ctarjeta_visa	0.00853668913181699	0.00194029715526717	0.00040771349862259
ctrx_quarter_delta1	0.00841552011913922	0.00895508239128887	0.00709641873278237
mtarjeta_visa_consumo_deflactada	0.00684201363028591	0.0035942668885815	0.00127272727272727
mpayroll	0.00652063671395521	0.0103394648203947	0.00152066115702479
mprestamos_personales_deflactada	0.0053775041965351	0.00556646349384121	0.00274380165289256
mcuentas_saldo_deflactada	0.00500495538769722	0.00827306056287794	0.00334986225895317
cproductos_delta1	0.00484324312042298	0.00966593212576957	0.00179614325068871
Visa_mfinanciacion_limite	0.00454785661884166	0.00169339570128573	0.00219834710743802
Visa_mpagospesos	0.0044537837865635	0.00282232562245511	0.00200550964187328
mdescubierto_preacordado_deflactada	0.00436648948286502	0.00494381521591081	0.00396143250688705
mpayroll_deflactada	0.00418797090612137	0.00888979230793484	0.00120110192837466
Master_Finiciomora	0.00380936973701233	0.00324581720698991	0.000947658402203857
cproductos	0.00361132795353919	0.00510603646767009	0.00267768595041322
cliente_edad	0.00349586044623277	0.00622378318133886	0.00620936639118457
cliente_edad_lag1	0.00348659004743053	0.00537049514280518	0.00589531680440771
ccaja_ahorro	0.00343720867700907	0.00649228038703913	0.00220936639118457
Visa_Finiciomora_delta1	0.00340417008544687	0.00186985142864827	0.000462809917355372
mactivos_margen	0.00337243895723325	0.00325857780044797	0.00446831955922865
mrentabilidad_annual_delta1	0.00333823790707719	0.00238356950209053	0.00563085399449036
Visa_delinquency	0.00331350791604049	0.000971078533586566	0.000203856749311295
mcuentas_saldo_delta1	0.00325438894925147	0.00703130590140165	0.00517355371900827
mcuenta_corriente	0.0031135717433932	0.00397182718430952	0.00287603305785124
numero_de_cliente	0.00310796636444897	0.00655650459359817	0.00601652892561983
mrentabilidad_annual_lag1	0.00306347909752189	0.00302913449534944	0.00548209366391185
mrentabilidad_annual	0.00305019407746413	0.00169125963756633	0.00430853994490358
Master_fechaalta	0.00282690026332849	0.00193465926315509	0.00400550964187328
mactivos_margen_deflactada	0.00272761631580756	0.0028467135488627	0.00344903581267218
ctarjeta_visa_delta1	0.00271516280182808	0.00051705617762284	5.50964187327824e-05
mcuenta_corriente_delta1	0.00265764519349221	0.00358690093810023	0.004
mrentabilidad	0.00265762040742637	0.000856990986064188	0.00291460055096419
mcaja_ahorro_lag1	0.0026464661291816	0.00285938976091371	0.00347107438016529
mrentabilidad_annual_deflactada	0.00254613123348651	0.00206436004204834	0.0042038567493113
chomebanking_transacciones	0.00252642529622802	0.00171939446268335	0.00415426997245179
Visa_fechaalta	0.00252482021495063	0.00260966820746131	0.00392837465564738
