Feature	Gain	Cover	Frequency
ctrx_quarter	0.117962779709625	0.0113932065850722	0.00316875776131546
mcuentas_saldo	0.0581747848845649	0.0155011088958131	0.00620905237014516
mv_status04	0.0350449425307448	0.000780620998237226	0.000556673660771635
mtarjeta_visa_consumo	0.0263908434359819	0.0052076618447313	0.00119898942320045
ctarjeta_visa_transacciones	0.0261384658298502	0.00535412193224607	0.00188412623645784
cproductos_delta2	0.0253375022917019	0.006075125415242	0.00252644199888665
cpayroll_trx	0.0252615126492251	0.0129453486561662	0.00128463152485762
mcaja_ahorro	0.0234879159763196	0.00446350980688296	0.00282618935468676
mpasivos_margen	0.0232080160578719	0.00517499838606005	0.00265490515137241
mv_status04_delta1	0.012404025202524	0.000859989073140666	0.000299747355800111
cpayroll_trx_lag1	0.00966551484455076	0.00321562538614423	0.000899242067400334
mdescubierto_preacordado	0.0083634187627564	0.00247469287976717	0.00128463152485762
mpayroll_lag1	0.00697161729453507	0.00471692943735057	0.00137027362651479
mprestamos_personales_lag1	0.00672594256108393	0.00284457345009053	0.00167002098231491
mv_msaldopesos	0.00657430294083051	0.0016091314853529	0.000856421016571747
foto_mes	0.00648907356972879	0.00601728937599736	0.00638033657345951
mcaja_ahorro_lag1	0.00573727276553526	0.00157553145138353	0.00218387359225795
mpasivos_margen_lag2	0.00526903372518229	0.00144642947512438	0.00226951569391513
mdescubierto_preacordado_delta2	0.00514910661447378	0.00628241375495142	0.00171284203314349
mactivos_margen	0.00513695516115404	0.00508656084818222	0.00415364193037297
cprestamos_personales	0.00472521214095176	0.00168299822213667	0.0010277052198861
cprestamos_personales_delta2	0.00434631013778964	0.00353220134382646	0.000899242067400334
mprestamos_personales	0.00390777912349812	0.0103988673803811	0.00252644199888665
Master_fechaalta	0.00385740911213823	0.00088445067265006	0.00196976833811502
mautoservicio	0.00381553519284739	0.0049638760938952	0.00111334732154327
ctarjeta_debito_transacciones	0.00352709254352263	0.00201641931565042	0.00064231576242881
mprestamos_personales_delta1	0.00349489290754954	0.00672495176201114	0.00261208410054383
mcuenta_corriente_lag2	0.00333205414804477	0.00251853230553531	0.0030402946088297
mcaja_ahorro_dolares_delta2	0.00330316059184141	0.0041288049815936	0.0023551577955723
mrentabilidad_annual_lag2	0.00316594793138345	0.00136340160076662	0.00381107352374427
ctrx_quarter_delta2	0.00305237573169474	0.00423731580820992	0.00449621033700167
mvr_msaldototal	0.00295883508905074	0.001823113220358	0.00137027362651479
mes	0.00290470543221586	0.00289010296463691	0.00351132616794416
mprestamos_personales_delta2	0.00284820449018936	0.0063477642375515	0.00226951569391513
ctrx_quarter_delta1	0.00275418674688756	0.00295728981304093	0.00368261037125851
cpayroll_trx_lag2	0.00268139897438495	0.0017494738020955	0.000513852609943048
cproductos	0.00257335923429831	0.00323934726647063	0.00196976833811502
mcuentas_saldo_delta2	0.00254976045361531	0.00408374964601068	0.00363978932042992
mrentabilidad	0.00253873845546748	0.00206374553739652	0.00274054725302959
numero_de_cliente	0.00252876470559363	0.00437189613209354	0.00475313664197319
cprestamos_personales_delta1	0.00245348840054926	0.000357091245225952	0.000385389457457286
mdescubierto_preacordado_delta1	0.00244591505076322	0.00619589391175428	0.00119898942320045
Visa_mpagominimo	0.00240590725490288	0.00225027460946697	0.00167002098231491
ccaja_ahorro	0.00240010301696751	0.00436103341049372	0.00184130518562926
mcuenta_corriente	0.00239041569388444	0.00184421906971207	0.00334004196462981
chomebanking_transacciones_delta2	0.00238543077399117	0.00356874588546831	0.00419646298120156
mcuenta_corriente_lag1	0.00236504782124756	0.000876004539476726	0.00291183145634394
cliente_edad_lag2	0.00235984557610822	0.00374021302199104	0.00432492613368732
mrentabilidad_annual_delta1	0.00229303395789534	0.00234128851971292	0.00423928403203015
ccomisiones_mantenimiento_delta1	0.00221992804901723	0.00208376594799606	0.00119898942320045
mcuentas_saldo_lag1	0.00202002855209471	0.00158511388978202	0.00299747355800111
tmobile_app_delta2	0.00201693672609652	0.000593213976631403	0.0020125893889436
mpayroll	0.00200927942439276	0.00919602133973511	0.00145591572817197
mactivos_margen_lag1	0.00196036651229724	0.00255869986183917	0.002697726202201
mcaja_ahorro_lag2	0.00196016950977781	0.00258294764974322	0.00329722091380122
mvr_msaldopesos2	0.00195337607870905	0.000650087288889631	0.0023551577955723
mcuentas_saldo_delta1	0.00193931615054019	0.00510147880575377	0.00321157881214405
mpagomiscuentas	0.00193860141296346	0.00785452996827329	0.00115616837237186
mv_msaldototal_lag2	0.00187822921406126	0.000423408190767915	0.000770778914914572
tcallcenter	0.00182634816840318	0.000473785251226781	0.000385389457457286
Visa_status_delta2	0.00182622565282573	0.000893387940277061	0.000256926304971524
ccomisiones_mantenimiento_delta2	0.001804880579108	0.00269366498913616	0.00162719993148632
mcomisiones_otras_lag1	0.00179322405617885	0.00142309527202326	0.00192694728728643
mcuenta_corriente_delta2	0.00178949834946576	0.00645981473828473	0.00329722091380122
mrentabilidad_annual	0.00173904676053818	0.00325439483295885	0.00278336830385818
mttarjeta_visa_debitos_automaticos_delta2	0.00173666726386846	0.00324022349171886	0.00274054725302959
mrentabilidad_annual_delta2	0.00171972752103126	0.00414611395066574	0.00312593671048688
cliente_antiguedad_lag1	0.0016553412770597	0.000938180322071163	0.00218387359225795
mrentabilidad_lag1	0.00164724815684864	0.00140734994400577	0.002697726202201
mv_status06	0.00164347416505259	0.000278114870884446	0.000727957864085985
mcuentas_saldo_lag2	0.0016333277980153	0.000971401300250964	0.00248362094805807
mpasivos_margen_lag1	0.00162074415919438	0.00305510086319214	0.00214105254142937
mtransferencias_recibidas	0.00159299216277919	0.00263293904464514	0.00175566308397208
mv_Finiciomora	0.00158102609888696	0.00290425217752528	0.00107052627071468
mcomisiones	0.00157516417647861	0.00319299095624069	0.00261208410054383
chomebanking_transacciones	0.00157141746096815	0.0019552663227111	0.00179848413480067
