fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211114 184204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	321	TRUE	0.0485679609421641	0.812200082595518	6848	557	0.0331860443708	1	5443750
20211114 184422	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	201	TRUE	0.0694525726698339	0.401175229586079	3844	906	0.0283154661779351	2	5521250
20211114 184652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	396	TRUE	0.0280438727512956	0.160725437295332	6456	657	0.0341986559882169	3	4992500
20211114 184927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	0.0426151562482119	0.566880352397857	4333	491	0.0294787142343066	4	4897500
20211114 185144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	216	TRUE	0.0769388209364843	0.349702172529942	3299	713	0.0323408065744437	5	5770000
20211114 185329	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	154	TRUE	0.0868696545087732	0.312519602611428	2060	213	0.0335542667771334	6	5538750
20211114 185452	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0846899416751694	0.95427214524243	2866	601	0.0290937544458671	7	5655000
20211114 185617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	150	TRUE	0.0730772462580353	0.630408691486809	5420	413	0.0392868201484606	8	5832500
20211114 185731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	0.0985639136622194	0.243620223802282	2260	1020	0.0243570753098508	9	5012500
20211114 190055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	285	TRUE	0.0344197078992147	0.534330553532345	5829	795	0.0343492924271715	10	5270000
20211114 190237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0513272671634331	0.69484128067561	1470	749	0.0288594310963822	11	5290000
20211114 190444	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	145	TRUE	0.0368544003763236	0.489423041073314	1028	130	0.0314286192496632	12	5406250
20211114 190633	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.0904848694708198	0.873797504692629	348	249	0.0332529938992242	13	5883750
20211114 191046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	643	TRUE	0.0225729210360441	0.723101025544747	7367	292	0.0364163591172705	14	5411250
20211114 191253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.0644040121824946	0.909390308032744	7800	946	0.0342153933703229	15	5590000
20211114 191524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	469	TRUE	0.0586509651492815	0.136960567996721	4809	353	0.0256876971872829	16	5113750
20211114 191754	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	245	TRUE	0.077836799595533	0.611231312940232	2925	387	0.0247252977161842	17	5257500
20211114 191851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.0894301315396323	0.88396818764765	718	310	0.0332111504439591	18	5540000
20211114 192023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.0804243559326813	0.870108716613512	1114	212	0.0295038203074657	19	5393750
20211114 192347	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	432	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0309181290954282	20	5532500
20211114 192532	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	198	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0332697312813303	21	5481250
20211114 192744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	259	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.0278384507879123	22	5292500
