semilla	subsamping	oficial	meseta	ganancia
999983	0.1	1	9771	13236250
999983	0.1	0	5000	10850000
999983	0.1	0	5500	11025000
999983	0.1	0	6000	11500000
999983	0.1	0	6500	11775000
999983	0.1	0	7000	12300000
999983	0.1	0	7500	12625000
999983	0.1	0	8000	12800000
999983	0.1	0	8500	12875000
999983	0.1	0	9000	13050000
999983	0.1	0	9500	13175000
999983	0.1	0	10000	13400000
999983	0.1	0	10500	13425000
999983	0.1	0	11000	12950000
999983	0.1	0	11500	12825000
999983	0.1	0	12000	12600000
999983	0.1	0	12500	12425000
999983	0.1	0	13000	12400000
999983	0.1	0	13500	11925000
999983	0.1	0	14000	11700000
999983	0.1	0	14500	11325000
999983	0.1	0	15000	11100000
687683	0.1	1	9771	12736250
687683	0.1	0	5000	10650000
687683	0.1	0	5500	10825000
687683	0.1	0	6000	11350000
687683	0.1	0	6500	11675000
687683	0.1	0	7000	11650000
687683	0.1	0	7500	11775000
687683	0.1	0	8000	12300000
687683	0.1	0	8500	12575000
687683	0.1	0	9000	12450000
687683	0.1	0	9500	12725000
687683	0.1	0	10000	12850000
687683	0.1	0	10500	12925000
687683	0.1	0	11000	13050000
687683	0.1	0	11500	13175000
687683	0.1	0	12000	12900000
687683	0.1	0	12500	12475000
687683	0.1	0	13000	12350000
687683	0.1	0	13500	11925000
687683	0.1	0	14000	11450000
687683	0.1	0	14500	11325000
687683	0.1	0	15000	11050000
771941	0.1	1	9771	13136250
771941	0.1	0	5000	10600000
771941	0.1	0	5500	11075000
771941	0.1	0	6000	11850000
771941	0.1	0	6500	12275000
771941	0.1	0	7000	12500000
771941	0.1	0	7500	12725000
771941	0.1	0	8000	13200000
771941	0.1	0	8500	13275000
771941	0.1	0	9000	13250000
771941	0.1	0	9500	13125000
771941	0.1	0	10000	12950000
771941	0.1	0	10500	12975000
771941	0.1	0	11000	12850000
771941	0.1	0	11500	12625000
771941	0.1	0	12000	12550000
771941	0.1	0	12500	12375000
771941	0.1	0	13000	12250000
771941	0.1	0	13500	12125000
771941	0.1	0	14000	1.2e+07
771941	0.1	0	14500	11725000
771941	0.1	0	15000	11300000
273313	0.1	1	9771	13036250
