semilla	subsamping	oficial	meseta	ganancia
999983	1	1	9559	12951250
999983	1	0	5000	11200000
999983	1	0	5500	11725000
999983	1	0	6000	12100000
999983	1	0	6500	12375000
999983	1	0	7000	12500000
999983	1	0	7500	12925000
999983	1	0	8000	1.3e+07
999983	1	0	8500	13175000
999983	1	0	9000	12900000
999983	1	0	9500	12975000
999983	1	0	10000	13050000
999983	1	0	10500	12975000
999983	1	0	11000	12600000
999983	1	0	11500	12525000
999983	1	0	12000	12200000
999983	1	0	12500	12075000
999983	1	0	13000	12100000
999983	1	0	13500	12075000
999983	1	0	14000	11800000
999983	1	0	14500	11525000
999983	1	0	15000	11100000
687683	1	1	9559	12151250
687683	1	0	5000	11300000
687683	1	0	5500	11325000
687683	1	0	6000	11550000
687683	1	0	6500	11675000
687683	1	0	7000	11850000
687683	1	0	7500	12075000
687683	1	0	8000	12050000
687683	1	0	8500	12075000
687683	1	0	9000	1.2e+07
687683	1	0	9500	12075000
687683	1	0	10000	12150000
687683	1	0	10500	12325000
687683	1	0	11000	12300000
687683	1	0	11500	12625000
687683	1	0	12000	12750000
687683	1	0	12500	12725000
687683	1	0	13000	12500000
687683	1	0	13500	12175000
687683	1	0	14000	11750000
687683	1	0	14500	11475000
687683	1	0	15000	11200000
771941	1	1	9559	12901250
771941	1	0	5000	10150000
771941	1	0	5500	10825000
771941	1	0	6000	11300000
771941	1	0	6500	11575000
771941	1	0	7000	11800000
771941	1	0	7500	12275000
771941	1	0	8000	12450000
771941	1	0	8500	12825000
771941	1	0	9000	12850000
771941	1	0	9500	12875000
771941	1	0	10000	13050000
771941	1	0	10500	12825000
771941	1	0	11000	12800000
771941	1	0	11500	12725000
771941	1	0	12000	12350000
771941	1	0	12500	11975000
771941	1	0	13000	11550000
771941	1	0	13500	11125000
771941	1	0	14000	11050000
771941	1	0	14500	10675000
771941	1	0	15000	10250000
273313	1	1	9559	13001250
273313	1	0	5000	10450000
273313	1	0	5500	11025000
273313	1	0	6000	11300000
273313	1	0	6500	11475000
273313	1	0	7000	12250000
273313	1	0	7500	12325000
273313	1	0	8000	12650000
273313	1	0	8500	12825000
273313	1	0	9000	12900000
273313	1	0	9500	12975000
273313	1	0	10000	12850000
273313	1	0	10500	12725000
273313	1	0	11000	12500000
273313	1	0	11500	12225000
273313	1	0	12000	12150000
273313	1	0	12500	11875000
273313	1	0	13000	11700000
273313	1	0	13500	11525000
273313	1	0	14000	11300000
273313	1	0	14500	10925000
273313	1	0	15000	10450000
346469	1	1	9559	12951250
346469	1	0	5000	11200000
346469	1	0	5500	12125000
346469	1	0	6000	12500000
346469	1	0	6500	12675000
346469	1	0	7000	12900000
346469	1	0	7500	12825000
346469	1	0	8000	12750000
346469	1	0	8500	12725000
346469	1	0	9000	12800000
346469	1	0	9500	12925000
346469	1	0	10000	12550000
346469	1	0	10500	12425000
346469	1	0	11000	12350000
346469	1	0	11500	12325000
346469	1	0	12000	12300000
346469	1	0	12500	12325000
346469	1	0	13000	12200000
346469	1	0	13500	12025000
346469	1	0	14000	11700000
346469	1	0	14500	11275000
346469	1	0	15000	11100000
964823	1	1	9559	12901250
964823	1	0	5000	10450000
964823	1	0	5500	10875000
964823	1	0	6000	11250000
964823	1	0	6500	11825000
964823	1	0	7000	12300000
964823	1	0	7500	12375000
964823	1	0	8000	12700000
964823	1	0	8500	13025000
964823	1	0	9000	13100000
964823	1	0	9500	12925000
964823	1	0	10000	12900000
964823	1	0	10500	13275000
964823	1	0	11000	13300000
964823	1	0	11500	13075000
964823	1	0	12000	13100000
964823	1	0	12500	12675000
964823	1	0	13000	12500000
964823	1	0	13500	12275000
964823	1	0	14000	12100000
964823	1	0	14500	11775000
964823	1	0	15000	11400000
721577	1	1	9559	12651250
721577	1	0	5000	10500000
721577	1	0	5500	11025000
721577	1	0	6000	11450000
721577	1	0	6500	11825000
721577	1	0	7000	12250000
721577	1	0	7500	12425000
721577	1	0	8000	12150000
721577	1	0	8500	11975000
721577	1	0	9000	12450000
721577	1	0	9500	12675000
721577	1	0	10000	12450000
721577	1	0	10500	12425000
721577	1	0	11000	12650000
721577	1	0	11500	12525000
721577	1	0	12000	12250000
721577	1	0	12500	12025000
721577	1	0	13000	11850000
721577	1	0	13500	11675000
721577	1	0	14000	11500000
721577	1	0	14500	11375000
721577	1	0	15000	11150000
217849	1	1	9559	12651250
217849	1	0	5000	10850000
217849	1	0	5500	11925000
217849	1	0	6000	12250000
217849	1	0	6500	12725000
217849	1	0	7000	12900000
217849	1	0	7500	13225000
217849	1	0	8000	13200000
217849	1	0	8500	12875000
217849	1	0	9000	12900000
217849	1	0	9500	12675000
217849	1	0	10000	12800000
217849	1	0	10500	12825000
217849	1	0	11000	12650000
217849	1	0	11500	12475000
217849	1	0	12000	12200000
217849	1	0	12500	12075000
217849	1	0	13000	11850000
217849	1	0	13500	11775000
217849	1	0	14000	11450000
217849	1	0	14500	11375000
217849	1	0	15000	11100000
180263	1	1	9559	12551250
180263	1	0	5000	10900000
180263	1	0	5500	11225000
180263	1	0	6000	11500000
180263	1	0	6500	12125000
180263	1	0	7000	12050000
180263	1	0	7500	12375000
180263	1	0	8000	12350000
180263	1	0	8500	12675000
180263	1	0	9000	12800000
180263	1	0	9500	12525000
180263	1	0	10000	12400000
180263	1	0	10500	12325000
180263	1	0	11000	12300000
180263	1	0	11500	12175000
180263	1	0	12000	1.2e+07
180263	1	0	12500	11825000
180263	1	0	13000	11700000
180263	1	0	13500	11425000
180263	1	0	14000	11400000
180263	1	0	14500	11175000
180263	1	0	15000	10750000
480383	1	1	9559	12301250
480383	1	0	5000	10500000
480383	1	0	5500	10575000
480383	1	0	6000	10900000
480383	1	0	6500	11325000
480383	1	0	7000	11400000
480383	1	0	7500	11575000
480383	1	0	8000	11800000
480383	1	0	8500	12175000
480383	1	0	9000	12500000
480383	1	0	9500	12375000
480383	1	0	10000	12250000
480383	1	0	10500	12175000
480383	1	0	11000	12150000
480383	1	0	11500	12175000
480383	1	0	12000	12100000
480383	1	0	12500	12025000
480383	1	0	13000	12100000
480383	1	0	13500	11875000
480383	1	0	14000	11550000
480383	1	0	14500	11375000
480383	1	0	15000	11150000
585443	1	1	9559	12801250
585443	1	0	5000	11250000
585443	1	0	5500	11725000
585443	1	0	6000	1.2e+07
585443	1	0	6500	11925000
585443	1	0	7000	12300000
585443	1	0	7500	12575000
585443	1	0	8000	12650000
585443	1	0	8500	12775000
585443	1	0	9000	12900000
585443	1	0	9500	12825000
585443	1	0	10000	12550000
585443	1	0	10500	12825000
585443	1	0	11000	12600000
585443	1	0	11500	12475000
585443	1	0	12000	12250000
585443	1	0	12500	12425000
585443	1	0	13000	12300000
585443	1	0	13500	12125000
585443	1	0	14000	11900000
585443	1	0	14500	11775000
585443	1	0	15000	11700000
203209	1	1	9559	12701250
203209	1	0	5000	10650000
203209	1	0	5500	11375000
203209	1	0	6000	11900000
203209	1	0	6500	12075000
203209	1	0	7000	1.2e+07
203209	1	0	7500	12125000
203209	1	0	8000	12450000
203209	1	0	8500	12425000
203209	1	0	9000	12650000
203209	1	0	9500	12725000
203209	1	0	10000	12450000
203209	1	0	10500	12575000
203209	1	0	11000	12900000
203209	1	0	11500	12875000
203209	1	0	12000	12800000
203209	1	0	12500	12775000
203209	1	0	13000	12450000
203209	1	0	13500	12025000
203209	1	0	14000	11800000
203209	1	0	14500	11525000
203209	1	0	15000	11200000
859361	1	1	9559	12601250
859361	1	0	5000	9900000
859361	1	0	5500	10225000
859361	1	0	6000	10550000
859361	1	0	6500	11075000
859361	1	0	7000	11600000
859361	1	0	7500	11775000
859361	1	0	8000	12300000
859361	1	0	8500	12425000
859361	1	0	9000	12450000
859361	1	0	9500	12575000
859361	1	0	10000	12450000
859361	1	0	10500	12675000
859361	1	0	11000	12400000
859361	1	0	11500	12325000
859361	1	0	12000	12400000
859361	1	0	12500	12225000
859361	1	0	13000	1.2e+07
859361	1	0	13500	12025000
859361	1	0	14000	11800000
859361	1	0	14500	11425000
859361	1	0	15000	11050000
320113	1	1	9559	12401250
320113	1	0	5000	10650000
320113	1	0	5500	11175000
320113	1	0	6000	11400000
320113	1	0	6500	12025000
320113	1	0	7000	12050000
320113	1	0	7500	12175000
320113	1	0	8000	12450000
320113	1	0	8500	12675000
320113	1	0	9000	12700000
320113	1	0	9500	12425000
320113	1	0	10000	12250000
320113	1	0	10500	12275000
320113	1	0	11000	12300000
320113	1	0	11500	12375000
320113	1	0	12000	12100000
320113	1	0	12500	11775000
320113	1	0	13000	11300000
320113	1	0	13500	11325000
320113	1	0	14000	1.1e+07
320113	1	0	14500	10775000
320113	1	0	15000	10500000
681167	1	1	9559	12051250
