semilla	subsamping	oficial	meseta	ganancia
999983	0.1	1	9354	12457500
999983	0.1	0	5000	1.1e+07
999983	0.1	0	5500	11325000
999983	0.1	0	6000	11800000
999983	0.1	0	6500	12275000
999983	0.1	0	7000	12300000
999983	0.1	0	7500	12175000
999983	0.1	0	8000	12300000
999983	0.1	0	8500	12725000
999983	0.1	0	9000	12550000
999983	0.1	0	9500	12525000
999983	0.1	0	10000	12600000
999983	0.1	0	10500	12675000
999983	0.1	0	11000	12550000
999983	0.1	0	11500	12425000
999983	0.1	0	12000	12200000
999983	0.1	0	12500	12125000
999983	0.1	0	13000	11950000
999983	0.1	0	13500	11775000
999983	0.1	0	14000	11700000
999983	0.1	0	14500	11325000
999983	0.1	0	15000	11500000
687683	0.1	1	9354	12457500
687683	0.1	0	5000	11050000
687683	0.1	0	5500	11575000
687683	0.1	0	6000	11900000
687683	0.1	0	6500	12075000
687683	0.1	0	7000	12350000
687683	0.1	0	7500	12725000
687683	0.1	0	8000	12700000
687683	0.1	0	8500	12725000
687683	0.1	0	9000	12700000
687683	0.1	0	9500	12325000
687683	0.1	0	10000	12400000
687683	0.1	0	10500	12225000
687683	0.1	0	11000	1.2e+07
687683	0.1	0	11500	11975000
687683	0.1	0	12000	11800000
687683	0.1	0	12500	11825000
687683	0.1	0	13000	11650000
687683	0.1	0	13500	11475000
687683	0.1	0	14000	11550000
687683	0.1	0	14500	11325000
687683	0.1	0	15000	11050000
771941	0.1	1	9354	12307500
771941	0.1	0	5000	11250000
771941	0.1	0	5500	11475000
771941	0.1	0	6000	11550000
771941	0.1	0	6500	12025000
771941	0.1	0	7000	12300000
771941	0.1	0	7500	12225000
771941	0.1	0	8000	12450000
771941	0.1	0	8500	12225000
771941	0.1	0	9000	12250000
771941	0.1	0	9500	12225000
771941	0.1	0	10000	12250000
771941	0.1	0	10500	12375000
771941	0.1	0	11000	12250000
771941	0.1	0	11500	12375000
771941	0.1	0	12000	12300000
771941	0.1	0	12500	11975000
771941	0.1	0	13000	11900000
771941	0.1	0	13500	11825000
771941	0.1	0	14000	11500000
771941	0.1	0	14500	11225000
771941	0.1	0	15000	11200000
273313	0.1	1	9354	12657500
273313	0.1	0	5000	10950000
273313	0.1	0	5500	11175000
273313	0.1	0	6000	11150000
273313	0.1	0	6500	11575000
273313	0.1	0	7000	11900000
273313	0.1	0	7500	12425000
273313	0.1	0	8000	12800000
273313	0.1	0	8500	12875000
273313	0.1	0	9000	12900000
273313	0.1	0	9500	12675000
273313	0.1	0	10000	12550000
273313	0.1	0	10500	12325000
273313	0.1	0	11000	12100000
273313	0.1	0	11500	12025000
273313	0.1	0	12000	11800000
273313	0.1	0	12500	11725000
273313	0.1	0	13000	11600000
273313	0.1	0	13500	11425000
273313	0.1	0	14000	11350000
273313	0.1	0	14500	11175000
273313	0.1	0	15000	11100000
346469	0.1	1	9354	12107500
346469	0.1	0	5000	11150000
346469	0.1	0	5500	11525000
346469	0.1	0	6000	11550000
346469	0.1	0	6500	11675000
346469	0.1	0	7000	11950000
346469	0.1	0	7500	12275000
346469	0.1	0	8000	12400000
346469	0.1	0	8500	12275000
346469	0.1	0	9000	12200000
346469	0.1	0	9500	12175000
346469	0.1	0	10000	12100000
346469	0.1	0	10500	12125000
346469	0.1	0	11000	1.2e+07
346469	0.1	0	11500	12225000
346469	0.1	0	12000	12550000
346469	0.1	0	12500	12225000
346469	0.1	0	13000	12250000
346469	0.1	0	13500	12025000
346469	0.1	0	14000	11950000
346469	0.1	0	14500	11575000
346469	0.1	0	15000	11400000
964823	0.1	1	9354	12607500
964823	0.1	0	5000	10850000
964823	0.1	0	5500	11325000
964823	0.1	0	6000	11750000
964823	0.1	0	6500	12175000
964823	0.1	0	7000	12400000
964823	0.1	0	7500	12425000
964823	0.1	0	8000	12600000
964823	0.1	0	8500	12625000
964823	0.1	0	9000	12800000
964823	0.1	0	9500	12725000
964823	0.1	0	10000	12500000
964823	0.1	0	10500	12225000
964823	0.1	0	11000	12250000
964823	0.1	0	11500	12325000
964823	0.1	0	12000	12050000
964823	0.1	0	12500	11975000
964823	0.1	0	13000	11850000
964823	0.1	0	13500	12025000
964823	0.1	0	14000	11800000
964823	0.1	0	14500	11375000
964823	0.1	0	15000	10950000
721577	0.1	1	9354	12657500
721577	0.1	0	5000	1.1e+07
721577	0.1	0	5500	11375000
721577	0.1	0	6000	11500000
721577	0.1	0	6500	11725000
721577	0.1	0	7000	12150000
721577	0.1	0	7500	12175000
721577	0.1	0	8000	12450000
721577	0.1	0	8500	12575000
721577	0.1	0	9000	12650000
721577	0.1	0	9500	12675000
721577	0.1	0	10000	12700000
721577	0.1	0	10500	12425000
721577	0.1	0	11000	12350000
721577	0.1	0	11500	12225000
721577	0.1	0	12000	11950000
721577	0.1	0	12500	11875000
721577	0.1	0	13000	12050000
721577	0.1	0	13500	11725000
721577	0.1	0	14000	11400000
721577	0.1	0	14500	11425000
721577	0.1	0	15000	11400000
217849	0.1	1	9354	12457500
217849	0.1	0	5000	11050000
217849	0.1	0	5500	11475000
217849	0.1	0	6000	11600000
217849	0.1	0	6500	11575000
217849	0.1	0	7000	11800000
217849	0.1	0	7500	11825000
217849	0.1	0	8000	11950000
217849	0.1	0	8500	12475000
217849	0.1	0	9000	12700000
217849	0.1	0	9500	12325000
217849	0.1	0	10000	12450000
217849	0.1	0	10500	12175000
217849	0.1	0	11000	12200000
217849	0.1	0	11500	12125000
217849	0.1	0	12000	11900000
217849	0.1	0	12500	11825000
217849	0.1	0	13000	11650000
217849	0.1	0	13500	11525000
217849	0.1	0	14000	11650000
217849	0.1	0	14500	11375000
217849	0.1	0	15000	11250000
180263	0.1	1	9354	12507500
180263	0.1	0	5000	10850000
180263	0.1	0	5500	11325000
180263	0.1	0	6000	11350000
180263	0.1	0	6500	11725000
180263	0.1	0	7000	11900000
180263	0.1	0	7500	12475000
180263	0.1	0	8000	12550000
180263	0.1	0	8500	12575000
180263	0.1	0	9000	12550000
180263	0.1	0	9500	12525000
180263	0.1	0	10000	12650000
180263	0.1	0	10500	12475000
180263	0.1	0	11000	12350000
180263	0.1	0	11500	12325000
180263	0.1	0	12000	12300000
180263	0.1	0	12500	12275000
180263	0.1	0	13000	12050000
180263	0.1	0	13500	11825000
180263	0.1	0	14000	11550000
180263	0.1	0	14500	11575000
180263	0.1	0	15000	11300000
480383	0.1	1	9354	12357500
480383	0.1	0	5000	11150000
480383	0.1	0	5500	11125000
480383	0.1	0	6000	11700000
480383	0.1	0	6500	11875000
480383	0.1	0	7000	12200000
480383	0.1	0	7500	12375000
480383	0.1	0	8000	12350000
480383	0.1	0	8500	12475000
480383	0.1	0	9000	12450000
480383	0.1	0	9500	12325000
480383	0.1	0	10000	12300000
480383	0.1	0	10500	12275000
480383	0.1	0	11000	12100000
480383	0.1	0	11500	11775000
480383	0.1	0	12000	1.2e+07
480383	0.1	0	12500	12175000
480383	0.1	0	13000	11900000
480383	0.1	0	13500	11875000
480383	0.1	0	14000	11700000
480383	0.1	0	14500	11425000
480383	0.1	0	15000	11150000
585443	0.1	1	9354	12657500
585443	0.1	0	5000	10850000
585443	0.1	0	5500	11275000
585443	0.1	0	6000	11400000
585443	0.1	0	6500	11525000
585443	0.1	0	7000	1.2e+07
585443	0.1	0	7500	12475000
585443	0.1	0	8000	12750000
585443	0.1	0	8500	12725000
585443	0.1	0	9000	12850000
585443	0.1	0	9500	12825000
585443	0.1	0	10000	12500000
585443	0.1	0	10500	12175000
585443	0.1	0	11000	1.2e+07
585443	0.1	0	11500	11875000
585443	0.1	0	12000	11700000
585443	0.1	0	12500	11525000
585443	0.1	0	13000	11400000
585443	0.1	0	13500	11575000
585443	0.1	0	14000	11550000
585443	0.1	0	14500	11475000
585443	0.1	0	15000	11200000
203209	0.1	1	9354	12607500
203209	0.1	0	5000	1.1e+07
203209	0.1	0	5500	11275000
203209	0.1	0	6000	11600000
203209	0.1	0	6500	11775000
203209	0.1	0	7000	12050000
203209	0.1	0	7500	12225000
203209	0.1	0	8000	12400000
203209	0.1	0	8500	12575000
203209	0.1	0	9000	12550000
203209	0.1	0	9500	12625000
203209	0.1	0	10000	12500000
203209	0.1	0	10500	12225000
203209	0.1	0	11000	12200000
203209	0.1	0	11500	12375000
203209	0.1	0	12000	12350000
203209	0.1	0	12500	12075000
203209	0.1	0	13000	11800000
203209	0.1	0	13500	11775000
203209	0.1	0	14000	11550000
203209	0.1	0	14500	11325000
203209	0.1	0	15000	11250000
859361	0.1	1	9354	12407500
859361	0.1	0	5000	11100000
859361	0.1	0	5500	11275000
859361	0.1	0	6000	11600000
859361	0.1	0	6500	11825000
859361	0.1	0	7000	11900000
859361	0.1	0	7500	12175000
859361	0.1	0	8000	12250000
859361	0.1	0	8500	12325000
859361	0.1	0	9000	12500000
859361	0.1	0	9500	12475000
859361	0.1	0	10000	12350000
859361	0.1	0	10500	12025000
859361	0.1	0	11000	11750000
859361	0.1	0	11500	11775000
859361	0.1	0	12000	11750000
859361	0.1	0	12500	11675000
859361	0.1	0	13000	11450000
859361	0.1	0	13500	11275000
859361	0.1	0	14000	11150000
859361	0.1	0	14500	11375000
859361	0.1	0	15000	10950000
320113	0.1	1	9354	12307500
320113	0.1	0	5000	11250000
320113	0.1	0	5500	11575000
320113	0.1	0	6000	11750000
320113	0.1	0	6500	11925000
320113	0.1	0	7000	12550000
320113	0.1	0	7500	12175000
320113	0.1	0	8000	12150000
320113	0.1	0	8500	12075000
320113	0.1	0	9000	12250000
320113	0.1	0	9500	12525000
320113	0.1	0	10000	12400000
320113	0.1	0	10500	12525000
320113	0.1	0	11000	12500000
320113	0.1	0	11500	12475000
320113	0.1	0	12000	12150000
320113	0.1	0	12500	12225000
320113	0.1	0	13000	1.2e+07
320113	0.1	0	13500	11775000
320113	0.1	0	14000	11400000
320113	0.1	0	14500	11425000
320113	0.1	0	15000	11050000
681167	0.1	1	9354	12257500
681167	0.1	0	5000	11150000
681167	0.1	0	5500	11075000
681167	0.1	0	6000	11300000
681167	0.1	0	6500	11825000
681167	0.1	0	7000	11900000
681167	0.1	0	7500	12025000
681167	0.1	0	8000	12050000
681167	0.1	0	8500	12475000
681167	0.1	0	9000	12400000
681167	0.1	0	9500	12225000
681167	0.1	0	10000	12200000
681167	0.1	0	10500	12425000
681167	0.1	0	11000	12500000
681167	0.1	0	11500	12525000
681167	0.1	0	12000	12350000
681167	0.1	0	12500	12225000
681167	0.1	0	13000	12050000
681167	0.1	0	13500	11975000
681167	0.1	0	14000	11800000
681167	0.1	0	14500	11675000
681167	0.1	0	15000	11800000
272761	0.1	1	9354	12707500
272761	0.1	0	5000	10750000
272761	0.1	0	5500	10975000
272761	0.1	0	6000	11250000
272761	0.1	0	6500	11475000
272761	0.1	0	7000	11550000
272761	0.1	0	7500	12075000
272761	0.1	0	8000	12150000
272761	0.1	0	8500	12375000
272761	0.1	0	9000	12750000
272761	0.1	0	9500	12675000
272761	0.1	0	10000	12450000
272761	0.1	0	10500	12425000
272761	0.1	0	11000	12300000
272761	0.1	0	11500	12325000
272761	0.1	0	12000	12400000
272761	0.1	0	12500	12075000
272761	0.1	0	13000	11950000
272761	0.1	0	13500	11925000
272761	0.1	0	14000	11750000
272761	0.1	0	14500	11575000
272761	0.1	0	15000	11600000
806159	0.1	1	9354	12507500
806159	0.1	0	5000	11150000
806159	0.1	0	5500	11725000
806159	0.1	0	6000	11850000
806159	0.1	0	6500	11975000
806159	0.1	0	7000	12350000
806159	0.1	0	7500	12325000
806159	0.1	0	8000	12300000
806159	0.1	0	8500	12475000
806159	0.1	0	9000	12750000
806159	0.1	0	9500	12625000
806159	0.1	0	10000	12350000
806159	0.1	0	10500	12675000
806159	0.1	0	11000	12750000
806159	0.1	0	11500	12475000
806159	0.1	0	12000	12200000
806159	0.1	0	12500	11925000
806159	0.1	0	13000	11950000
806159	0.1	0	13500	11925000
806159	0.1	0	14000	11800000
806159	0.1	0	14500	11875000
806159	0.1	0	15000	11700000
803651	0.1	1	9354	12607500
803651	0.1	0	5000	11150000
803651	0.1	0	5500	11375000
803651	0.1	0	6000	11550000
803651	0.1	0	6500	11925000
803651	0.1	0	7000	12200000
803651	0.1	0	7500	12375000
803651	0.1	0	8000	12450000
803651	0.1	0	8500	12475000
803651	0.1	0	9000	12550000
803651	0.1	0	9500	12525000
803651	0.1	0	10000	12350000
803651	0.1	0	10500	12275000
803651	0.1	0	11000	12250000
803651	0.1	0	11500	12125000
803651	0.1	0	12000	11950000
803651	0.1	0	12500	12175000
803651	0.1	0	13000	11900000
803651	0.1	0	13500	11575000
803651	0.1	0	14000	11350000
803651	0.1	0	14500	11475000
803651	0.1	0	15000	11400000
600751	0.1	1	9354	12257500
600751	0.1	0	5000	10800000
600751	0.1	0	5500	11225000
600751	0.1	0	6000	11750000
600751	0.1	0	6500	11875000
600751	0.1	0	7000	11550000
600751	0.1	0	7500	12075000
600751	0.1	0	8000	12300000
600751	0.1	0	8500	12225000
600751	0.1	0	9000	12350000
600751	0.1	0	9500	12225000
600751	0.1	0	10000	1.2e+07
600751	0.1	0	10500	11925000
600751	0.1	0	11000	12100000
600751	0.1	0	11500	11975000
600751	0.1	0	12000	11850000
600751	0.1	0	12500	11725000
600751	0.1	0	13000	11850000
600751	0.1	0	13500	11725000
600751	0.1	0	14000	11900000
600751	0.1	0	14500	11475000
600751	0.1	0	15000	11650000
656701	0.1	1	9354	12357500
656701	0.1	0	5000	11750000
656701	0.1	0	5500	12075000
656701	0.1	0	6000	12150000
656701	0.1	0	6500	12275000
656701	0.1	0	7000	12350000
656701	0.1	0	7500	12325000
656701	0.1	0	8000	12550000
656701	0.1	0	8500	12275000
656701	0.1	0	9000	12400000
656701	0.1	0	9500	12325000
656701	0.1	0	10000	12400000
656701	0.1	0	10500	12275000
656701	0.1	0	11000	12200000
