semilla	subsamping	oficial	meseta	ganancia
999983	0.1	1	9897	12328750
999983	0.1	0	5000	1e+07
999983	0.1	0	5500	10175000
999983	0.1	0	6000	10450000
999983	0.1	0	6500	11175000
999983	0.1	0	7000	11750000
999983	0.1	0	7500	12125000
999983	0.1	0	8000	11900000
999983	0.1	0	8500	12275000
999983	0.1	0	9000	12450000
999983	0.1	0	9500	12325000
999983	0.1	0	10000	12300000
999983	0.1	0	10500	12275000
999983	0.1	0	11000	12250000
999983	0.1	0	11500	12225000
999983	0.1	0	12000	12200000
999983	0.1	0	12500	12125000
999983	0.1	0	13000	12450000
999983	0.1	0	13500	12225000
999983	0.1	0	14000	11900000
999983	0.1	0	14500	11525000
999983	0.1	0	15000	11200000
687683	0.1	1	9897	12678750
687683	0.1	0	5000	10600000
687683	0.1	0	5500	11225000
687683	0.1	0	6000	11450000
687683	0.1	0	6500	11575000
687683	0.1	0	7000	12100000
687683	0.1	0	7500	12075000
687683	0.1	0	8000	12450000
687683	0.1	0	8500	12875000
687683	0.1	0	9000	12800000
687683	0.1	0	9500	12925000
687683	0.1	0	10000	12700000
687683	0.1	0	10500	12575000
687683	0.1	0	11000	12500000
687683	0.1	0	11500	12425000
687683	0.1	0	12000	12350000
687683	0.1	0	12500	12175000
687683	0.1	0	13000	12200000
687683	0.1	0	13500	12175000
687683	0.1	0	14000	11950000
687683	0.1	0	14500	11625000
687683	0.1	0	15000	11050000
771941	0.1	1	9897	12228750
771941	0.1	0	5000	10050000
771941	0.1	0	5500	10975000
771941	0.1	0	6000	11050000
771941	0.1	0	6500	11375000
771941	0.1	0	7000	11750000
771941	0.1	0	7500	12425000
771941	0.1	0	8000	12350000
771941	0.1	0	8500	12225000
771941	0.1	0	9000	12300000
771941	0.1	0	9500	12325000
771941	0.1	0	10000	12200000
771941	0.1	0	10500	12375000
771941	0.1	0	11000	12100000
771941	0.1	0	11500	12025000
771941	0.1	0	12000	12200000
771941	0.1	0	12500	12125000
771941	0.1	0	13000	12200000
771941	0.1	0	13500	11725000
771941	0.1	0	14000	11350000
771941	0.1	0	14500	11025000
771941	0.1	0	15000	10800000
273313	0.1	1	9897	12878750
273313	0.1	0	5000	10550000
273313	0.1	0	5500	10725000
273313	0.1	0	6000	10900000
273313	0.1	0	6500	11375000
273313	0.1	0	7000	11800000
273313	0.1	0	7500	12175000
273313	0.1	0	8000	12400000
273313	0.1	0	8500	12675000
273313	0.1	0	9000	12700000
273313	0.1	0	9500	13075000
273313	0.1	0	10000	12950000
273313	0.1	0	10500	12675000
273313	0.1	0	11000	12550000
273313	0.1	0	11500	12525000
273313	0.1	0	12000	12350000
273313	0.1	0	12500	12025000
273313	0.1	0	13000	11850000
273313	0.1	0	13500	11625000
273313	0.1	0	14000	11550000
273313	0.1	0	14500	11275000
273313	0.1	0	15000	11050000
346469	0.1	1	9897	12178750
346469	0.1	0	5000	9600000
346469	0.1	0	5500	10275000
346469	0.1	0	6000	11050000
346469	0.1	0	6500	11325000
346469	0.1	0	7000	11850000
346469	0.1	0	7500	11875000
346469	0.1	0	8000	12050000
346469	0.1	0	8500	12275000
346469	0.1	0	9000	12250000
346469	0.1	0	9500	12175000
346469	0.1	0	10000	12300000
346469	0.1	0	10500	12175000
346469	0.1	0	11000	1.2e+07
346469	0.1	0	11500	12125000
346469	0.1	0	12000	12050000
346469	0.1	0	12500	11925000
346469	0.1	0	13000	11900000
346469	0.1	0	13500	11725000
346469	0.1	0	14000	11550000
346469	0.1	0	14500	11275000
346469	0.1	0	15000	10950000
964823	0.1	1	9897	12378750
964823	0.1	0	5000	10700000
964823	0.1	0	5500	11175000
964823	0.1	0	6000	11650000
964823	0.1	0	6500	11925000
964823	0.1	0	7000	12200000
964823	0.1	0	7500	12525000
964823	0.1	0	8000	12550000
964823	0.1	0	8500	12675000
964823	0.1	0	9000	12600000
964823	0.1	0	9500	12625000
964823	0.1	0	10000	12400000
964823	0.1	0	10500	12475000
964823	0.1	0	11000	12400000
964823	0.1	0	11500	12125000
964823	0.1	0	12000	12100000
964823	0.1	0	12500	12125000
964823	0.1	0	13000	11850000
964823	0.1	0	13500	11775000
964823	0.1	0	14000	11550000
964823	0.1	0	14500	11125000
964823	0.1	0	15000	11050000
721577	0.1	1	9897	12328750
721577	0.1	0	5000	10150000
721577	0.1	0	5500	10625000
721577	0.1	0	6000	10850000
721577	0.1	0	6500	11175000
721577	0.1	0	7000	11850000
721577	0.1	0	7500	12125000
721577	0.1	0	8000	12200000
721577	0.1	0	8500	12125000
721577	0.1	0	9000	12350000
721577	0.1	0	9500	12175000
