semilla	subsamping	oficial	meseta	ganancia
999983	0.1	1	7612	13035000
999983	0.1	0	5000	11050000
999983	0.1	0	5500	11475000
999983	0.1	0	6000	11850000
999983	0.1	0	6500	12025000
999983	0.1	0	7000	12650000
999983	0.1	0	7500	12975000
999983	0.1	0	8000	13100000
999983	0.1	0	8500	13475000
999983	0.1	0	9000	13500000
999983	0.1	0	9500	13075000
999983	0.1	0	10000	1.3e+07
999983	0.1	0	10500	12675000
999983	0.1	0	11000	12600000
999983	0.1	0	11500	12875000
999983	0.1	0	12000	12650000
999983	0.1	0	12500	12375000
999983	0.1	0	13000	12300000
999983	0.1	0	13500	11975000
999983	0.1	0	14000	11650000
999983	0.1	0	14500	11525000
999983	0.1	0	15000	11200000
687683	0.1	1	7612	13035000
687683	0.1	0	5000	11350000
687683	0.1	0	5500	11725000
687683	0.1	0	6000	12100000
687683	0.1	0	6500	12575000
687683	0.1	0	7000	12650000
687683	0.1	0	7500	12925000
687683	0.1	0	8000	13150000
687683	0.1	0	8500	13125000
687683	0.1	0	9000	12850000
687683	0.1	0	9500	12825000
687683	0.1	0	10000	12600000
687683	0.1	0	10500	12675000
687683	0.1	0	11000	12650000
687683	0.1	0	11500	12425000
687683	0.1	0	12000	12250000
687683	0.1	0	12500	12125000
687683	0.1	0	13000	11850000
687683	0.1	0	13500	11975000
687683	0.1	0	14000	11750000
687683	0.1	0	14500	11525000
687683	0.1	0	15000	11100000
