fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia
20210911 090924	217	18	165	4	5	5458750
20210911 091244	223	20	88	8	5	5047500
20210911 091751	293	11	154	13	5	5521250
20210911 092014	305	20	150	4	5	5831250
20210911 092235	258	20	218	5	5	5720000
20210911 092406	221	20	133	2	5	5121250
20210911 093137	222	11	123	26	5	4868750
20210911 094201	206	17	497	29	5	4300000
20210911 094609	394	15	116	5	5	5447500
20210911 100136	422	12	265	25	5	4878750
20210911 102539	453	16	15	31	5	3527500
20210911 103318	500	20	413	8	5	5883750
20210911 103551	120	11	99	15	5	4902500
20210911 103937	303	15	148	6	5	6065000
20210911 104219	262	15	128	5	5	5526250
20210911 105430	500	15	260	16	5	5128750
20210911 105833	330	14	188	8	5	5697500
20210911 111719	490	10	464	36	5	4451250
20210911 111927	210	20	330	5	5	5513750
20210911 112055	128	20	164	6	5	5056250
20210911 112344	275	11	500	8	5	5393750
20210911 112815	425	18	399	8	5	5631250
20210911 113026	300	9	227	7	5	5197500
20210911 113251	227	11	259	8	5	5196250
20210911 113751	319	11	216	13	5	5142500
20210911 114517	355	14	64	13	5	5165000
20210911 115154	452	20	418	8	5	5855000
20210911 115605	420	18	416	5	5	5411250
20210911 120237	454	17	424	8	5	5930000
20210911 120931	437	15	293	9	5	5472500
20210911 121302	300	20	416	6	5	5926250
20210911 121826	438	19	424	7	5	5686250
20210911 122409	425	20	393	8	5	5763750
20210911 123203	483	20	403	11	5	5543750
20210911 123422	327	13	355	4	5	5378750
20210911 123837	303	20	104	9	5	5341250
20210911 124211	370	19	233	5	5	5991250
20210911 124848	441	18	480	9	5	5555000
20210911 125411	496	20	130	7	5	5238750
20210911 125659	294	18	23	6	5	5125000
20210911 125929	304	16	495	5	5	5550000
20210911 130314	370	20	487	7	5	5645000
20210911 130752	427	20	436	8	5	5532500
20210911 130919	224	16	443	3	5	5373750
20210911 131313	273	17	484	10	5	5462500
20210911 132024	426	19	308	12	5	5600000
20210911 132609	500	18	420	8	5	6073750
20210911 132934	435	16	400	5	5	5208750
20210911 133433	383	19	285	9	5	5546250
20210911 133747	383	17	426	5	5	5517500
20210911 134238	463	18	424	7	5	5612500
20210911 134627	246	17	426	8	5	5500000
20210911 135142	487	19	323	5	5	5597500
20210911 135443	372	19	167	5	5	5687500
20210911 135659	390	11	199	4	5	5286250
20210911 135933	292	16	434	6	5	5483750
20210911 140306	383	15	193	6	5	5701250
20210911 140548	265	20	496	6	5	5850000
20210911 140833	355	18	105	4	5	5611250
20210911 141302	500	18	383	6	5	5657500
20210911 141555	328	18	371	5	5	5928750
20210911 141731	236	20	387	3	5	5675000
20210911 142050	329	18	145	6	5	5693750
20210911 142517	258	15	266	12	5	5135000
20210911 142816	280	14	316	8	5	5236250
20210911 143043	227	8	241	13	5	5465000
20210911 143512	448	20	231	7	5	5845000
20210911 143643	194	13	97	5	5	5413750
20210911 144006	242	15	150	11	5	5340000
20210911 144220	388	20	378	3	5	5705000
20210911 144448	296	14	166	6	5	5541250
20210911 144746	388	20	207	5	5	5791250
20210911 145309	320	11	104	17	5	5031250
20210911 145700	356	20	233	8	5	5535000
20210911 150012	425	18	248	5	5	5385000
20210911 150359	500	20	186	5	5	5686250
20210911 150809	391	18	421	8	5	5773750
20210911 151355	486	18	413	9	5	5618750
20210911 151547	299	15	424	4	5	5282500
20210911 151718	325	19	249	2	5	5456250
20210911 151926	327	20	500	4	5	5588750
20210911 152252	355	18	367	7	5	6076250
20210911 152711	424	19	300	8	5	5767500
20210911 153035	331	18	450	8	5	5695000
20210911 153539	500	19	404	8	5	5583750
20210911 153858	472	17	302	5	5	5451250
20210911 154414	463	20	304	9	5	5466250
20210911 155104	469	17	500	12	5	5677500
20210911 155306	452	20	210	2	5	5261250
20210911 155620	237	11	437	14	5	5442500
20210911 160553	416	19	258	18	5	4630000
20210911 160757	257	19	216	5	5	5720000
20210911 160830	68	14	180	2	5	4083750
20210911 161145	231	11	3	13	5	5135000
20210911 161515	451	15	498	5	5	5512500
20210911 161629	242	13	296	2	5	4213750
20210911 161903	238	12	156	8	5	5572500
20210911 162323	291	12	32	12	5	5782500
20210911 162937	385	17	490	11	5	5621250
