fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210917 001714	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	174	TRUE	0.0808016424444213	0.845302405580878	4333	666	0.0454902245603597	8647500
20210917 001915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	531	TRUE	0.0362447601767781	0.929373068350833	6989	531	0.0483842751114867	8690000
20210917 002103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	228	TRUE	0.046730645079515	0.571173182548955	3291	318	0.0448016112969393	8838750
20210917 002235	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	266	TRUE	0.0241178663090977	0.347479266149458	2263	781	0.0440835332090648	8611250
20210917 002349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	245	TRUE	0.0607159027051239	0.435451895173173	3530	761	0.0489419165509439	8463750
20210917 002443	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	185	TRUE	0.0721433686652745	0.470665270404425	4985	99	0.0463811116448516	8633750
20210917 002533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	246	TRUE	0.0546025975892553	0.850918204186019	5060	607	0.0436079190279889	8540000
20210917 002614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	68	TRUE	0.0593272311551846	0.728336704138201	1044	1001	0.0407836892667257	8367500
20210917 002922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	819	TRUE	0.0111310784655507	0.974503172654659	2940	337	0.0429077064048309	8583750
20210917 002954	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.0980327209396637	0.693933701061178	5754	837	0.0469019131470377	8605000
20210917 003033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	113	TRUE	0.0868024375883397	0.290642634395044	668	204	0.0368309045224799	8071250
20210917 003223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	314	TRUE	0.0178483024080924	0.392704998876434	1947	431	0.0416201848362369	8570000
20210917 003423	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	701	TRUE	0.031444214660587	0.618394797388464	6016	254	0.0467190776181117	8463750
20210917 003622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	471	TRUE	0.0412020067243429	0.543697495642118	7119	955	0.0453046747937175	8421250
20210917 003649	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0937288711649308	0.207566908572335	7844	63	0.0477163358299955	7895000
20210917 003734	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.0693623911800387	0.764090583485086	112	519	0.0190935349405299	7491250
20210917 003758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.079299546098377	0.629418071599828	3137	16	0.0459294681085209	8588750
20210917 003915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	353	TRUE	0.0311126544641433	0.418329385919234	3261	17	0.0442061954421281	8666250
20210917 004011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0453939212788388	0.931930468613402	3273	324	0.0441813349011025	8966250
20210917 004043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.0473836183823927	0.999816445802103	2997	302	0.0451826945782476	8578750
20210917 004354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	968	TRUE	0.0112202061053033	0.999085977148902	3305	637	0.0442715028484879	8605000
20210917 004437	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	243	TRUE	0.0491273525911701	0.99783665349394	3325	25	0.0464635157355258	8413750
20210917 004524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	205	TRUE	0.0501519986258799	0.8531755934585	3488	358	0.0456130442187568	8628750
20210917 004608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	179	TRUE	0.0439417921318383	0.831850685584881	3492	412	0.0455735069974448	8686250
20210917 004645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0.0772168879683528	0.928035653614385	2675	647	0.0443884795894424	8267500
20210917 004729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	225	TRUE	0.0547543742163662	0.925458715603078	4859	330	0.044613755200755	8483750
20210917 004756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.0809130648221378	0.747487703659758	845	583	0.0437610342864774	7847500
20210917 004844	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	179	TRUE	0.0416337092479371	0.929425726646191	2899	830	0.044571343821749	8743750
20210917 004934	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.039593374889234	0.922925275500004	2905	337	0.0438865993144161	8757500
20210917 005044	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	249	TRUE	0.0359931437656157	0.875536405597645	3205	598	0.0438043795382688	8913750
20210917 005145	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	250	TRUE	0.0444729247580866	0.667325439328328	6238	335	0.0482322583272863	8255000
20210917 005248	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	224	TRUE	0.0393416200897451	0.933034354333397	3460	491	0.0429224055409461	8506250
20210917 005324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.0979873594532628	0.764999379476346	3162	871	0.0454222295378525	8336250
20210917 005531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	441	TRUE	0.0413487116574077	0.498879403591715	6345	231	0.0466178896690847	8327500
20210917 005622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	236	TRUE	0.0745948143947427	0.976996755676158	7863	578	0.0470470012057811	8430000
20210917 005727	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	358	TRUE	0.0361920197481266	0.793787574050389	5847	885	0.0436081673103084	8457500
20210917 005827	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	0.0389381296316534	0.215490434064344	7660	285	0.0464622206530183	8246250
20210917 005909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.0996320890277508	0.697664404480159	3709	312	0.0477409939669474	8541250
20210917 005947	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	145	TRUE	0.087625183512005	0.325652687000856	4404	714	0.048894788324562	8427500
20210917 010022	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.0807690435527358	0.541668997702934	2244	920	0.0503588972113724	8368750
20210917 010107	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	162	TRUE	0.0865251171414531	0.441221204256825	2642	770	0.042788300105238	8780000
20210917 010239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	467	TRUE	0.0212041865758179	0.718506522874907	4355	210	0.0432716370880424	8566250
20210917 010313	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	117	TRUE	0.0999147614748776	0.582501164283603	3218	107	0.0445655736794536	8330000
20210917 010350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0592527862158418	0.968377051209845	3861	799	0.0442658702170201	8540000
20210917 010550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	451	TRUE	0.0214926050795033	0.450126245802827	2859	724	0.0442488025967815	8641250
20210917 010620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0866943347993889	0.671434611797892	2261	718	0.0460256458490089	8300000
20210917 010710	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0525448840747611	0.202222082321346	4072	996	0.0503726765137597	8083750
20210917 010811	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	269	TRUE	0.0364714511914924	0.872262488905341	3151	772	0.0456094423959885	8695000
20210917 010855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	242	TRUE	0.0718213878310495	0.915763098689169	5000	1013	0.0447700024446976	8305000
20210917 011111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	510	TRUE	0.0183138535131724	0.545442981180362	3930	737	0.0454222423655469	8940000
