fecha	cp	minsplit	minbucket	maxdepth	feature_fraction	num_trees	xval_folds	ganancia
20210914 202205	-0.361220074418816	3468	940	17	0.65899367655317	47	5	2987500
20210914 204547	-0.318413235428549	1483	560	9	0.428786456965221	58	5	3328750
20210914 205806	-0.422442878677975	4312	1468	5	0.383358070106867	70	5	3203750
20210914 220704	-0.66546179158419	5228	262	11	0.797528800810687	88	5	3368750
20210914 221739	-0.458738295721317	3007	756	7	0.606935822342833	32	5	3160000
20210914 222112	0.0978065259822567	5389	1331	12	0.134236853127368	83	5	0
20210914 222337	-0.731780859650462	4832	1198	20	0.177193102403544	18	5	2323750
20210914 224354	-0.0774983037728816	7809	1057	8	0.455337074988832	62	5	4637500
20210914 225712	0.00690710769849834	1998	738	16	0.243823043357891	91	5	0
20210914 225859	-0.607799537100558	6630	1521	3	0.564815379593832	10	5	2432500
20210914 230439	-0.535444153681359	7569	1883	15	0.311314374875898	28	5	1576250
20210914 231749	-0.587232007844917	2970	904	6	0.349388208822347	73	5	2922500
20210914 231853	-0.689150835556211	2214	362	18	0.225877796649002	5	5	3360000
20210914 232741	-0.865659461899971	4384	1138	17	0.116180900197166	78	5	-875000
20210914 234050	-0.799768380392925	6201	497	4	0.80050997013847	37	5	2432500
20210915 002731	-0.955337484933746	425	134	13	0.721415043172116	65	5	2075000
