fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210902 223446	-0.708430114983781	2411	640	11	5	4303750
20210902 223540	-0.999890588926052	1956	379	16	5	4705000
20210902 223615	-0.164546636646363	1079	339	7	5	4565000
20210902 223708	-0.999854063711177	2176	493	17	5	4585000
20210902 223755	-0.0512851125289868	2885	1441	20	5	3152500
20210902 223813	-0.6676707416919	2445	160	3	5	2951250
20210902 223908	-0.460632895744996	2317	376	19	5	4636250
20210902 223940	-0.474036884451391	2116	442	6	5	4627500
20210902 224002	0.0992620219974824	8000	2000	3	5	0
20210902 224056	-0.466787047902709	2109	383	11	5	4765000
20210902 224135	-0.0985878443598405	993	1	6	5	3268750
20210902 224213	-0.70844131476583	4446	451	6	5	2683750
20210902 224254	-0.745033655133144	1822	381	7	5	4565000
20210902 224401	-0.99178834399337	2082	386	20	5	4765000
20210902 224501	-0.188938664724857	2084	380	12	5	4881250
20210902 224605	-0.462454442867228	1914	376	18	5	4591250
20210902 224652	-0.22763544075489	2015	381	9	5	4881250
20210902 224738	-0.480246075148089	2153	375	9	5	4701250
20210902 224831	-0.144847923412079	1435	329	10	5	4826250
20210902 224932	-0.886785174220034	2299	385	20	5	4585000
20210902 225030	-0.462985389577607	2207	597	14	5	4508750
20210902 225118	-0.739056467781909	8000	1274	12	5	2368750
20210902 225219	-0.487688014386354	2029	402	16	5	4765000
20210902 225254	-0.431924922738884	2191	635	6	5	4582500
20210902 225355	-0.425630085970525	2214	381	20	5	4636250
20210902 225444	-0.177199311631246	1821	372	10	5	4617500
20210902 225532	-0.978942750025337	4652	2000	20	5	2443750
20210902 225629	-0.225863645192362	2057	382	13	5	4881250
20210902 225716	-0.111219000717178	5254	1380	20	5	2533750
20210902 225754	-0.30584133877148	2183	557	8	5	4590000
20210902 225842	-0.131661963837158	1274	308	12	5	4350000
20210902 225929	-0.22808148102573	1523	351	8	5	4972500
20210902 230024	-0.933550427577189	1767	373	19	5	4737500
20210902 230101	-0.896154699973454	2076	363	7	5	4430000
20210902 230137	-0.255111294387068	2117	365	7	5	4521250
20210902 230218	-0.199907363399406	1440	361	8	5	4971250
20210902 230305	-0.428695079270845	2199	544	9	5	4590000
20210902 230352	-0.196656605217708	1514	321	10	5	4781250
20210902 230447	-0.158562183674637	1520	334	8	5	5051250
20210902 230536	-0.228829865986525	2549	674	9	5	4117500
20210902 230624	-0.228957423719844	1232	616	8	5	4075000
20210902 230725	-0.932848406925047	2107	645	20	5	4597500
20210902 230804	-0.757275996194194	2183	585	6	5	4613750
20210902 230908	-0.749904655565349	2138	575	20	5	4618750
20210902 230941	-0.391587174692348	3690	678	5	5	2852500
20210902 231047	-0.736180956855864	2079	361	19	5	4675000
20210902 231149	-0.999916303404085	3467	598	20	5	3497500
20210902 231241	-0.999993152559718	5050	1161	12	5	2533750
20210902 231319	-0.999833345310973	2134	395	6	5	4627500
20210902 231422	-0.344925419118631	2128	708	16	5	3810000
20210902 231525	-0.883046120309073	2562	783	20	5	3483750
20210902 231618	-0.999684347698469	2165	372	10	5	4701250
20210902 231706	-0.986605493694049	2246	612	8	5	4508750
20210902 231754	-0.998648523985366	1617	341	8	5	4856250
20210902 231839	-0.998505235234556	1776	266	7	5	4308750
20210902 231941	-0.998371427426191	1444	356	12	5	4745000
20210902 232045	-0.153751088708984	2738	533	16	5	4081250
20210902 232130	-0.996514565735772	1331	383	7	5	4863750
20210902 232222	-0.973643666924884	1546	398	9	5	4511250
20210902 232303	-0.762643021762318	1265	332	6	5	4956250
20210902 232339	-0.987916765632544	1274	337	5	5	3658750
20210902 232429	-0.754171994596038	1056	466	6	5	5141250
20210902 232508	-0.682523719250674	936	396	6	5	4942500
20210902 232552	-0.747753499707053	1112	402	7	5	4491250
20210902 232631	-0.769564851375811	1416	469	6	5	4955000
20210902 232708	-0.752450545661918	926	460	5	5	3658750
20210902 232746	-0.998953861238627	760	380	6	5	4942500
20210902 232827	-0.343934020311149	8000	1518	8	5	2368750
20210902 232916	-0.99991801633232	7990	381	11	5	2368750
20210902 232940	0.0998937512540485	2275	1130	6	5	0
20210902 233018	-0.0980459902010065	7999	353	7	5	2368750
20210902 233108	-0.662846038791361	4003	1999	11	5	2443750
20210902 233158	-0.88529357092696	1083	541	6	5	5246250
20210902 233238	-0.993489063881532	1144	570	6	5	5006250
20210902 233318	-0.886143657940982	999	482	6	5	5088750
20210902 233407	-0.445504375915241	7993	2000	14	5	2368750
20210902 233442	-0.900428911841258	7882	2000	6	5	2368750
20210902 233521	-0.606206830922079	1173	584	6	5	5011250
20210902 233613	-0.135489832343846	645	320	9	5	3222500
20210902 233711	-0.460752026538784	2752	451	12	5	3962500
20210902 233807	-0.999324149316747	1609	520	11	5	4038750
20210902 233847	-0.758526670541666	1128	554	6	5	5146250
20210902 233928	-0.551531799924338	1249	354	6	5	4930000
20210902 234018	-0.838376693612603	1115	551	6	5	5252500
20210902 234058	-0.880353081778194	1269	631	6	5	4742500
20210902 234138	-0.481069251210498	1089	537	6	5	5180000
20210902 234244	-0.99956919756789	893	327	14	5	3863750
20210902 234323	-0.375101807103435	1346	524	6	5	4990000
20210902 234404	-0.518179081051651	1609	537	6	5	4905000
20210902 234444	-0.584612381973066	1057	521	6	5	4987500
20210902 234524	-0.387671918357328	1183	338	6	5	4885000
20210902 234624	-0.685124964448967	2178	841	14	5	3462500
20210902 234731	-0.165237633885925	1217	384	15	5	3838750
20210902 234838	-0.680089535749512	2014	331	16	5	4672500
20210902 234918	-0.450063048388473	1198	584	6	5	5011250
20210902 234958	-0.847218944071907	1084	539	6	5	5180000
20210902 235038	-0.89351408933823	1139	560	6	5	5088750
20210902 235101	-0.0967605260733045	5492	193	3	5	2368750
20210902 235142	-0.479335841268395	1224	463	6	5	5080000
20210902 235302	-0.633181420166368	8000	2	20	5	1983750
20210902 235326	-0.999909513285983	6229	590	3	5	2368750
20210902 235416	-0.588803242055344	6234	1999	16	5	2056250
20210902 235457	-0.667769959314758	1166	473	6	5	5088750
20210902 235557	-0.999952346436985	4267	384	16	5	2683750
20210902 235653	-0.560883151912444	2048	541	11	5	4590000
20210902 235733	-0.490547855200741	1060	222	6	5	3745000
20210902 235816	-0.387199751768501	1491	411	7	5	4745000
20210902 235915	-0.992945513606395	2361	300	12	5	4575000
