fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210904 203639	-0.629511709178041	6363	915	9	5	2278750
20210904 203717	-0.666043979527603	4441	1481	6	5	2421250
20210904 203802	-0.266472951072501	4731	1750	14	5	2133750
20210904 203844	-0.130378479171486	2668	820	7	5	3427500
20210904 203957	-0.422356003227469	1562	241	16	5	4152500
20210904 204055	-0.818223066927749	1266	578	11	5	4197500
20210904 204136	-0.457869901525555	3601	1255	10	5	2580000
20210904 204201	-0.0562288883695146	5353	1224	5	5	1823750
20210904 204242	-0.233073943684576	7848	1609	13	5	2432500
20210904 204259	0.096065388027637	2195	124	19	5	0
20210904 204344	-0.873663308082905	5803	306	12	5	2076250
20210904 204406	-0.526868417476362	7411	1938	4	5	2432500
20210904 204432	0.0184817554618348	6560	434	17	5	0
20210904 204516	-0.46913285862344	6361	350	12	5	2278750
20210904 204534	-0.91240039562496	4267	695	3	5	2508750
20210904 204615	-0.541637441702187	6611	1583	13	5	2446250
20210904 204651	-0.563669924918743	521	259	7	5	4105000
20210904 204719	-0.31788749635994	921	458	5	5	3093750
20210904 204823	-0.656780896795624	473	236	19	5	2795000
20210904 204919	-0.555490346198415	474	236	14	5	2795000
20210904 204958	-0.703968114566526	1301	441	8	5	3917500
20210904 205045	-0.806171869440441	14	5	10	5	2861250
20210904 205144	-0.487575433063002	1610	398	11	5	4453750
20210904 205233	-0.563951128382616	1722	637	13	5	3737500
20210904 205314	-0.465743673421912	1534	148	9	5	3223750
20210904 205400	-0.0487221450019983	1470	735	11	5	3781250
