fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210905 110906	-0.631777435077913	3910	542	8	5	2520000
20210905 110925	0.0770383429355221	7994	1805	14	5	0
20210905 111009	-0.70614437745933	3962	1024	18	5	2668750
20210905 111056	-0.899307679308602	6582	506	18	5	2278750
20210905 111137	-0.72533098049988	6869	994	12	5	2278750
20210905 111207	-0.397661736043752	5803	1411	6	5	1698750
20210905 111225	-0.918262425732845	6176	746	3	5	2432500
20210905 111243	-0.146506565538328	5136	1877	3	5	2432500
20210905 111324	-0.269039302735869	3780	1801	11	5	2277500
20210905 111407	-0.624456242045457	4919	865	18	5	2115000
20210905 111449	-0.797825821080874	3785	409	12	5	2582500
20210905 111526	0.00589501139265503	602	271	11	5	0
20210905 111605	-0.197302849936508	5709	943	11	5	2018750
20210905 111646	-0.463847654244467	6480	1394	19	5	1946250
20210905 111739	-0.22441169652808	1736	378	17	5	4167500
20210905 111828	-0.2109928990338	2350	598	17	5	4095000
20210905 111912	-0.272053254490747	1546	745	11	5	3921250
20210905 112001	-0.22221782316973	1813	704	18	5	3932500
20210905 112044	-0.021725048854295	3057	840	12	5	3300000
20210905 112132	-0.573796815362503	4504	519	20	5	2340000
20210905 112209	-0.901000892601605	4921	1109	9	5	2050000
20210905 112241	-0.353949763011397	6467	814	8	5	2278750
20210905 112333	-0.565850376409222	1720	436	19	5	4085000
20210905 112358	-0.571593601958104	7137	686	5	5	2278750
20210905 112441	-0.841234462195565	5690	1003	19	5	2018750
20210905 112526	-0.542937987108948	4506	891	16	5	2405000
20210905 112545	-0.930955292722466	7006	939	3	5	2432500
20210905 112606	0.0806714488221567	7503	1425	7	5	0
20210905 112642	-0.833334809693647	5101	1917	8	5	2185000
20210905 112714	-0.621285385204735	7206	1461	7	5	2278750
20210905 112739	0.0253864546091063	4087	460	6	5	0
20210905 112806	-0.700515298017813	6681	62	5	5	2432500
20210905 112842	-0.102487739881524	3121	518	8	5	3283750
20210905 112925	-0.496578267979063	6393	776	11	5	2278750
20210905 113031	-0.345333553795144	2006	188	16	5	3683750
20210905 113123	-0.637859538354189	3860	1261	7	5	2247500
20210905 113225	-0.063414862477174	4754	1648	17	5	2185000
20210905 113327	-0.669723467914481	5225	380	10	5	2395000
20210905 113404	-0.09706795261472	7472	91	4	5	2432500
20210905 113519	-0.772868841035152	4777	256	14	5	2273750
20210905 113614	0.0249600711713545	4231	439	5	5	0
20210905 113752	-0.203942999288655	1935	228	18	5	3965000
20210905 113852	-0.095510673893305	1191	576	13	5	3901250
20210905 114007	-0.223148073757746	1450	551	20	5	4352500
20210905 114122	-0.113631678809812	1299	640	19	5	4007500
20210905 114245	-0.0967254180952265	1337	293	20	5	4130000
20210905 114400	-0.223375381764356	1444	557	17	5	4355000
20210905 114527	-0.212012947309595	1772	155	18	5	3428750
20210905 114645	-0.20564672959594	1818	562	17	5	3901250
20210905 114755	-0.225669402080784	1545	715	18	5	4305000
20210905 114913	-0.105121333427869	1226	340	16	5	3571250
20210905 115024	-0.0980992850839811	1506	742	20	5	3925000
20210905 115141	-0.247073988914248	1973	421	18	5	3797500
20210905 115256	-0.201791509732307	2460	445	20	5	4376250
20210905 115353	-0.200068502440753	2247	440	8	5	3883750
20210905 115508	-0.261516413637709	1322	632	14	5	3608750
20210905 115557	-0.249505177611653	1468	721	6	5	3691250
20210905 115712	-0.277867972714503	2255	619	17	5	3643750
20210905 115831	-0.249026706557454	1155	408	20	5	4118750
20210905 115946	-0.0883489807306506	1371	384	18	5	4245000
20210905 120123	-0.197000415327632	2580	97	20	5	2738750
20210905 120252	-0.0906663866818558	1666	42	17	5	3113750
20210905 120407	-0.0835038487267372	1100	531	16	5	4080000
20210905 120521	-0.202349018757165	2239	576	20	5	3956250
20210905 120639	-0.204626585982094	2774	447	17	5	3668750
20210905 120803	-0.233214762467696	2065	262	20	5	4023750
20210905 120925	-0.200726138600098	1358	426	19	5	4028750
20210905 121037	-0.12480898217998	1452	705	20	5	4112500
20210905 121133	-0.118595750411026	1831	882	20	5	2697500
20210905 121234	-0.129995865245638	1113	545	17	5	4192500
20210905 121338	-0.124059109410367	943	430	18	5	3512500
20210905 121433	-0.131827513521805	1485	646	12	5	4005000
20210905 121532	-0.35995482647298	1746	477	13	5	4042500
20210905 121626	-0.345186264786501	1538	769	10	5	3688750
20210905 121731	-0.215794183988827	2428	388	20	5	4383750
20210905 121752	-0.364145816601409	2306	743	3	5	2673750
20210905 121905	-0.361020006435387	1063	403	17	5	3921250
20210905 122009	-0.367909298589211	1519	107	14	5	2510000
20210905 122101	-0.356396898697816	1311	650	10	5	3883750
20210905 122204	-0.357085145998747	1658	803	20	5	3530000
20210905 122301	-0.556711193558194	1715	592	13	5	3976250
20210905 122413	-0.560528213722771	1241	116	17	5	2178750
20210905 122513	-0.566567288484369	2079	856	17	5	2993750
20210905 122627	-0.185592211890407	1914	437	18	5	3725000
20210905 122743	-0.232629888541194	2488	386	20	5	4383750
20210905 122847	-0.320835054365783	1756	423	14	5	3945000
20210905 122954	-0.536623370762908	1760	543	20	5	3851250
20210905 123103	-0.336350114412196	1131	442	19	5	3903750
20210905 123205	-0.336284208105794	2496	619	15	5	4040000
20210905 123304	-0.411969462232353	1892	825	13	5	3225000
20210905 123414	-0.486557788877711	1730	576	18	5	3995000
20210905 123521	-0.0873401640719574	1439	539	20	5	4266250
20210905 123620	-0.511755060113207	1739	549	12	5	4077500
20210905 123714	-0.304054816062847	2410	381	11	5	4383750
20210905 123810	-0.305624363882876	2386	766	12	5	3731250
20210905 123900	-0.290297511226655	2188	277	9	5	3836250
20210905 124002	-0.239118717291927	2458	417	14	5	4376250
20210905 124057	-0.224857523514733	2407	394	11	5	4383750
20210905 124201	-0.305091864156412	2544	320	15	5	3753750
20210905 124256	-0.331405474009868	2330	392	11	5	3891250
20210905 124359	-0.359343563337419	2258	615	16	5	3951250
20210905 124459	-0.221974517018025	2089	376	13	5	4062500
20210905 124557	-0.0664669123003844	2612	614	13	5	3777500
20210905 124657	-0.471097266057276	1422	670	13	5	4048750
20210905 124758	-0.467602196549155	2075	492	14	5	3708750
20210905 124853	-0.245271270023641	2411	378	11	5	4383750
20210905 124953	-0.20083460181954	2442	442	13	5	4376250
20210905 125102	-0.60034596617653	1742	460	20	5	4048750
20210905 125204	-0.495994436855332	2480	579	13	5	4178750
20210905 125259	-0.538106563097244	2402	386	11	5	4058750
20210905 125353	-0.590863945318539	1864	425	10	5	3945000
20210905 125452	-0.640209804701631	1770	443	12	5	3952500
20210905 125601	-0.508329923462839	2539	334	18	5	3753750
20210905 125703	-0.614709863542723	2437	280	13	5	4157500
20210905 125802	-0.666712213469048	2425	186	12	5	3980000
20210905 125901	-0.219127786778887	2474	516	12	5	4442500
20210905 130010	-0.640877241634022	2300	299	19	5	3665000
20210905 130055	-0.634766922679625	2301	131	8	5	3245000
20210905 130157	-0.693118717621235	1948	464	14	5	3727500
20210905 130257	-0.579022451741391	2625	355	13	5	3805000
20210905 130400	-0.609234193617718	1884	414	14	5	4048750
20210905 130458	-0.653901231243597	2549	637	13	5	3558750
20210905 130606	-0.257332455332158	1533	409	20	5	4485000
20210905 130717	-0.289505232524953	1473	359	20	5	4030000
20210905 130808	-0.497304979155612	2831	277	10	5	3605000
20210905 130914	-0.398215838005073	1489	582	18	5	4221250
20210905 131017	-0.0586820530964713	1439	699	19	5	4116250
20210905 131114	-0.22442626971174	1549	522	11	5	4276250
20210905 131223	-0.279183558798362	1429	644	19	5	4073750
20210905 131333	-0.403393850205947	996	498	19	5	3847500
20210905 131436	-0.0891643974673657	1415	692	17	5	4110000
20210905 131535	-0.281067157587761	2515	415	11	5	4202500
20210905 131639	-0.394567719676486	1424	533	13	5	4290000
20210905 131749	-0.12982753987392	1432	465	19	5	4077500
20210905 131859	-0.222915770579057	1444	423	19	5	4417500
20210905 131951	-0.166376795597534	1100	548	9	5	4135000
20210905 132058	-0.223865578447754	2484	513	20	5	4237500
20210905 132157	-0.152325018894669	2408	559	10	5	4503750
20210905 132248	-0.15807887244452	2550	675	8	5	3767500
20210905 132350	-0.134903847332543	2445	527	11	5	4442500
20210905 132507	-0.216370976433426	2363	341	16	5	3872500
20210905 132611	-0.408196280339285	1694	605	12	5	3992500
20210905 132714	-0.150720364651127	2463	522	12	5	4442500
20210905 132809	-0.403708538377775	1102	551	9	5	4197500
20210905 132913	-0.180875882968228	2420	570	12	5	4510000
20210905 133015	-0.434509553978782	1121	551	11	5	4197500
20210905 133259	-0.170926732656693	2441	558	11	5	4503750
20210905 133546	-0.193378772903729	2450	630	11	5	4105000
20210905 133653	-0.177048159102589	2402	437	12	5	4051250
20210905 133812	-0.167187606380279	2464	710	13	5	4282500
20210905 133930	-0.667703027266227	1607	125	14	5	2900000
20210905 134035	-0.701009688350029	2677	255	11	5	3728750
20210905 134140	-0.405323654806793	1224	612	15	5	3855000
20210905 134241	-0.233589084140595	2400	498	12	5	4086250
20210905 134342	-0.217849869740636	1433	372	8	5	4061250
20210905 134456	-0.446302385705913	1436	414	10	5	4435000
20210905 134602	-0.145353710542124	2442	589	11	5	4260000
20210905 134704	-0.206097145391285	2691	540	13	5	3758750
20210905 134801	-0.453326189831496	930	391	11	5	3575000
20210905 134851	-0.43119173965141	1498	416	9	5	4417500
20210905 134945	-0.439068538922479	1554	552	10	5	4357500
20210905 135045	-0.195914712887341	2439	535	9	5	4462500
20210905 135151	-0.489864543875264	1773	369	12	5	4202500
20210905 135310	-0.436535853140517	1464	341	12	5	4023750
20210905 135428	-0.440152048433342	1320	550	8	5	4208750
20210905 135507	-0.127360966639873	1512	551	8	5	4286250
20210905 135610	-0.199462323569811	2434	551	13	5	4540000
20210905 135652	-0.104313307992338	2398	540	10	5	4137500
20210905 135747	-0.250669621908401	2461	368	20	5	4183750
20210905 135838	-0.182902070747525	2427	557	9	5	4546250
20210905 135921	-0.48219188691104	1478	530	10	5	4290000
20210905 140012	-0.439066921773903	1514	450	13	5	4257500
20210905 140109	-0.589094510071268	1469	408	18	5	4485000
20210905 140201	-0.361369888431253	2413	560	14	5	4503750
20210905 140249	-0.38045420487492	2737	502	13	5	3707500
20210905 140343	-0.151703489253184	2455	388	15	5	4383750
20210905 140431	-0.351916513850063	2515	478	13	5	4227500
20210905 140530	-0.203450795891248	1697	289	18	5	4287500
20210905 140626	-0.382158367247617	1471	395	15	5	4386250
20210905 140700	-0.345574204443013	2332	565	6	5	3988750
20210905 140753	-0.246646262960485	2422	525	16	5	4442500
20210905 140847	-0.561790069019782	1846	275	14	5	4295000
20210905 140923	-0.251945603895882	2464	385	7	5	4408750
20210905 141023	-0.587008954512683	1844	227	18	5	3976250
20210905 141049	0.0466958117857127	2539	750	17	5	0
20210905 141129	-0.220720546928278	2453	517	9	5	4442500
20210905 141222	-0.153565535258163	2468	553	17	5	4357500
20210905 141316	-0.383250785944196	1193	565	19	5	3942500
20210905 141418	-0.575084109297449	1497	385	12	5	4581250
20210905 141510	-0.582853187244797	1608	412	14	5	4485000
20210905 141552	-0.526893744337879	1494	396	9	5	4386250
20210905 141652	-0.0901115953085164	1645	297	20	5	4335000
20210905 141742	-0.131096277285949	2488	536	15	5	4278750
20210905 141835	-0.605249758549902	1566	376	14	5	4238750
20210905 141913	-0.562575804919474	1577	302	8	5	4142500
20210905 142005	-0.565412411957871	1439	413	14	5	4485000
20210905 142057	-0.352939507251541	1435	692	18	5	4110000
20210905 142145	-0.22948338929438	2514	716	13	5	4026250
20210905 142231	-0.557856201318078	2136	243	11	5	3978750
20210905 142328	-0.440634454207811	1482	400	19	5	4485000
20210905 142422	-0.553947199904403	1505	393	16	5	4386250
20210905 142453	-0.303457218148754	2482	387	6	5	4198750
20210905 142547	-0.360349612787271	2449	524	17	5	4442500
20210905 142611	-0.148471675146381	2434	521	4	5	3475000
20210905 142707	-0.220558461889214	1773	353	20	5	4117500
20210905 142754	-0.997204815218243	1401	552	11	5	4357500
20210905 142844	-0.868039914460222	1439	547	12	5	4355000
20210905 142934	-0.942528293283763	1484	498	13	5	4367500
20210905 143029	-0.948390624475926	1448	556	16	5	4355000
20210905 143123	-0.939065985261225	1209	526	14	5	4047500
20210905 143208	-0.979159081045635	1362	675	11	5	4015000
20210905 143258	-0.94085318677773	1553	590	12	5	4307500
20210905 143354	-0.601539952448456	1460	511	17	5	4371250
20210905 143439	-0.708548799272916	1407	639	10	5	4078750
20210905 143536	-0.754784264269093	1461	509	18	5	4371250
20210905 143625	-0.58406419929005	1501	407	12	5	4485000
20210905 143719	-0.690975754892985	1441	571	18	5	4093750
20210905 143800	-0.106076146897286	2385	806	9	5	3567500
20210905 143847	-0.335867451083019	2402	711	12	5	3853750
20210905 143943	-0.849716044059449	1619	514	17	5	4341250
20210905 144003	-0.0502972013894525	3306	1125	3	5	2655000
20210905 144044	-0.998764097907361	1570	416	9	5	4417500
20210905 144132	-0.883486613162871	1616	401	11	5	4485000
20210905 144228	-0.873789401968789	1464	424	18	5	4417500
20210905 144320	-0.963960785370779	1627	417	14	5	4272500
20210905 144406	-0.903223902931163	1428	387	10	5	4401250
20210905 144450	-0.911427294216797	1574	449	9	5	4257500
20210905 144537	-0.992734849555587	2276	782	12	5	3482500
20210905 144627	-0.796243159709292	1480	417	12	5	4417500
20210905 144723	-0.861625574237171	1437	479	19	5	4247500
20210905 144807	-0.999554237146854	3287	1642	20	5	2538750
20210905 144852	-0.793294659057658	1828	283	10	5	4295000
20210905 144946	-0.00547691004532271	1545	614	19	5	4218750
20210905 145044	-0.791954159064409	1609	411	18	5	4485000
20210905 145127	-0.821487248647531	1640	379	9	5	4093750
20210905 145225	-0.740561749313231	1442	416	20	5	4417500
20210905 145316	-0.763760243701677	1480	269	12	5	4172500
20210905 145411	-0.908535938945568	1598	645	18	5	4005000
20210905 145459	-0.234284898826121	1904	316	12	5	4381250
20210905 145558	-0.865831363874709	1531	38	15	5	2857500
20210905 145656	-0.417130088325419	1497	487	19	5	4246250
20210905 145735	-0.964144502388728	1580	524	8	5	4228750
20210905 145823	-0.466557407461938	1478	386	11	5	4581250
20210905 145923	-0.131579317851479	1906	307	19	5	4110000
20210905 150012	-0.667187034084373	1771	260	11	5	4213750
20210905 150052	-0.215154343118814	1879	369	8	5	4066250
20210905 150140	-0.573449002531712	1951	306	11	5	4155000
20210905 150232	-0.891152519209582	1944	231	13	5	3958750
20210905 150332	-0.011061936238573	1528	391	19	5	4581250
20210905 150424	-0.0336974440584643	1562	388	13	5	4581250
20210905 150449	0.076271817718303	1505	385	15	5	0
20210905 150546	-0.037232262888069	1563	392	19	5	4386250
20210905 150640	-0.0199681219740192	1495	456	14	5	4257500
20210905 150730	-0.0229752092638651	1734	376	12	5	4167500
20210905 150823	-0.872639420260957	1546	325	14	5	3907500
20210905 150914	-0.746329365737815	1918	262	13	5	4142500
20210905 151001	-0.061355976666024	1530	387	11	5	4581250
20210905 151044	-0.0490793082205297	1609	591	10	5	4306250
20210905 151137	-0.88638789675729	1922	418	15	5	3762500
20210905 151228	-0.0567123402743341	1585	448	13	5	4257500
20210905 151317	-0.251613336502063	1637	276	12	5	4335000
20210905 151410	-0.793303952813615	1574	604	15	5	4433750
20210905 151501	-0.818739028046085	1431	710	18	5	4391250
20210905 151555	-0.765640383596145	1484	685	17	5	3985000
20210905 151649	-0.819451607579187	1406	610	16	5	4220000
20210905 151742	-0.807148466032323	1962	580	18	5	3746250
20210905 151826	-0.947588592433346	1828	183	10	5	3791250
20210905 151904	-0.0655290016408236	1438	375	8	5	4460000
20210905 151951	-0.833536435539002	1603	727	11	5	3672500
20210905 152036	-0.302527117439796	2462	542	10	5	4282500
20210905 152112	-0.881666199053371	1423	538	7	5	4325000
20210905 152200	-0.784106917316201	1585	532	11	5	4290000
20210905 152257	-0.0163351037972834	1452	375	19	5	4238750
20210905 152336	-0.0334390687111706	1545	408	8	5	4385000
20210905 152428	-0.877379752617878	1368	672	18	5	4196250
20210905 152517	-0.723332319547686	1491	397	12	5	4453750
20210905 152613	-0.728066190171028	1049	501	18	5	3847500
20210905 152657	-0.73681383757021	1664	396	10	5	3975000
20210905 152752	-0.702663719388868	1382	413	16	5	4148750
20210905 152836	-0.0898237948404642	1552	300	9	5	4210000
20210905 152936	-0.00859277540136302	1823	271	20	5	4281250
20210905 153022	-0.982761960668626	1384	410	10	5	4305000
20210905 153111	-0.487425674041849	1478	395	12	5	4386250
20210905 153157	-0.267923993450843	1498	402	10	5	4485000
20210905 153252	-0.999765618486076	1544	495	17	5	4242500
20210905 153339	-0.463812211670168	1552	394	10	5	4386250
20210905 153436	-0.797955905828622	1541	540	18	5	4266250
20210905 153517	-0.364405876261591	1455	420	8	5	4242500
20210905 153609	-0.725013261528194	1477	503	13	5	4366250
20210905 153705	-0.722467922231901	1624	385	18	5	4581250
20210905 153803	-0.0159052256984402	1585	386	17	5	4581250
20210905 153855	-0.580593439889796	1224	563	13	5	3943750
20210905 153952	-0.945000584873378	1509	362	20	5	4022500
20210905 154045	-0.786350353319798	1659	349	14	5	4002500
20210905 154136	-0.999183168492619	1493	744	20	5	3921250
20210905 154227	-0.893547937696469	1771	883	20	5	2697500
20210905 154327	-0.468401417524941	1445	384	18	5	4581250
20210905 154430	-0.71755871478586	1591	279	19	5	4210000
20210905 154501	-0.999377149743418	7999	1654	6	5	2432500
20210905 154559	-0.0133905967112829	1549	402	16	5	4485000
20210905 154647	-0.807809715146777	1842	216	11	5	3907500
20210905 154726	-0.79386932333586	1393	651	8	5	4005000
20210905 154756	-0.87029981365752	1464	418	5	5	3330000
20210905 154843	-0.40617396188931	2451	554	10	5	4546250
20210905 154929	-0.374842885509579	2443	548	9	5	4540000
20210905 155018	-0.418569281941316	2456	374	11	5	4383750
20210905 155106	-0.998923599168856	1788	368	10	5	4202500
20210905 155219	-0.000163241036295551	4768	1	20	5	1443750
20210905 155315	-0.399096922001053	2433	538	15	5	4462500
20210905 155356	-0.440969422443499	2477	526	8	5	4442500
20210905 155440	-0.224946264104036	2444	320	9	5	4157500
20210905 155528	-0.0861674620207477	1485	392	10	5	4386250
20210905 155609	-0.468384203348485	2472	375	8	5	4383750
20210905 155650	-0.0622986588750234	1442	548	8	5	4286250
20210905 155747	-0.896291393644205	1496	498	15	5	4367500
20210905 155834	-0.904759751400672	1410	556	10	5	4355000
20210905 155932	-0.729567757004646	1563	420	18	5	4417500
20210905 160032	-0.716738051740736	1756	374	20	5	4028750
20210905 160054	-0.502231344541527	7983	2000	3	5	2432500
20210905 160140	-0.0709724869615135	7987	831	17	5	2432500
20210905 160243	-0.754868338774123	1478	387	18	5	4581250
20210905 160328	-0.999604793848735	6048	1444	20	5	1708750
20210905 160349	-0.664057716209522	3305	1650	3	5	2196250
20210905 160441	-0.397860628721239	8000	1	13	5	2301250
20210905 160544	-0.723551074158035	1459	383	18	5	4581250
20210905 160627	-0.99888370429049	7989	2000	20	5	2432500
20210905 160712	-0.80101475875384	2237	274	9	5	3665000
20210905 160756	-0.352011600164529	4879	2000	20	5	2185000
20210905 160858	-0.784054269490229	1448	391	19	5	4581250
20210905 160947	-0.0714031539090364	2544	1269	20	5	2608750
20210905 161049	-0.777709932832516	1444	398	18	5	4453750
20210905 161152	-0.799623029736694	1490	386	20	5	4581250
20210905 161236	-0.778564372417297	8000	1785	20	5	2432500
20210905 161338	-0.744143902934468	1474	382	19	5	4581250
20210905 161439	-0.761632913761053	1480	382	20	5	4581250
20210905 161540	-0.791482806333023	1481	395	19	5	4386250
20210905 161640	-0.746652941826033	1358	382	18	5	4192500
20210905 161739	-0.780448050421253	1640	355	20	5	4181250
20210905 161812	-0.667609924451369	1931	575	6	5	3766250
20210905 161851	-0.386021107847506	1640	456	8	5	3937500
20210905 161949	-0.820052915545709	1534	341	20	5	4023750
20210905 162043	-0.542820717832189	1559	359	14	5	4055000
20210905 162142	-0.473821979756909	1439	107	15	5	2400000
20210905 162233	-0.074435639036527	1546	333	12	5	3960000
20210905 162329	-0.466098564635827	1506	438	20	5	4425000
20210905 162427	-0.804921150563713	1070	391	20	5	3541250
20210905 162519	-0.0132442252497697	1660	686	19	5	4015000
20210905 162615	-0.39023825186453	2425	388	18	5	4383750
20210905 162659	-0.251983408445751	1821	327	10	5	4293750
20210905 162746	-0.462907946116507	2467	480	11	5	4411250
20210905 162831	-0.0428982960863506	1524	321	10	5	4091250
20210905 162917	-0.888769038606075	1363	430	11	5	4028750
20210905 162959	-0.876100123434375	1716	560	9	5	4040000
20210905 163056	-0.264920079723148	1484	452	17	5	4257500
20210905 163142	-0.218077348148092	2433	560	10	5	4503750
20210905 163218	-0.304621779652328	1405	393	7	5	4211250
20210905 163321	-0.10406279136449	1604	250	20	5	4250000
20210905 163359	-0.27497432827982	1555	214	8	5	4143750
20210905 163444	-0.371429346779812	2443	466	11	5	4376250
20210905 163524	-0.453228327372443	2870	436	9	5	3533750
20210905 163603	-0.497159466774765	1456	495	8	5	4108750
20210905 163640	-0.427239052892187	2362	525	8	5	4117500
20210905 163734	-0.0309324105757736	1605	511	16	5	4371250
20210905 163814	-0.126537870081943	2389	344	9	5	3872500
20210905 163900	-0.154570775788677	1987	494	11	5	3708750
20210905 163955	-0.466967483761994	1302	482	16	5	3973750
20210905 164045	-0.903247916578007	1629	478	12	5	4102500
20210905 164122	-0.936768768899892	1302	556	7	5	4233750
20210905 164148	-0.0352994105712897	1657	387	4	5	3510000
20210905 164231	-0.24461645459728	1922	262	9	5	4142500
20210905 164326	-0.720935827898856	2366	429	17	5	4051250
20210905 164422	-0.89651581485012	1599	382	14	5	4581250
20210905 164517	-0.926500833038663	1584	213	14	5	4077500
20210905 164608	-0.927021431931585	1566	388	11	5	4581250
20210905 164651	-0.925000131107654	1406	619	9	5	3973750
20210905 164724	-0.994218057732391	1439	414	6	5	4325000
20210905 164822	-0.896663872083374	1555	367	17	5	4047500
20210905 164906	-0.985231074936513	1619	274	9	5	4261250
20210905 164958	-0.611852691554227	2488	506	13	5	4407500
20210905 165040	-0.561474996060058	2533	533	8	5	3738750
20210905 165137	-0.440379793610374	2490	452	19	5	4376250
20210905 165234	-0.630356245131286	2518	459	16	5	3715000
20210905 165332	-0.843837578815368	1625	423	16	5	4417500
20210905 165426	-0.886079973006694	1578	388	13	5	4581250
20210905 165517	-0.905043156121886	1629	388	12	5	4436250
20210905 165600	-0.993427231531211	1512	382	8	5	4460000
20210905 165643	-0.362256359133846	2398	565	9	5	4178750
20210905 165729	-0.12521797427357	1115	556	10	5	4200000
20210905 165823	-0.45786963044581	2463	381	14	5	4383750
20210905 165917	-0.9648341262119	1471	620	18	5	3973750
20210905 170014	-0.376580590740516	2489	545	14	5	4278750
20210905 170110	-0.441578284401768	2477	396	17	5	4383750
20210905 170207	-0.3339249193084	2406	558	17	5	4503750
20210905 170307	-0.744505842510532	1454	389	15	5	4581250
20210905 170404	-0.604114804372953	2376	541	13	5	4137500
20210905 170500	-0.0958268401133621	1629	626	19	5	4023750
20210905 170534	-0.393045581233082	2450	535	5	5	3817500
20210905 170629	-0.754993286515053	1617	425	15	5	4417500
20210905 170717	-0.68949376084221	2470	503	11	5	4411250
20210905 170802	-0.566641434122939	1432	378	9	5	4058750
20210905 170859	-0.924893451760985	1455	401	14	5	4485000
20210905 170950	-0.703157258528452	2430	374	12	5	4383750
20210905 171030	-0.5232482325185	1797	250	8	5	4147500
20210905 171125	-0.755002625290683	1443	386	13	5	4581250
20210905 171211	-0.94534732219742	1557	378	10	5	4238750
20210905 171307	-0.341185355706002	2431	406	19	5	4518750
20210905 171400	-0.911552345203702	1535	377	13	5	4238750
20210905 171501	-0.873340570863631	1446	393	20	5	4386250
20210905 171556	-0.571420877496042	1560	425	15	5	4417500
20210905 171654	-0.00941986356294028	1631	352	18	5	4183750
20210905 171742	-0.61805082749511	2562	528	11	5	3738750
20210905 171838	-0.776361228406432	1546	389	14	5	4581250
20210905 171938	-0.923061304815281	1597	427	20	5	4417500
20210905 172033	-0.449727372543534	2423	556	16	5	4546250
20210905 172121	-0.333506787379637	1492	552	10	5	4357500
20210905 172221	-0.354560885632813	2424	450	20	5	4376250
20210905 172314	-0.738872989111545	2434	513	13	5	4421250
20210905 172407	-0.266263957762133	1449	389	13	5	4581250
20210905 172504	-0.25025721119144	1531	382	13	5	4581250
20210905 172605	-0.458833242318121	1422	409	20	5	4305000
20210905 172705	-0.452088251411296	2421	419	19	5	4376250
20210905 172759	-0.210152294245299	2491	382	13	5	4383750
20210905 172851	-0.773446216071949	1443	707	14	5	4331250
20210905 172945	-0.444232796815382	2447	515	13	5	4442500
20210905 173032	-0.302726252672422	1477	426	11	5	4417500
20210905 173130	-0.428661437940576	2429	579	19	5	4448750
20210905 173215	-0.687012698857909	2014	442	10	5	3805000
20210905 173312	-0.216660506160456	2453	444	17	5	4376250
20210905 173406	-0.675908309214346	2399	499	13	5	4086250
20210905 173452	-0.733004599697528	2480	480	10	5	4407500
