fecha	cp	minsplit	minbucket	maxdepth	feature_fraction	num_trees	xval_folds	ganancia
20210913 034756	-0.74946630881265	6482	1767	14	0.246541318926029	60	5	2482500
20210913 041355	-0.519430887619577	7311	923	8	0.529868772493986	71	5	3180000
20210913 044313	-0.451827714776543	3924	351	7	0.682146958905893	83	5	2662500
20210913 050240	-0.688959639992875	3203	1344	15	0.717829212825745	30	5	3200000
20210913 052447	-0.775555169869525	5521	1318	17	0.32983422781496	77	5	3505000
20210913 053014	-0.582259494553242	5297	318	16	0.854289983647565	8	5	2798750
20210913 054330	-0.196390845923452	4650	1466	4	0.879363719342897	43	5	2838750
20210913 061205	-0.00575742810227275	6236	560	11	0.446031128545292	98	5	2432500
20210913 064749	-0.145949532651381	4783	1724	16	0.825772060578068	65	5	2088750
20210913 065020	-0.414394932974634	7632	1522	5	0.364497406827286	17	5	2151250
20210913 070540	-0.116745080425365	1922	718	4	0.475356141105294	92	5	3258750
20210913 071355	-0.329510672661127	2092	489	20	0.281549432314932	35	5	3431250
20210913 071600	0.0898125316773077	2946	604	12	0.60353425492843	12	5	0
20210913 080210	-0.972627479889585	2452	1061	13	0.763028479080337	84	5	3020000
20210913 080228	-0.82011147494389	3625	228	10	0.220368574334619	2	5	2190000
20210913 080750	-0.931368403320084	7713	1099	18	0.424577756947838	19	5	2188750
20210913 085538	-0.294663179984976	4148	25	18	0.635383400856517	75	5	2172500
