fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210909 201505	-0.134646592345962	6454	1084	14	5	1996250
20210909 201622	-0.67923070895049	7294	1748	12	5	2368750
20210909 201729	-0.551069893472595	3712	823	8	5	3160000
20210909 201911	-0.827448300666583	1475	566	16	5	4313750
20210909 202024	-0.380138966937375	2355	883	16	5	3418750
20210909 202100	-0.240469938535534	2707	1247	4	5	2775000
20210909 202203	-0.454857140575768	6510	1266	13	5	1996250
20210909 202326	-0.397111619214411	5284	262	20	5	2157500
20210909 202419	-0.98617570764327	7746	736	8	5	2318750
20210909 202449	0.0759554781514453	4940	1439	17	5	0
20210909 202538	-0.0613035405869595	907	168	6	5	3610000
20210909 202716	-0.904076303901093	1928	487	10	5	4385000
20210909 202809	-0.73790404303727	4184	1504	7	5	2383750
20210909 202917	-0.274459663355083	5641	29	11	5	1767500
20210909 203032	-0.532242885604501	5450	1305	18	5	2341250
20210909 203102	0.0146590433781968	1832	730	3	5	0
20210909 203202	-0.823399278234225	934	422	8	5	3445000
20210909 203322	-0.789148419094212	2093	591	19	5	4261250
20210909 203442	-0.916717106156869	2215	564	19	5	4317500
20210909 203552	-0.870564223045689	2873	540	11	5	3422500
20210909 203744	-0.919929823012753	1759	122	20	5	2887500
20210909 203852	-0.97335291579374	2120	615	18	5	4260000
20210909 204002	-0.947533019838264	1008	504	15	5	3825000
20210909 204115	-0.803862808175632	1023	509	17	5	3972500
20210909 204214	-0.565923870222289	942	470	10	5	3803750
20210909 204321	-0.967054428969728	1529	763	19	5	3431250
20210909 204409	-0.990544956381501	6971	481	9	5	2258750
20210909 204517	-0.841041517687052	2201	883	15	5	3315000
20210909 204623	-0.85107122189369	7024	575	18	5	2258750
20210909 204746	-0.907911470106319	1879	523	17	5	4078750
20210909 204906	-0.945891177438203	2051	453	11	5	4411250
20210909 205007	-0.330295601754912	1944	437	10	5	4388750
20210909 205110	-0.647671353076224	1718	459	11	5	4062500
20210909 205204	-0.799796451902445	2196	438	9	5	4360000
20210909 205308	-0.224360466853757	2165	484	11	5	4360000
20210909 205434	-0.9052425549028	1246	592	19	5	3735000
20210909 205540	-0.541434630579106	2116	316	10	5	4327500
20210909 205619	0.0232393127670308	1369	555	16	5	0
20210909 205710	-0.237810897853447	2170	211	7	5	3553750
20210909 205848	-0.838599900469245	2538	505	18	5	3811250
20210909 210011	-0.482405321160924	2182	501	10	5	4360000
20210909 210125	-0.942315891873386	2204	564	6	5	4470000
20210909 210237	-0.999076556374234	2170	202	8	5	3660000
20210909 210335	-0.805530613350909	2297	966	6	5	3256250
20210909 210509	-0.222496776385575	1853	789	19	5	3573750
20210909 210643	-0.289461543415162	2245	504	18	5	4360000
20210909 210755	-0.820487636790439	2057	564	9	5	4378750
20210909 210924	-0.255855599638953	932	410	11	5	3378750
20210909 211042	-0.29932846983945	2155	554	10	5	4360000
20210909 211219	-0.520306789665909	1969	446	19	5	4331250
20210909 211329	-0.912073960302833	2173	497	9	5	4360000
20210909 211400	-0.972018862620711	1951	541	3	5	3326250
20210909 211525	-0.326927944172495	2281	441	13	5	4360000
20210909 211700	-0.396895500457028	2065	530	20	5	4411250
20210909 211818	-0.951188493122942	2075	593	11	5	4261250
20210909 211909	-0.137345106072985	6	1	6	5	2976250
20210909 212042	-0.276088036115807	2755	497	20	5	3422500
20210909 212148	-0.860420134425496	2148	453	6	5	4512500
20210909 212322	-0.42213428990821	1970	539	17	5	4388750
20210909 212532	-0.371143108630608	2016	366	18	5	4776250
20210909 212740	-0.33899753996248	2019	2	18	5	2966250
20210909 212914	-0.338754267369016	2062	388	15	5	4660000
20210909 213058	-0.358987814870231	1711	392	19	5	4226250
