fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210904 223853	-0.759063092032738	3825	381	15	5	2582500
20210904 223920	-0.216699350034469	2684	1268	5	5	2070000
20210904 224011	-0.92637689558469	4148	290	14	5	2272500
20210904 224040	-0.0686376903162453	5680	1591	6	5	2206250
20210904 224123	-0.514226902594964	6726	1699	17	5	2315000
20210904 224158	-0.702651008235989	7583	703	8	5	2432500
20210904 224221	-0.574356968361826	1361	227	3	5	2661250
20210904 224304	-0.152523844482494	4935	1043	11	5	2050000
20210904 224350	-0.968901075470785	5482	978	16	5	2018750
20210904 224410	0.0757216265192255	7052	752	18	5	0
20210904 224433	-0.860474994900869	6039	1997	4	5	2186250
20210904 224528	-0.321511470033147	3463	57	10	5	2742500
20210904 224619	-0.615721599501558	5503	305	15	5	2076250
20210904 224706	-0.908724474499468	2592	1293	20	5	2620000
20210904 224729	-0.0539435534505173	7166	1940	4	5	2315000
20210904 224811	-0.346258522779681	5319	1931	18	5	2185000
20210904 224910	-0.664460249921713	757	1	10	5	3097500
20210904 224956	-0.680751921822847	3341	1670	12	5	2538750
20210904 225114	-0.760402650761376	5	1	18	5	2280000
20210904 225206	-0.679820503313639	2362	3	9	5	3203750
20210904 225259	-0.706453791361209	1911	401	9	5	3871250
20210904 225356	-0.691177174564886	1747	587	10	5	3890000
20210904 225450	-0.737926388181856	1370	564	9	5	4151250
20210904 225529	-0.803522409465732	1408	704	8	5	4113750
20210904 225613	-0.788247499938048	1168	583	9	5	4015000
20210904 225652	-0.741549762797419	1469	734	8	5	3782500
20210904 225746	-0.836438873202985	1477	462	10	5	4257500
20210904 225839	-0.816931862662989	1433	524	9	5	4276250
20210904 225927	-0.781464588495184	1423	453	11	5	4077500
20210904 230010	-0.878999048927843	1397	628	9	5	3941250
20210904 230055	-0.803169584139879	1624	465	10	5	4257500
20210904 230134	-0.809243267105603	1408	345	8	5	4077500
20210904 230220	-0.812668769586373	1471	573	10	5	4108750
20210904 230255	-0.827220861510375	1716	478	7	5	4021250
20210904 230335	-0.82682552268753	1699	461	9	5	3846250
20210904 230417	-0.851505501405833	1120	519	10	5	4141250
20210904 230506	-0.925185080170438	1489	549	8	5	4286250
20210904 230546	-0.798234682390846	1347	525	8	5	4151250
20210904 230633	-0.87068482340892	1527	351	10	5	4033750
20210904 230732	-0.969026049158086	1565	517	10	5	4355000
20210904 230809	-0.966549392609946	1298	648	7	5	4003750
20210904 230856	-0.961166445155414	1167	436	10	5	4005000
20210904 230936	-0.988627378449854	1267	626	8	5	3735000
20210904 231013	-0.896641321841759	1598	544	7	5	4326250
20210904 231050	-0.850747158864336	1403	633	7	5	4080000
20210904 231136	-0.744054543823055	1448	326	10	5	3882500
20210904 231214	-0.843335819192778	1851	687	7	5	3892500
20210904 231247	-0.663821018351885	1508	373	6	5	4075000
20210904 231323	-0.921606225251777	1572	780	7	5	3596250
20210904 231409	-0.858717434261935	1558	515	10	5	4355000
20210904 231445	-0.959335750191659	2088	347	7	5	3965000
