fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210904 155926	-0.134646592345962	6454	1084	14	5	2368750
20210904 160021	-0.67923070895049	7294	1748	12	5	2368750
20210904 160122	-0.551069893472595	3712	823	8	5	4002500
20210904 160254	-0.827448300666583	1475	566	16	5	5425000
20210904 160356	-0.380138966937375	2355	883	16	5	3612500
20210904 160425	-0.240469938535534	2707	1247	4	5	2910000
20210904 160519	-0.454857140575768	6510	1266	13	5	2368750
20210904 160626	-0.397111619214411	5284	262	20	5	2371250
20210904 160704	-0.98617570764327	7746	736	8	5	2368750
20210904 160728	0.0759554781514453	4940	1439	17	5	0
20210904 160803	-0.0613035405869595	907	168	6	5	4305000
20210904 160852	-0.904076303901093	1928	487	10	5	4910000
20210904 160927	-0.73790404303727	4184	1504	7	5	3321250
20210904 161014	-0.274459663355083	5641	29	11	5	2001250
20210904 161102	-0.532242885604501	5450	1305	18	5	2452500
20210904 161121	0.0146590433781968	1832	730	3	5	0
20210904 161155	-0.793226097542333	764	382	6	5	4753750
20210904 161304	-0.85941316562578	641	313	20	5	3423750
20210904 161402	-0.881908924334654	1333	474	14	5	4680000
20210904 161432	-0.784102845272873	1264	559	5	5	4065000
20210904 161521	-0.824429896777206	1451	426	10	5	4501250
20210904 161618	-0.900640960822491	2429	602	17	5	4615000
20210904 161658	-0.924035688049303	2161	2	8	5	3631250
20210904 161806	-0.999179311738369	1576	77	16	5	3378750
20210904 161904	-0.737217515941616	1906	549	17	5	5291250
20210904 162018	-0.752643289283328	1163	566	15	5	5435000
