fecha	cp	minsplit	minbucket	maxdepth	feature_fraction	num_trees	xval_folds	ganancia
20210912 140554	-0.905711306552985	3129	455	10	0.697779067520363	75	5	3583750
20210912 141747	-0.288115565894986	5643	1200	9	0.391768125390323	43	5	2250000
20210912 144159	-0.492763678025221	4452	913	15	0.477079563657753	48	5	4625000
20210912 153631	-0.808436681283638	4217	832	9	0.66622909019546	91	5	5348750
20210912 153946	-0.608663237660463	6197	1987	12	0.302478921840278	15	5	2485000
20210912 155815	-0.012544359685853	4865	7	18	0.279102089504401	53	5	2630000
20210912 163030	-0.537234748169431	5312	1510	6	0.738403436006047	82	5	2543750
20210912 164458	-0.964673567091813	3347	715	19	0.516989167057909	33	5	2111250
20210912 170915	-0.192984160160995	7728	1409	17	0.596655190549791	58	5	2432500
20210912 171118	0.0537761581227341	5733	534	3	0.244758168646755	27	5	0
20210912 182417	-0.321121478950954	3952	227	20	0.797105568880215	80	5	4316250
20210912 183012	-0.742878298046223	6571	1137	8	0.109353577865598	63	5	0
20210912 183130	-0.430424891748892	6719	660	15	0.623164972290397	2	5	2273750
20210912 185149	-0.362112100845358	7034	115	5	0.400079134634385	97	5	2246250
