fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210918 002119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	240	TRUE	0.0321083539514594	0.461020088500663	17033	1729	0.0454843747325325	7953750
20210918 002205	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	76	TRUE	0.0584952512535716	0.598642187792051	1470	1486	0.0434652695159214	8478750
20210918 002405	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	564	TRUE	0.00938003842622726	0.797308245495602	9679	1666	0.0474226411284943	8235000
20210918 002443	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0781767733012421	0.821579384644021	6661	369	0.0494712654552426	8415000
20210918 002524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0393186037630048	0.286835709291743	12501	1099	0.0494162670164111	8002500
20210918 002557	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	165	TRUE	0.0710581135778887	0.656384141645103	7698	2596	0.0498794036126091	8276250
20210918 002819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	883	TRUE	0.018385866271955	0.205557181310694	13645	99	0.0493590278055537	7980000
20210918 002919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	321	TRUE	0.0553223297962853	0.182795998135087	8395	2668	0.0493128498677778	8321250
20210918 003009	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0653211014608631	0.418335028926376	5500	1228	0.0462101929988461	8230000
20210918 003137	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	304	TRUE	0.0221878417441237	0.372296968027891	14666	2854	0.0469500821436224	8012500
20210918 003224	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.096028428799167	0.512012660909997	501	2182	0.036218866141937	7953750
20210918 003302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0470672609050528	0.748496646613668	11388	668	0.0477269494047693	8128750
20210918 003346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	320	TRUE	0.0921889183098817	0.0453438697764359	10835	843	0.0535882055492551	7853750
20210918 004138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1567	TRUE	0.00622666881204481	0.923052818203083	3832	1955	0.0438568577555263	8525000
20210918 004403	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	667	TRUE	0.0275892494865373	0.0758253011696506	2964	551	0.050106799516615	8333750
20210918 004512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	285	TRUE	0.0857886193164652	0.970341134777147	15971	2302	0.0495680453779763	8196250
20210918 004621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	170	TRUE	0.0483206004539108	0.957520387091882	1288	1477	0.0397161365288246	8237500
20210918 005321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	448	TRUE	0.00499928829727496	0.96387284331444	909	2117	0.0406572818150973	8485000
