fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia
20210915 220905	99	14	366	22	5	5026250
20210915 221629	256	12	317	29	5	4598750
20210915 222330	307	6	429	46	5	4057500
20210915 222603	339	3	198	28	5	2450000
20210915 224043	359	11	50	41	5	4532500
20210915 224100	7	10	379	12	5	4027500
20210915 224846	231	20	161	25	5	4018750
20210915 225949	417	7	286	41	5	4545000
20210915 230005	35	1	245	7	5	-1250
20210915 230340	186	15	21	15	5	4416250
20210915 230425	395	4	135	2	5	-3750
20210915 231319	190	16	457	37	5	4351250
20210915 234524	476	18	101	50	5	3353750
20210915 234734	90	0	499	17	5	4760000
20210915 235437	444	18	251	8	5	5575000
20210915 235642	136	5	80	35	5	4208750
20210916 000248	481	18	376	10	5	5375000
20210916 000334	115	19	308	3	5	5295000
20210916 000547	500	20	278	2	5	4870000
20210916 000922	229	17	296	12	5	5285000
20210916 001010	70	17	500	6	5	5243750
20210916 002001	500	14	500	17	5	5258750
20210916 002145	151	20	272	8	5	5115000
20210916 002620	423	15	407	6	5	5671250
20210916 003111	500	16	314	7	5	5581250
20210916 003321	500	15	500	2	5	4611250
20210916 003607	284	16	392	7	5	5660000
20210916 004112	400	15	404	10	5	5418750
20210916 004428	381	17	353	6	5	5631250
20210916 004444	2	16	401	5	5	981250
20210916 004557	281	14	367	2	5	4335000
20210916 004730	132	18	500	8	5	5635000
20210916 005017	295	17	465	7	5	5442500
20210916 005307	287	19	387	7	5	5542500
20210916 005642	176	14	500	16	5	5210000
20210916 010032	331	18	308	6	5	5855000
20210916 010831	287	17	383	21	5	4800000
20210916 011151	259	19	322	7	5	5953750
20210916 011443	153	9	396	23	5	4898750
20210916 011643	240	10	500	8	5	5381250
20210916 012103	412	20	313	8	5	5612500
20210916 012426	499	9	391	7	5	5087500
20210916 013533	500	19	256	17	5	4912500
20210916 013831	284	18	500	7	5	5850000
20210916 014149	300	17	328	8	5	5536250
20210916 014401	242	20	307	6	5	5602500
20210916 014850	445	7	500	17	5	4773750
20210916 015228	436	18	319	6	5	5793750
20210916 015557	115	19	314	23	5	4502500
20210916 015757	53	11	361	38	5	4133750
20210916 021222	485	12	500	30	5	4751250
20210916 021305	63	7	500	13	5	4705000
20210916 021519	242	16	500	7	5	5881250
20210916 021902	269	17	500	11	5	4865000
20210916 022813	499	12	389	18	5	5413750
20210916 023230	259	11	386	16	5	5247500
20210916 023445	89	12	500	24	5	4543750
20210916 025315	500	14	380	33	5	4676250
20210916 025440	207	19	500	4	5	5568750
20210916 025731	318	14	500	7	5	5745000
20210916 030927	500	13	445	22	5	5283750
20210916 031334	106	14	1	33	5	3326250
20210916 031725	408	18	291	7	5	5647500
20210916 032153	500	15	387	7	5	5565000
20210916 032257	215	19	227	2	5	5107500
20210916 032925	500	19	176	10	5	5130000
20210916 033504	471	19	20	9	5	4955000
20210916 033639	76	18	500	15	5	4618750
20210916 033927	254	19	92	8	5	5418750
20210916 034158	259	18	288	7	5	5453750
20210916 034248	121	20	42	3	5	5348750
20210916 034343	53	20	74	11	5	2966250
20210916 034503	282	19	41	2	5	4867500
20210916 034811	364	20	126	6	5	5745000
20210916 034916	172	20	124	3	5	5316250
20210916 035233	342	19	181	7	5	5563750
20210916 035844	370	19	106	13	5	5131250
20210916 040140	341	19	322	6	5	5820000
20210916 040448	183	19	323	13	5	5063750
