Feature	Gain	Cover	Frequency
mdescubierto_preacordado_delta1	0.101334160014795	0.00415533649387154	0.00107444000654007
ctrx_quarter	0.0821869415237604	0.00991702797712881	0.00383839799437865
mdescubierto_preacordado	0.0436949969776294	0.000856648164657725	0.00086422348352136
mcuentas_saldo	0.0313586652511193	0.0055224326770183	0.00321553422247137
mcuenta_corriente_dolariza	0.0273910322272985	0.00317130512448461	0.00313767625098296
foto_mes	0.0164773570867642	0.00727017136411581	0.00470262147790001
mprestamos_personales	0.0163191837919762	0.00509977234719712	0.00181409073567997
mcaja_ahorro	0.0121863188583123	0.00494167555576015	0.00278731537928511
ctarjeta_visa	0.0107780073352419	0.000515417711073551	0.000210216523018709
Visa_Finiciomora_delta1	0.010293841909974	0.00312718234720128	0.000397075654590895
Master_status	0.00910715727029643	0.0020073523012688	0.000521648408972353
mpayroll	0.00901904917351335	0.00570596474788516	0.000778579714884109
cpayroll_trx	0.00879056749443357	0.0062579681644139	0.00050607681467467
mcuenta_corriente	0.00766396621940641	0.00306952553447259	0.00320774842532253
mprestamos_personales_delta1	0.00686158665755326	0.00807674936086636	0.00245252610188494
mtarjeta_visa_consumo	0.00684130585611802	0.0055608888505865	0.00137808609534487
ctrx_quarter_delta1	0.00670698040226349	0.00428662068260444	0.00583156206448197
ctarjeta_visa_transacciones	0.00611459289514326	0.00757449814559107	0.00207880783874057
mdescubierto_preacordado_dolariza	0.00509240666779799	0.00354368277640407	0.00386175538582518
mcuentas_saldo_dolariza	0.0047985823405712	0.0075065742489182	0.00300531769945266
mcaja_ahorro_dolariza	0.00468811505774496	0.00257051922136094	0.00168951798129852
mtarjeta_visa_consumo_dolariza	0.00438416912356171	0.00173935765786704	0.000879795077819042
mcuentas_saldo_lag1	0.0036191616561767	0.00209415332009792	0.00407197190884389
mcuenta_corriente_lag1	0.00353463017802201	0.00244968124843166	0.00389289857442054
cliente_edad	0.00345347869255338	0.00403069379370174	0.00530212785836078
mcuentas_saldo_delta1	0.00342673272440992	0.00407410673438074	0.00473376466649538
mpasivos_margen	0.003412482127977	0.0024400630232687	0.00327003480251326
mrentabilidad_annual_dolariza	0.00335466888751682	0.00306172075327385	0.00420433046037418
mrentabilidad_annual_delta1	0.00327095007878792	0.00300570684428836	0.00567584612150515
cliente_antiguedad_lag1	0.00324626561185244	0.00522690859934589	0.00365153886280647
mrentabilidad_annual_lag1	0.00324532198633447	0.00329604263680582	0.0057225609043982
cproductos	0.00312669323092517	0.00272678857890917	0.00186080551857302
internet	0.00311074985318056	0.00031763910703005	0.00101993942649818
mactivos_margen	0.00310324004659398	0.00237958359120632	0.00372939683429488
Visa_Fvencimiento_lag1	0.00309477478341778	0.00322873589348744	0.005193126698277
numero_de_cliente	0.0030935611721459	0.00582376378987629	0.00548120119278412
cliente_edad_lag1	0.00309030633166378	0.00419754059862805	0.00502962495815134
mactivos_margen_dolariza	0.0030795977834111	0.00272213107453131	0.00316103364242948
Visa_status_lag1	0.0029501337901958	0.000774048076855027	0.000194644928721027
Visa_mpagospesos	0.00293019172513535	0.00382220172067722	0.00189194870716838
mrentabilidad_annual	0.00290437265632734	0.00267163938411617	0.00439897538909521
Visa_delinquency	0.00282802073611581	0.00106038678067	0.000147930145827981
Visa_msaldopesos	0.00279089887283427	0.0028004580767513	0.00129244232670762
mcomisiones_mantenimiento_dolariza	0.00273658709756704	0.00544153669887851	0.00253038407337335
canarito98	0.00273572042464462	0.00296423089989599	0.00530991365550962
mcuenta_corriente_delta1	0.00273266174970367	0.00376727606054753	0.00410311509743925
ctrx_quarter_lag1	0.00266873995919106	0.00252964453959358	0.00398632814020664
canarito91	0.00263887622623086	0.00189525248080592	0.005193126698277
canarito65	0.00262838866214226	0.00356990795434323	0.00516198350968164
canarito85	0.00259989403484462	0.00305050136604462	0.00523984148117005
canarito45	0.00259738580431757	0.00244481670837754	0.00523984148117005
Master_fechaalta_lag1	0.00259427860473716	0.00413131016711032	0.00412647248888578
canarito95	0.00259354787106195	0.00344977662466596	0.00523205568402121
canarito63	0.0025676773822186	0.00346610742849754	0.00506855394389555
Visa_fechaalta	0.00256438843347538	0.00318435909262922	0.00370603944284836
Master_Fvencimiento	0.00255328434561931	0.00314694714527395	0.00460919191211392
canarito48	0.00255021431006836	0.00233353925217264	0.00502962495815134
canarito105	0.00254864918947427	0.00186263808913797	0.00517755510397932
Visa_fechaalta_lag1	0.00254820222042988	0.00209431762567868	0.00383061219722981
canarito55	0.00253753869457704	0.0020273113616084	0.00511526872678859
canarito53	0.00253485933066405	0.00200579706265038	0.00495955278381177
canarito34	0.00251320606288778	0.00271236747580499	0.00531769945265846
chomebanking_transacciones	0.00249843848750252	0.00200435944584288	0.00379168321148561
Master_fultimo_cierre	0.00248112953794513	0.00401460066652238	0.00294303132226193
canarito16	0.00247652270367462	0.00316341670786762	0.00492062379806757
canarito76	0.00247461388938653	0.00442417114100131	0.00499848176955598
mactivos_margen_lag1	0.00246832378929745	0.00365783865957629	0.00415761567748114
canarito52	0.00246820598410548	0.00363044653945597	0.00502962495815134
canarito92	0.00246202556980112	0.00242227871190016	0.00493619539236525
canarito59	0.00245940731679049	0.00140351096821992	0.00491283800091872
canarito107	0.00245839566970943	0.00228437797316523	0.00499069597240714
canarito19	0.00245298084604392	0.00278614577572305	0.0050607681467467
canarito86	0.00245010401223887	0.00199368939124715	0.0050607681467467
canarito69	0.00244879137560628	0.00313906777648856	0.00496733858096061
canarito56	0.00244280850024821	0.00172220722693663	0.00492062379806757
canarito72	0.00242749189534624	0.002584439804503	0.00480383684083495
Visa_Fvencimiento	0.00242533278034109	0.00281060107614768	0.00451576234632783
canarito37	0.00241253296154608	0.00295868473118315	0.00490505220376988
canarito97	0.00241180100156314	0.00288075370465246	0.00504519655244902
canarito18	0.00240895510321583	0.00182410770814411	0.00472597886934654
canarito21	0.00240590815719391	0.00245333292285678	0.00467926408645349
canarito67	0.00239842413134605	0.00240847901995356	0.00493619539236525
Master_Fvencimiento_lag1	0.00239678537162796	0.00398480744957635	0.00446904756343478
canarito9	0.00239327057355312	0.00220751580727976	0.00483498002943031
canarito39	0.00239137432332342	0.0016235936936985	0.00474155046364422
canarito101	0.00239124717747648	0.00202525218157892	0.00487390901517452
canarito57	0.00238843570640888	0.00414975314541367	0.00481162263798379
canarito88	0.00238762412137248	0.00300002244903881	0.00483498002943031
canarito70	0.00238580478331781	0.00326067808448927	0.00500626756670482
mrentabilidad_delta1	0.00238445296430803	0.00181308851369329	0.00438340379479753
canarito35	0.00238305759809898	0.00166696671747334	0.00502962495815134
canarito40	0.00238146069202539	0.00196840328699052	0.00494398118951409
canarito71	0.00237847210068992	0.00174786193529114	0.00473376466649538
