fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211120 090255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	229.2	276	TRUE	0.0523156446021283	0.61030229422811	62	2270	81.4246952037141	0.656210531347084	10	0.0395964617174228	6645625	5665625	0.0406216263714192	6882500	5532500	83
20211120 091755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1744.5	322	TRUE	0.0326798060294427	0.866984218339622	5367	5	36.6276078495942	0.128784917028854	10	0.039042454369712	6078375	5718375	0.0549320880721046	5995000	5745000	84
20211120 093757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	334.8	231	TRUE	0.126207743611229	0.971265123651829	11	5363	98.4102634624392	0.275033730148368	10	0.0383587323106793	6375500	5360500	0.0357426794875014	6561250	5411250	85
20211120 094821	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	769.9	232	TRUE	0.124529790545674	0.236315391180269	3527	3	40.9139573284052	0.0550385035207449	10	0.0330621877432151	6031625	5476625	0.0327885315457809	5902500	5602500	86
20211120 095603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136.1	224	TRUE	0.165528130823565	0.88261954263791	442	277	61.8365347367153	0.570535886190257	10	0.0375076364305859	6592625	5557625	0.0345961688132359	6882500	5982500	87
20211120 100651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	282.6	247	TRUE	0.0837081694319611	0.536988601999683	1177	163	51.9963171639852	0.893036055573048	10	0.0353794782957998	6860500	5880500	0.0372155691128351	6991250	6141250	88
20211120 101646	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93.4	229	TRUE	0.135907668670914	0.227405949038547	74	2686	79.6658391005546	0.92661385726196	10	0.0380775442912974	6447500	5487500	0.0365377051375394	6842500	5742500	89
20211120 104123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	373.4	238	TRUE	0.10456647340429	0.390079158678278	10	11305	99.816804939583	0.527011220171054	10	0.0393144368289356	6402750	5452750	0.0392826358029341	6482500	5582500	90
20211120 105448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	131.6	233	TRUE	0.118353902215115	0.685175776458695	176	1146	71.0290445886739	0.939915427650241	10	0.0370281104332471	6519250	5619250	0.0413831772572452	6618750	5818750	91
20211120 111009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	863.7	234	TRUE	0.117303146798201	0.501604198471014	18833	6	23.4084858779609	0.459634654532154	10	0.0421422175357552	6260375	5725375	0.0393077418760932	6278750	5878750	92
