fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211119 135404	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	378821	88.8269503379706	0.107249188990681	378821	1	231	5363	0.0448812901174127	6446250	5596250	5363	0.0448812901174127	6446250	5596250	3
20211119 135519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	964333	88.8269503379706	0.107249188990681	964333	2	200	5168	0.0432493953620714	6590000	5690000	4421	0.0369979831454562	6623750	5523750	3
20211119 135635	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	187049	88.8269503379706	0.107249188990681	187049	3	190	4763	0.0398600754855933	6396250	5296250	4638	0.0388139891039642	6652500	5552500	3
20211119 135747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	205151	88.8269503379706	0.107249188990681	205151	4	165	4042	0.0338262492363569	6397500	5297500	4571	0.0382532868034111	6786250	5486250	3
20211119 135909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	813697	88.8269503379706	0.107249188990681	813697	5	232	4503	0.0376842158118049	6621250	5171250	4281	0.0358263663980317	6798750	5448750	3
20211119 140013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	344719	88.8269503379706	0.107249188990681	344719	6	94	4072	0.0340773099679479	6610000	5210000	4122	0.0344957445205995	6747500	5297500	3
20211119 140140	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	127217	88.8269503379706	0.107249188990681	127217	7	266	4693	0.039274267111881	6483750	5633750	4404	0.0368557153975547	6795000	5395000	3
20211119 140327	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	464371	88.8269503379706	0.107249188990681	464371	8	464	4554	0.0381110190555095	5957500	5507500	4247	0.0355418309022286	6741250	5241250	3
20211119 140428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	645137	88.8269503379706	0.107249188990681	645137	9	111	5385	0.0450654013205794	6468750	5068750	4144	0.0346798557237662	6820000	5120000	3
20211119 140539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	232	TRUE	0.122252425838669	0.748017167893704	30	767	480803	88.8269503379706	0.107249188990681	480803	10	162	5266	0.0440695270852686	6517500	5067500	4256	0.0356171491217059	6780000	5280000	3
20211119 140639	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	378821	75.483642690815	0.343145421289228	378821	1	99	5089	0.0425882687688819	6538750	5588750	5089	0.0425882687688819	6538750	5588750	4
20211119 140752	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	964333	75.483642690815	0.343145421289228	964333	2	182	5147	0.0430736528499577	6666250	5566250	4818	0.0403203534935101	6677500	5727500	4
20211119 140921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	187049	75.483642690815	0.343145421289228	187049	3	269	4743	0.0396927016645326	6621250	5921250	4947	0.0413999146393513	6816250	5766250	4
20211119 141017	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	205151	75.483642690815	0.343145421289228	205151	4	87	3794	0.0317508138552049	6707500	5807500	4548	0.0380608069091913	6715000	5865000	4
20211119 141124	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	813697	75.483642690815	0.343145421289228	813697	5	144	4682	0.0391822115102977	6697500	5897500	4818	0.0403203534935101	6777500	5727500	4
20211119 141249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	344719	75.483642690815	0.343145421289228	344719	6	255	4657	0.0389729942339719	6728750	5878750	4733	0.0396090147540023	6883750	5883750	4
20211119 141432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	127217	75.483642690815	0.343145421289228	127217	7	355	3996	0.0334412894479175	7005000	5505000	4567	0.0382198120391989	6841250	6041250	4
20211119 141538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	464371	75.483642690815	0.343145421289228	464371	8	142	4987	0.0417346622814726	6666250	5766250	4246	0.0355334622111756	6892500	6042500	4
20211119 141702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	645137	75.483642690815	0.343145421289228	645137	9	240	4327	0.0362113261864712	6791250	5591250	4123	0.0345041132116526	6896250	5896250	4
20211119 141818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	262	TRUE	0.0642195654040552	0.4943778087385	113	652	480803	75.483642690815	0.343145421289228	480803	10	193	4274	0.0357677855606605	6957500	6107500	4104	0.0343451080816449	7020000	5870000	4
20211119 141940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	378821	35.4673616588116	0.41958289853661	378821	1	745	4457	0.0372992560233654	7078750	5978750	4457	0.0372992560233654	7078750	5978750	5
20211119 142014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	964333	35.4673616588116	0.41958289853661	964333	2	173	4776	0.0399688684692827	6480000	6080000	4185	0.0350229720569406	6468750	5768750	5
20211119 142128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	187049	35.4673616588116	0.41958289853661	187049	3	653	4000	0.0334747642121296	6600000	5850000	4437	0.0371318822023047	6403750	5653750	5
20211119 142228	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	205151	35.4673616588116	0.41958289853661	205151	4	507	4905	0.0410484296151239	6668750	5768750	4131	0.0345710627400768	6586250	5736250	5
20211119 142337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	813697	35.4673616588116	0.41958289853661	813697	5	597	3237	0.0270894529386659	6453750	5553750	3681	0.0308051517662122	6448750	5698750	5
20211119 142447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	344719	35.4673616588116	0.41958289853661	344719	6	603	4673	0.0391068932908204	6758750	5858750	3653	0.0305708284167273	6483750	5783750	5
20211119 142539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	127217	35.4673616588116	0.41958289853661	127217	7	390	4840	0.0405044646966768	6400000	6e+06	5157	0.0431573397604881	6453750	5853750	5
20211119 142611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	464371	35.4673616588116	0.41958289853661	464371	8	152	5224	0.0437180420610412	6420000	5820000	5028	0.0420777786146469	6415000	5915000	5
20211119 142733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	645137	35.4673616588116	0.41958289853661	645137	9	756	4226	0.0353660883901149	6617500	5667500	4833	0.0404458838593056	6458750	5658750	5
20211119 142822	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	228	TRUE	0.142166489310039	0.417988810656243	6009	15	480803	35.4673616588116	0.41958289853661	480803	10	354	3871	0.0323952030662884	6561250	6061250	4583	0.0383537110960475	6471250	5621250	5
20211119 143114	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	378821	99.1225444432348	0.925224460883182	378821	1	495	4409	0.0368975588528198	6438750	5488750	4409	0.0368975588528198	6438750	5488750	6
20211119 143323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	964333	99.1225444432348	0.925224460883182	964333	2	110	4450	0.0372406751859942	6237500	5737500	4138	0.034629643577448	6327500	5677500	6
20211119 143526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	187049	99.1225444432348	0.925224460883182	187049	3	66	4611	0.0385880344455324	6286250	4986250	5087	0.0425715313867758	6391250	5641250	6
20211119 143829	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	205151	99.1225444432348	0.925224460883182	205151	4	602	4575	0.0382867615676232	6631250	5581250	4447	0.0372155691128351	6541250	5141250	6
20211119 144123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	813697	99.1225444432348	0.925224460883182	813697	5	529	4477	0.037466629844426	6203750	5303750	4915	0.0411321165256542	6556250	5406250	6
20211119 144329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	344719	99.1225444432348	0.925224460883182	344719	6	73	3734	0.031248692392023	6332500	5032500	4846	0.040554676842995	6442500	5192500	6
20211119 144543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	127217	99.1225444432348	0.925224460883182	127217	7	143	4918	0.0411572225988133	6202500	5652500	5209	0.0435925116952457	6338750	5338750	6
20211119 144807	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	464371	99.1225444432348	0.925224460883182	464371	8	214	4362	0.0365042303733273	6297500	5247500	4007	0.0335333450495008	6391250	5491250	6
20211119 145014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	645137	99.1225444432348	0.925224460883182	645137	9	93	5255	0.0439774714836852	6281250	5031250	3873	0.0324119404483945	6408750	5508750	6
20211119 145308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	235	TRUE	0.111167189658445	0.314596847450593	11	18043	480803	99.1225444432348	0.925224460883182	480803	10	500	4557	0.0381361251286686	6653750	5353750	3770	0.0315499652699321	6387500	5487500	6
20211119 145515	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	378821	69.4358978548553	0.955571887505503	378821	1	281	3768	0.0315332278878261	6640000	5840000	3768	0.0315332278878261	6640000	5840000	7
20211119 145754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	964333	69.4358978548553	0.955571887505503	964333	2	437	5949	0.0497853430744897	6563750	6063750	4999	0.0418350865741089	6551250	6101250	7
20211119 145942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	187049	69.4358978548553	0.955571887505503	187049	3	197	3739	0.0312905358472881	6726250	5776250	4477	0.037466629844426	6553750	6053750	7
20211119 150149	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	205151	69.4358978548553	0.955571887505503	205151	4	291	4067	0.0340354665126828	6916250	5916250	4424	0.0370230892186153	6620000	5820000	7
20211119 150340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	813697	69.4358978548553	0.955571887505503	813697	5	209	5622	0.0470487811001481	6972500	5922500	4382	0.036671604194388	6772500	5822500	7
20211119 150601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	344719	69.4358978548553	0.955571887505503	344719	6	348	4381	0.0366632355033349	6923750	5923750	4353	0.03642891215385	6758750	5908750	7
20211119 150739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	127217	69.4358978548553	0.955571887505503	127217	7	154	5101	0.0426886930615182	6823750	6323750	3952	0.033073067041584	6660000	5810000	7
20211119 150947	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	464371	69.4358978548553	0.955571887505503	464371	8	299	4510	0.0377427966491761	6862500	5912500	3982	0.033324127773175	6722500	5872500	7
20211119 151158	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	645137	69.4358978548553	0.955571887505503	645137	9	309	3770	0.0315499652699321	7037500	5487500	4501	0.0376674784296988	6673750	6073750	7
20211119 151423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	319	TRUE	0.03346586178086	0.687713697344589	207	991	480803	69.4358978548553	0.955571887505503	480803	10	374	4447	0.0372155691128351	7041250	5941250	4686	0.0392156862745098	6742500	6142500	7
20211119 151623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	378821	45.8408995973878	0.208499025527854	378821	1	1139	4897	0.0409814800866996	6378750	6078750	4897	0.0409814800866996	6378750	6078750	8
20211119 151930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	964333	45.8408995973878	0.208499025527854	964333	2	2059	4183	0.0350062346748345	6721250	6271250	4433	0.0370984074380926	6458750	6158750	8
20211119 152200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	187049	45.8408995973878	0.208499025527854	187049	3	1550	4592	0.0384290293155248	6410000	6210000	4314	0.0361025332027818	6407500	6157500	8
20211119 152313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	205151	45.8408995973878	0.208499025527854	205151	4	529	3869	0.0323784656841823	6213750	5913750	4614	0.0386131405186915	6332500	6082500	8
20211119 152550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	813697	45.8408995973878	0.208499025527854	813697	5	1625	4579	0.0383202363318353	6426250	6076250	4605	0.0385378222992142	6393750	6043750	8
20211119 152833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	344719	45.8408995973878	0.208499025527854	344719	6	1704	4213	0.0352572954064255	6433750	6133750	5245	0.0438937845731549	6343750	6143750	8
20211119 153136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	127217	45.8408995973878	0.208499025527854	127217	7	1991	4835	0.0404626212414116	6406250	6206250	4436	0.0371235135112517	6305000	6055000	8
20211119 153446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	464371	45.8408995973878	0.208499025527854	464371	8	2033	4139	0.0346380122685011	6576250	6026250	4367	0.0365460738285925	6341250	5991250	8
20211119 153738	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	645137	45.8408995973878	0.208499025527854	645137	9	1834	5159	0.0431740771425941	6451250	6251250	4390	0.0367385537228122	6362500	6162500	8
20211119 154045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	480803	45.8408995973878	0.208499025527854	480803	10	2023	4014	0.033591925886872	6482500	6032500	4428	0.0370565639828274	6365000	6165000	8
20211119 154131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	378821	31.3077909336425	0.31858175157613	378821	1	508	4674	0.0391152619818734	6007500	5657500	4674	0.0391152619818734	6007500	5657500	9
20211119 154225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	964333	31.3077909336425	0.31858175157613	964333	2	659	3864	0.0323366222289172	6470000	5570000	3516	0.0294243177424619	6055000	5805000	9
20211119 154256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	187049	31.3077909336425	0.31858175157613	187049	3	281	4196	0.0351150276585239	5955000	5255000	4487	0.0375503167549564	6091250	5641250	9
20211119 154352	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	205151	31.3077909336425	0.31858175157613	205151	4	701	3851	0.0322278292452278	6336250	5936250	3677	0.0307716770020001	6153750	5953750	9
20211119 154516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	813697	31.3077909336425	0.31858175157613	813697	5	1160	4437	0.0371318822023047	6653750	5553750	3884	0.0325039960499778	6345000	5845000	9
20211119 154610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	344719	31.3077909336425	0.31858175157613	344719	6	670	4359	0.0364791243001682	6651250	6201250	3847	0.0321943544810156	6341250	5941250	9
20211119 154722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	127217	31.3077909336425	0.31858175157613	127217	7	960	4631	0.038755408266593	6211250	5811250	4032	0.0337425623258266	6260000	5710000	9
20211119 154828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	464371	31.3077909336425	0.31858175157613	464371	8	857	4120	0.0344790071384935	6400000	5950000	4329	0.0362280635685772	6238750	5938750	9
20211119 154906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	645137	31.3077909336425	0.31858175157613	645137	9	393	4140	0.0346463809595541	6475000	5825000	3914	0.0327550567815688	6307500	5807500	9
20211119 154939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	220	TRUE	0.198898604344577	0.17779216777999	8978	8	480803	31.3077909336425	0.31858175157613	480803	10	297	5738	0.0480195492622999	6177500	5427500	3881	0.0324788899768187	6348750	5898750	9
20211119 155057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	223	TRUE	0.169647188904637	0.575881433632458	154	640	378821	72.3535847198218	0.459251188146736	378821	1	223	4277	0.0357928916338196	6403750	5103750	4277	0.0357928916338196	6403750	5103750	10
20211119 155144	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	223	TRUE	0.169647188904637	0.575881433632458	154	640	964333	72.3535847198218	0.459251188146736	964333	2	45	4365	0.0365293364464864	6593750	5243750	5364	0.0448896588084658	6445000	5695000	10
20211119 155255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	223	TRUE	0.169647188904637	0.575881433632458	154	640	187049	72.3535847198218	0.459251188146736	187049	3	179	4131	0.0345710627400768	6336250	5436250	4884	0.0408726871030102	6695000	5795000	10
20211119 155343	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	223	TRUE	0.169647188904637	0.575881433632458	154	640	205151	72.3535847198218	0.459251188146736	205151	4	51	4729	0.0395755399897902	6288750	5338750	4430	0.0370733013649335	6912500	5862500	10
20211119 155444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	223	TRUE	0.169647188904637	0.575881433632458	154	640	813697	72.3535847198218	0.459251188146736	813697	5	120	4812	0.0402701413471919	6585000	5285000	4172	0.0349141790732512	6835000	5635000	10
20211119 155538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	9999	223	TRUE	0.169647188904637	0.575881433632458	154	640	344719	72.3535847198218	0.459251188146736	344719	6	83	5212	0.0436176177684048	6585000	5235000	4497	0.0376340036654867	6878750	5778750	10
