fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211122 142705	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	378821	42.7976244580932	0.650360832637758	378821	1	98	6044	0.0505803687245278	4295000	4045000	6044	0.0505803687245278	4295000	4045000	1
20211122 142717	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	964333	42.7976244580932	0.650360832637758	964333	2	99	7205	0.0602964190370984	4343750	3943750	4281	0.0358263663980317	4348750	4498750	1
20211122 142729	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	187049	42.7976244580932	0.650360832637758	187049	3	107	5439	0.0455173106374432	4301250	4401250	4805	0.0402115605098207	4243750	4393750	1
20211122 142741	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	205151	42.7976244580932	0.650360832637758	205151	4	87	4693	0.039274267111881	4333750	4533750	4237	0.0354581439916983	4253750	4503750	1
20211122 142754	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	813697	42.7976244580932	0.650360832637758	813697	5	106	6238	0.0522038947888161	4352500	4302500	5810	0.0486220950181182	4237500	4287500	1
20211122 142806	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	344719	42.7976244580932	0.650360832637758	344719	6	100	4552	0.0380942816734035	4360000	4410000	7442	0.0622797988166671	4247500	3847500	1
20211122 142818	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	127217	42.7976244580932	0.650360832637758	127217	7	104	6742	0.0564217150795444	4322500	3922500	7423	0.0621207936866595	4271250	3871250	1
20211122 142830	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	464371	42.7976244580932	0.650360832637758	464371	8	84	3825	0.0320102432778489	4218750	4368750	4687	0.0392240549655628	4291250	4441250	1
20211122 142842	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	645137	42.7976244580932	0.650360832637758	645137	9	105	7397	0.0619032077192806	4303750	4053750	7395	0.0618864703371746	4306250	3956250	1
20211122 142854	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	123	153.026626273058	102.371438988484	2930	48	480803	42.7976244580932	0.650360832637758	480803	10	108	4416	0.0369561396901911	4480000	4480000	7378	0.061744202589273	4327500	3927500	1
