semilla	subsamping	oficial	meseta	ganancia
999983	0.1	1	9559	12701250
999983	0.1	0	5000	10400000
999983	0.1	0	5500	10975000
999983	0.1	0	6000	11150000
999983	0.1	0	6500	11525000
999983	0.1	0	7000	11950000
999983	0.1	0	7500	12325000
999983	0.1	0	8000	12500000
999983	0.1	0	8500	12675000
999983	0.1	0	9000	12700000
999983	0.1	0	9500	12775000
999983	0.1	0	10000	12800000
999983	0.1	0	10500	12525000
999983	0.1	0	11000	12600000
999983	0.1	0	11500	12475000
999983	0.1	0	12000	12200000
999983	0.1	0	12500	12325000
999983	0.1	0	13000	11950000
999983	0.1	0	13500	11975000
999983	0.1	0	14000	11850000
999983	0.1	0	14500	11425000
999983	0.1	0	15000	11300000
687683	0.1	1	9559	12501250
687683	0.1	0	5000	11050000
687683	0.1	0	5500	11575000
687683	0.1	0	6000	11950000
687683	0.1	0	6500	12025000
687683	0.1	0	7000	12750000
687683	0.1	0	7500	12875000
687683	0.1	0	8000	13050000
687683	0.1	0	8500	13075000
687683	0.1	0	9000	12750000
687683	0.1	0	9500	12525000
687683	0.1	0	10000	12750000
687683	0.1	0	10500	12675000
687683	0.1	0	11000	12650000
687683	0.1	0	11500	12625000
687683	0.1	0	12000	12350000
687683	0.1	0	12500	12125000
687683	0.1	0	13000	11850000
687683	0.1	0	13500	11675000
687683	0.1	0	14000	11450000
687683	0.1	0	14500	11275000
687683	0.1	0	15000	11050000
771941	0.1	1	9559	12801250
771941	0.1	0	5000	10350000
771941	0.1	0	5500	10875000
771941	0.1	0	6000	10950000
771941	0.1	0	6500	11925000
771941	0.1	0	7000	12150000
771941	0.1	0	7500	12475000
771941	0.1	0	8000	12700000
771941	0.1	0	8500	12775000
771941	0.1	0	9000	12800000
771941	0.1	0	9500	12725000
771941	0.1	0	10000	12850000
771941	0.1	0	10500	12625000
771941	0.1	0	11000	12350000
771941	0.1	0	11500	12225000
771941	0.1	0	12000	12050000
771941	0.1	0	12500	11775000
771941	0.1	0	13000	11700000
771941	0.1	0	13500	11575000
771941	0.1	0	14000	11350000
771941	0.1	0	14500	11075000
771941	0.1	0	15000	10700000
273313	0.1	1	9559	12801250
273313	0.1	0	5000	10850000
273313	0.1	0	5500	11425000
273313	0.1	0	6000	11950000
273313	0.1	0	6500	12375000
273313	0.1	0	7000	12950000
273313	0.1	0	7500	13175000
273313	0.1	0	8000	13100000
273313	0.1	0	8500	13125000
273313	0.1	0	9000	13150000
273313	0.1	0	9500	12875000
273313	0.1	0	10000	12650000
273313	0.1	0	10500	12625000
273313	0.1	0	11000	12600000
273313	0.1	0	11500	12625000
273313	0.1	0	12000	12550000
273313	0.1	0	12500	12475000
273313	0.1	0	13000	12200000
273313	0.1	0	13500	12075000
273313	0.1	0	14000	11850000
273313	0.1	0	14500	11425000
273313	0.1	0	15000	11250000
346469	0.1	1	9559	12951250
346469	0.1	0	5000	10800000
346469	0.1	0	5500	11475000
346469	0.1	0	6000	11700000
346469	0.1	0	6500	12125000
346469	0.1	0	7000	12400000
346469	0.1	0	7500	12725000
346469	0.1	0	8000	1.3e+07
346469	0.1	0	8500	13375000
346469	0.1	0	9000	13100000
346469	0.1	0	9500	13025000
346469	0.1	0	10000	12900000
346469	0.1	0	10500	13075000
346469	0.1	0	11000	1.3e+07
346469	0.1	0	11500	12775000
346469	0.1	0	12000	12500000
346469	0.1	0	12500	12275000
346469	0.1	0	13000	11950000
346469	0.1	0	13500	11875000
346469	0.1	0	14000	11700000
346469	0.1	0	14500	11475000
346469	0.1	0	15000	11350000
964823	0.1	1	9559	12301250
964823	0.1	0	5000	10750000
964823	0.1	0	5500	11625000
964823	0.1	0	6000	12250000
964823	0.1	0	6500	12425000
964823	0.1	0	7000	12550000
964823	0.1	0	7500	12525000
964823	0.1	0	8000	12450000
964823	0.1	0	8500	12475000
964823	0.1	0	9000	12450000
964823	0.1	0	9500	12275000
964823	0.1	0	10000	12250000
964823	0.1	0	10500	12275000
964823	0.1	0	11000	12400000
964823	0.1	0	11500	12575000
964823	0.1	0	12000	12400000
964823	0.1	0	12500	12125000
964823	0.1	0	13000	11950000
964823	0.1	0	13500	11675000
964823	0.1	0	14000	11600000
964823	0.1	0	14500	11425000
964823	0.1	0	15000	11100000
721577	0.1	1	9559	12751250
721577	0.1	0	5000	10700000
721577	0.1	0	5500	11175000
721577	0.1	0	6000	11600000
721577	0.1	0	6500	11925000
721577	0.1	0	7000	12250000
721577	0.1	0	7500	12425000
721577	0.1	0	8000	12400000
721577	0.1	0	8500	12525000
721577	0.1	0	9000	12700000
721577	0.1	0	9500	12775000
721577	0.1	0	10000	12850000
721577	0.1	0	10500	12775000
721577	0.1	0	11000	12550000
721577	0.1	0	11500	12425000
721577	0.1	0	12000	12200000
721577	0.1	0	12500	11925000
721577	0.1	0	13000	11550000
721577	0.1	0	13500	11675000
721577	0.1	0	14000	11250000
721577	0.1	0	14500	11175000
721577	0.1	0	15000	10800000
217849	0.1	1	9559	12701250
217849	0.1	0	5000	10650000
217849	0.1	0	5500	10825000
217849	0.1	0	6000	11400000
217849	0.1	0	6500	11625000
217849	0.1	0	7000	1.2e+07
217849	0.1	0	7500	12425000
217849	0.1	0	8000	12550000
217849	0.1	0	8500	12625000
217849	0.1	0	9000	12500000
217849	0.1	0	9500	12625000
217849	0.1	0	10000	12350000
217849	0.1	0	10500	12525000
217849	0.1	0	11000	12450000
217849	0.1	0	11500	12375000
217849	0.1	0	12000	12350000
217849	0.1	0	12500	11975000
217849	0.1	0	13000	11700000
217849	0.1	0	13500	11475000
217849	0.1	0	14000	11250000
217849	0.1	0	14500	11275000
217849	0.1	0	15000	11250000
180263	0.1	1	9559	13051250
180263	0.1	0	5000	11050000
180263	0.1	0	5500	12025000
180263	0.1	0	6000	12300000
180263	0.1	0	6500	12425000
180263	0.1	0	7000	12650000
180263	0.1	0	7500	13025000
180263	0.1	0	8000	13050000
180263	0.1	0	8500	13075000
180263	0.1	0	9000	13100000
180263	0.1	0	9500	13075000
180263	0.1	0	10000	12900000
180263	0.1	0	10500	12975000
180263	0.1	0	11000	13050000
180263	0.1	0	11500	12875000
180263	0.1	0	12000	12500000
180263	0.1	0	12500	12275000
180263	0.1	0	13000	1.2e+07
180263	0.1	0	13500	11675000
180263	0.1	0	14000	11600000
180263	0.1	0	14500	11275000
180263	0.1	0	15000	11150000
480383	0.1	1	9559	13601250
480383	0.1	0	5000	11200000
480383	0.1	0	5500	11675000
480383	0.1	0	6000	12300000
480383	0.1	0	6500	12725000
480383	0.1	0	7000	12950000
480383	0.1	0	7500	12875000
480383	0.1	0	8000	12800000
480383	0.1	0	8500	13225000
480383	0.1	0	9000	13150000
480383	0.1	0	9500	13625000
480383	0.1	0	10000	13350000
480383	0.1	0	10500	13075000
480383	0.1	0	11000	13100000
480383	0.1	0	11500	13075000
480383	0.1	0	12000	12850000
480383	0.1	0	12500	12525000
480383	0.1	0	13000	12100000
480383	0.1	0	13500	11825000
480383	0.1	0	14000	11450000
480383	0.1	0	14500	11375000
480383	0.1	0	15000	10950000
