Feature	Gain	Cover	Frequency	pos
Visa_mpagospesos_tend	0.00110374568635379	0.00318729757245574	0.00328348620578893	99
cplazo_fijo	0.00110115272884646	0.00329238174574124	0.000874406652628574	100
mvr_mpagominimo	0.00109844657180179	0.00161732547957347	0.00203433384489097	101
mv_mpagominimo_avg3	0.00106778413452014	0.000751800531923992	0.00114208215853528	102
mv_status07_delta1	0.00106655494367965	0.000901700483249082	0.000267675505906706	103
Visa_status	0.00105664166958783	8.21515693448451e-06	3.56900674542275e-05	104
ccuenta_debitos_automaticos_tend	0.00102942509267779	0.00314106041475712	0.00117777222598951	105
mtarjeta_visa_consumo_tend	0.0010281038735554	0.000564033811952399	0.00071380134908455	106
chomebanking_transacciones_tend	0.00100165947504555	0.00413533161672344	0.00294443056497377	107
Master_fechaalta_avg3	0.000998249723141368	0.00119824810224153	0.00258752989043149	108
mactivos_margen_lag1	0.000986081719682683	0.0030620252535245	0.00219493914843499	109
cliente_antiguedad_avg3	0.000983088884798537	0.00183355622862608	0.00276598022770263	110
Visa_mpagominimo_avg3	0.000982435016769755	0.000985365660626024	0.00148113779935044	111
Visa_status_avg3	0.000972114052941502	0.000176401375808823	7.1380134908455e-05	112
mttarjeta_visa_debitos_automaticos_tend	0.000967414203349751	0.00260898809879039	0.00180234840643849	113
mcaja_ahorro_tend	0.000933526814745587	0.00244305521263585	0.00265891002533995	114
Master_fechaalta_tend	0.000928883879651354	0.00201758637109617	0.00267675505906706	115
mpayroll_delta1	0.000922814164699316	0.00656945244293112	0.00235554445197901	116
mcuenta_corriente_lag1	0.000909448519682079	0.00139030401087178	0.00217709411470788	117
mcaja_ahorro_delta1	0.000904811401706758	0.00278932037690323	0.00196295370998251	118
canarito15	0.000881234580940206	0.00425074878365834	0.00292658553124665	119
Visa_Fvencimiento_tend	0.000879790552558231	0.000908966788608782	0.00180234840643849	120
canarito117	0.00085899424824413	0.00369721458369188	0.00312288090224491	121
canarito7	0.000834385701679294	0.00315711194707743	0.00271244512652129	122
cmobile_app_trx_avg3	0.000834258162671229	0.00179536836860667	0.00242692458688747	123
thomebanking	0.000829372976598715	0.000544772504524903	0.000820871551447232	124
canarito203	0.0008217383362936	0.00272802570379404	0.00269460009279418	125
mttarjeta_visa_debitos_automaticos_delta1	0.000818011038377475	0.00359859778274011	0.00124915236089796	126
Visa_mpagominimo	0.000812581030084767	0.00126988867338154	0.0018201934401656	127
Master_Fvencimiento	0.000810063314826113	0.000615577327197845	0.00187372854134694	128
mplazo_fijo_dolares	0.000804553768280865	0.00225594395933212	0.000874406652628574	129
mpasivos_margen_delta1	0.000804141511643141	0.00128669245523035	0.00199864377743674	130
mtransferencias_recibidas_tend	0.000798917119345252	0.00250863110405047	0.00223062921588922	131
mactivos_margen_delta1	0.000798844433745911	0.00285919228870785	0.00274813519397552	132
cpagomiscuentas_tend	0.000798017540239481	0.00374694009932004	0.00149898283307755	133
ccaja_seguridad_avg3	0.000797409647224815	0.00133792626532178	0.000499660944359185	134
mv_Fvencimiento	0.000796833195709696	0.0022758838854059	0.00223062921588922	135
ctarjeta_visa_debitos_automaticos_tend	0.00078830368310297	0.00227025985235184	0.00148113779935044	136
canarito5	0.000783067546536028	0.00304911062451042	0.00265891002533995	137
Visa_fechaalta_avg3	0.000779729972558765	0.00145349676667117	0.00196295370998251	138
canarito205	0.000778026173376204	0.00358182170735729	0.00287305043006531	139
mcomisiones_tend	0.000770228938251555	0.00110026551368235	0.00210571397979942	140
canarito86	0.000769694970136307	0.00194910965064712	0.00244476962061458	141
mcuentas_saldo_lag1	0.00076464510471906	0.000959570181713931	0.00180234840643849	142
mrentabilidad	0.000760114276590209	0.00171254766913129	0.0023376994182519	143
ccaja_ahorro_avg3	0.000758314991382764	0.000877364338059009	0.000678111281630322	144
mcaja_ahorro_lag1	0.000758179906242758	0.00111749286287414	0.00217709411470788	145
Master_fechaalta	0.000749659867833242	0.000965496329109406	0.00249830472179592	146
mcomisiones_mantenimiento_avg3	0.000742006268864604	0.00193966478207171	0.00139191263071487	147
Visa_Fvencimiento	0.000741763972430101	0.000843396590303612	0.00183803847389272	148
tcallcenter	0.00073875767484778	0.000674181057240947	0.000410435775723616	149
canarito223	0.000729260251558821	0.0023037805012452	0.00267675505906706	150
canarito185	0.000721033859133903	0.00108465728481778	0.00242692458688747	151
chomebanking_transacciones	0.000711966331953214	0.000965588177941845	0.00167743317034869	152
tcallcenter_tend	0.000706547508076736	0.0013192297143516	0.00101716692244548	153
mvr_msaldototal_avg3	0.000706117532404417	0.000629362242876315	0.000945786787537028	154
Visa_mconsumospesos_avg3	0.000705916462585534	0.00185453875281023	0.0018201934401656	155
canarito50	0.000695584724261484	0.00121235980240236	0.00231985438452479	156
canarito137	0.000694560155146098	0.0010768368501384	0.00240907955316036	157
Visa_cconsumos_avg3	0.000689117623954817	0.00249934564253963	0.00223062921588922	158
mv_fechaalta	0.000678161620393976	0.000603539437038869	0.00135622256326064	159
canarito83	0.000674192657610438	0.00123947722132844	0.00219493914843499	160
ctransferencias_emitidas_avg3	0.000673014047157589	0.00148107305021882	0.00183803847389272	161
canarito84	0.000672445294643168	0.00165332073337386	0.00239123451943324	162
ccomisiones_otras_avg3	0.000669153007190509	0.00235909323448632	0.00205217887861808	163
canarito80	0.000667230699707915	0.00170851391131656	0.00248045968806881	164
Visa_mpagominimo_delta1	0.000666036525004215	0.00319774556691601	0.00173096827153003	165
ccomisiones_otras_tend	0.000664435176787462	0.00154877778502662	0.0019451086762554	166
canarito44	0.000663313417498117	0.00222419424701794	0.00240907955316036	167
Visa_Fvencimiento_avg3	0.000663141980011442	0.000921156115479094	0.00183803847389272	168
canarito172	0.000662494040887364	0.00200449639431107	0.0023376994182519	169
canarito54	0.000661391090007294	0.00217760905056169	0.00224847424961633	170
mcomisiones_avg3	0.000659466989210997	0.00141910089708523	0.00180234840643849	171
canarito136	0.000656669832673175	0.00472323018440356	0.00265891002533995	172
mvr_msaldopesos_avg3	0.000656414508572459	0.00040778756175452	0.000785181483993005	173
cprestamos_personales	0.000652864827922526	0.000922478055493084	0.000410435775723616	174
ctransferencias_recibidas_avg3	0.000649968795309638	0.00170590646718905	0.00205217887861808	175
cliente_antiguedad_lag1	0.000648304612005346	0.00119437261286948	0.00203433384489097	176
canarito167	0.000645252413406277	0.0018604470617961	0.00210571397979942	177
canarito101	0.000645245485035188	0.0016476522940661	0.00223062921588922	178
canarito234	0.000635227325702588	0.00139791759590785	0.00223062921588922	179
canarito135	0.000634766773523976	0.00117742878052824	0.00231985438452479	180
canarito132	0.000633587949464007	0.00353146691336474	0.00239123451943324	181
cliente_antiguedad	0.000632713284879844	0.00104973651054067	0.00189157357507406	182
Master_Fvencimiento_avg3	0.00063265661874962	0.000790952804684011	0.00185588350761983	183
canarito195	0.000628416742206338	0.00219536623847284	0.00230200935079767	184
canarito190	0.000625239591957728	0.00111857834907569	0.00212355901352654	185
mv_fechaalta_avg3	0.000624046090592195	0.00087999759094935	0.00153467290053178	186
canarito198	0.00062308971412464	0.00150115644265071	0.00219493914843499	187
ctransferencias_recibidas_tend	0.000622363668381353	0.0019907407032611	0.00157036296798601	188
canarito89	0.000621621422180387	0.00114948699935399	0.00205217887861808	189
canarito4	0.000621614858742393	0.0016520625561857	0.00215924908098076	190
mcomisiones	0.00061679185890966	0.000541908111390944	0.00128484242835219	191
Master_fechaalta_lag1	0.000614840758723792	0.0012830796079742	0.00215924908098076	192
mvr_mpagominimo_lag1	0.000613935174344397	0.0011155587238241	0.00158820800171312	193
canarito77	0.000611901262412588	0.00122729700343325	0.00208786894607231	194
canarito213	0.000609707815987253	0.00136434988397638	0.00219493914843499	195
canarito25	0.000609683092984854	0.00218559382633382	0.00212355901352654	196
mcomisiones_otras_delta1	0.000608353654397141	0.00157675562256072	0.00174881330525715	197
ctransferencias_emitidas_tend	0.000603803494058788	0.00274024273713034	0.00162389806916735	198
mcomisiones_otras_avg3	0.000602904642102891	0.00136696795524153	0.00171312323780292	199
Master_mfinanciacion_limite	0.000600696643507346	0.000938228991634507	0.00160605303544024	200
Visa_fechaalta_lag1	0.000600499437544893	0.000861828980995376	0.00151682786680467	201
canarito170	0.000600431633825308	0.00184826001216957	0.00198079874370963	202
Visa_msaldototal_tend	0.00059924189196961	0.00293892200929321	0.00189157357507406	203
mv_msaldopesos_avg3	0.000599072930478139	0.000205017221141805	0.000463970876904957	204
canarito212	0.000598546052665764	0.00117571439550292	0.00201648881116385	205
mv_cconsumos	0.000598419218222623	0.000367877346356563	0.000606731146721867	206
mv_mpagominimo_delta1	0.000598343571608663	0.00169049408128951	0.000749491416538777	207
thomebanking_tend	0.000594056809393334	0.00302726274769006	0.00160605303544024	208
canarito93	0.000594013458517588	0.00172106721765096	0.00203433384489097	209
canarito153	0.00059003405292858	0.00130540266966321	0.00208786894607231	210
mttarjeta_visa_debitos_automaticos	0.000589984795204856	0.00133894647053499	0.00157036296798601	211
cproductos_avg3	0.000588228261074733	0.00232328737146025	0.00187372854134694	212
mrentabilidad_delta1	0.000585001278716089	0.00076074782273358	0.00196295370998251	213
canarito140	0.000584254264496961	0.00190809421293485	0.00214140404725365	214
canarito61	0.000584058054971099	0.000824835535338307	0.00205217887861808	215
canarito229	0.000582612959755191	0.00258767537425821	0.00223062921588922	216
canarito200	0.000576325190350192	0.00296705659710746	0.00214140404725365	217
canarito1	0.000574440528553052	0.00114609618336634	0.00196295370998251	218
canarito157	0.000574013041348682	0.00113614007356244	0.00201648881116385	219
mvr_msaldopesos	0.000571431800756128	0.00102867504190549	0.00124915236089796	220
canarito78	0.000570997025235776	0.0010195425352685	0.00196295370998251	221
canarito224	0.000567196619126151	0.000756902317071293	0.00190941860880117	222
canarito225	0.00056603267979115	0.00170377762379587	0.00198079874370963	223
canarito127	0.000565314961574707	0.0025367197674485	0.0022127841821621	224
canarito51	0.000564971210774863	0.00102837292756408	0.00199864377743674	225
mvr_msaldopesos2_delta1	0.000563743548152898	0.000839333987401014	0.00171312323780292	226
canarito193	0.000561845562298029	0.00112138125662761	0.00196295370998251	227
mrentabilidad_lag1	0.000559447327513958	0.000863190393234877	0.00164174310289446	228
Master_fultimo_cierre_tend	0.000558897832542533	0.0027542394364803	0.00185588350761983	229
Master_Fvencimiento_lag1	0.000557955915091556	0.000757589285611437	0.00174881330525715	230
mvr_msaldototal	0.000557259241231846	0.000978168052120338	0.00133837752953353	231
canarito180	0.000555422526708902	0.00151069278051792	0.00207002391234519	232
mtransferencias_recibidas_avg3	0.000554542929948574	0.000801253916920502	0.00174881330525715	233
canarito99	0.000551900396521522	0.00082134414108373	0.00187372854134694	234
canarito53	0.000550814229968065	0.000739104897853374	0.00192726364252828	235
canarito32	0.000550610973462778	0.00080478326523807	0.00178450337271137	236
canarito20	0.000550111108703575	0.00150978112392487	0.00192726364252828	237
canarito35	0.000549803392677369	0.000977873149050895	0.00205217887861808	238
canarito222	0.000549587317146616	0.00089871767343859	0.00201648881116385	239
canarito92	0.000546552686101975	0.00118682317019987	0.0022127841821621	240
canarito109	0.000545516640993954	0.00135937714264325	0.00205217887861808	241
canarito124	0.000545476561462328	0.00359946351491695	0.00217709411470788	242
mv_fechaalta_lag1	0.000544582416883661	0.000517165857726862	0.00124915236089796	243
canarito41	0.000544500161861853	0.000996998580932882	0.00189157357507406	244
canarito110	0.00054271487176374	0.000985829459275778	0.00192726364252828	245
canarito120	0.000539483982248823	0.000788063361868477	0.00189157357507406	246
canarito31	0.000537860412372326	0.0015299563651892	0.00198079874370963	247
ccajas_consultas_tend	0.000537203287457535	0.00281518682991312	0.00099932188871837	248
canarito76	0.000536963942061249	0.00124127434621108	0.00196295370998251	249
canarito154	0.000533500362989847	0.00199073463061103	0.0019451086762554	250
canarito217	0.000533476760448253	0.00124195827842619	0.00176665833898426	251
canarito188	0.000528344861812946	0.00160973998054401	0.00187372854134694	252
Visa_mconsumospesos_tend	0.000527935588756832	0.00101084460265277	0.00173096827153003	253
canarito42	0.000527583275839207	0.00083019161270765	0.00192726364252828	254
canarito196	0.000526463169117777	0.00278322419530556	0.00214140404725365	255
canarito94	0.000526203164093813	0.00180035553248374	0.00189157357507406	256
canarito152	0.000524700315555406	0.00226548447214626	0.00192726364252828	257
Visa_mconsumosdolares_tend	0.000524330233533473	0.00345913633735954	0.00187372854134694	258
canarito183	0.000522894575652749	0.00126921005473526	0.00201648881116385	259
canarito179	0.000522575612415559	0.00092698737771709	0.00196295370998251	260
canarito216	0.000521997307843503	0.00072921748490349	0.00187372854134694	261
mv_mpagominimo_lag1	0.00052125014641269	0.00105299183052344	0.000963631821264142	262
mtarjeta_master_consumo_tend	0.000521119842629529	0.00231899514647655	0.000963631821264142	263
canarito52	0.000520766758693058	0.00106219265447381	0.00198079874370963	264
canarito165	0.000518092939065784	0.00208366932879235	0.00190941860880117	265
canarito146	0.000515920361924989	0.000781951619104975	0.00169527820407581	266
Visa_Finiciomora_avg3	0.000512199250845761	0.00349603717510291	0.00110639209108105	267
mttarjeta_visa_debitos_automaticos_avg3	0.000510797846317558	0.000665483124625212	0.00124915236089796	268
canarito178	0.000508422691034489	0.00119917835632545	0.00187372854134694	269
canarito208	0.000505538266658255	0.00272171280449669	0.00198079874370963	270
canarito73	0.000504729254531647	0.00104111790191658	0.00192726364252828	271
canarito141	0.000504253337880903	0.00134056407269969	0.00185588350761983	272
canarito177	0.000503966586062855	0.00113821008815799	0.00180234840643849	273
canarito204	0.000503677697595073	0.000805776523066555	0.00173096827153003	274
canarito230	0.000503656770050193	0.000905993467314037	0.00169527820407581	275
canarito156	0.000503070551424953	0.000761972220805682	0.00169527820407581	276
Visa_Fvencimiento_lag1	0.00050266940269808	0.00063000138929709	0.00148113779935044	277
Master_Fvencimiento_tend	0.000501961694691988	0.00100369102086015	0.00144544773189621	278
canarito79	0.000501677626173445	0.00090413068190242	0.00169527820407581	279
Master_mpagominimo_tend	0.000499887359559603	0.00236644759327216	0.00101716692244548	280
cpayroll_trx_tend	0.000498497913153408	0.00036872524012379	0.000410435775723616	281
mcuenta_debitos_automaticos_tend	0.000498177741663074	0.00152566338112424	0.000874406652628574	282
canarito215	0.00049683638868325	0.00154864836167182	0.00165958813662158	283
canarito14	0.000496600078459506	0.00118433376320826	0.00178450337271137	284
canarito114	0.000495972942951224	0.00111091238743269	0.00176665833898426	285
canarito149	0.000494941818693037	0.000805689608262304	0.00167743317034869	286
canarito74	0.000494567121528025	0.00132872316412763	0.00180234840643849	287
canarito67	0.000492722531889792	0.00081513219959393	0.00169527820407581	288
canarito24	0.000490610262968031	0.00132593733590407	0.00174881330525715	289
canarito105	0.000490142674839462	0.000779988634967061	0.00164174310289446	290
canarito206	0.000489464898994014	0.000746797427340468	0.00162389806916735	291
canarito45	0.000488424480119195	0.00221302436627958	0.0018201934401656	292
cmobile_app_trx_tend	0.000487705315691633	0.00115254723545298	0.00144544773189621	293
canarito218	0.000486831391208708	0.000768959943343025	0.00171312323780292	294
canarito184	0.000486637280473057	0.00305085840911117	0.00189157357507406	295
canarito65	0.000486107655953961	0.000703205667832346	0.00171312323780292	296
canarito145	0.000485943755918507	0.00103109954744938	0.00176665833898426	297
ctarjeta_debito_tend	0.000485711955654348	0.00541174611169572	0.00153467290053178	298
canarito40	0.000485610982715072	0.00123506050701813	0.00178450337271137	299
canarito63	0.000484971522904638	0.0012459855840502	0.00167743317034869	300
canarito97	0.000484253604899195	0.00144414602417198	0.00173096827153003	301
canarito125	0.000483605515621028	0.00120251983203121	0.00174881330525715	302
mpasivos_margen_tend	0.000483284149281031	0.00182311772268156	0.00171312323780292	303
canarito202	0.000483159907187502	0.00120694831210105	0.00171312323780292	304
canarito139	0.000482331311175722	0.00136092111392574	0.00174881330525715	305
canarito151	0.000482171735949839	0.00166003328895452	0.00183803847389272	306
canarito81	0.000481866155289367	0.00129001723114839	0.0018201934401656	307
canarito82	0.000481692104317887	0.000956351297631632	0.00169527820407581	308
canarito129	0.000479689854567335	0.00120120813961423	0.00171312323780292	309
canarito236	0.00047959825190831	0.00103482094332568	0.00185588350761983	310
mcomisiones_delta1	0.000477971988006036	0.0014246323222256	0.00144544773189621	311
ccallcenter_transacciones_avg3	0.000477845618481707	0.00118986708605178	0.00105285698989971	312
canarito37	0.000473305066480882	0.000797785674644349	0.00164174310289446	313
canarito176	0.000472349900599221	0.00134083430562818	0.00178450337271137	314
mcomisiones_otras_tend	0.000472250581174694	0.000865780378493409	0.00148113779935044	315
canarito102	0.000470779957227975	0.00101496451619048	0.00167743317034869	316
canarito211	0.000470060544637411	0.00160733862697855	0.00180234840643849	317
canarito16	0.000468138765035811	0.000873731754690103	0.00165958813662158	318
Visa_mfinanciacion_limite	0.000467237614702134	0.000777114753317353	0.00137406759698776	319
mvr_mpagominimo_delta1	0.000466774996447596	0.00201508557788567	0.00117777222598951	320
canarito147	0.000466449736179297	0.000642802535662823	0.00153467290053178	321
canarito138	0.000465959974277713	0.00336051460237959	0.00183803847389272	322
canarito161	0.000464337366865372	0.00100411269049999	0.00160605303544024	323
canarito166	0.000463953780559812	0.00124131495705848	0.00169527820407581	324
mtransferencias_recibidas_lag1	0.00046363639473151	0.00279599953290846	0.00167743317034869	325
mvr_msaldopesos2_avg3	0.000463573973296895	0.000644815619163886	0.00157036296798601	326
canarito64	0.000461899240347473	0.00115172211412355	0.00173096827153003	327
canarito96	0.000461890721331444	0.000828924326544368	0.00167743317034869	328
canarito113	0.000460066342239614	0.000746451665826616	0.00157036296798601	329
canarito221	0.000459577242623331	0.00116209913448602	0.00160605303544024	330
mcomisiones_lag1	0.000459118743934675	0.000555905190281535	0.00144544773189621	331
canarito22	0.000458460680545281	0.00130806856304772	0.00171312323780292	332
canarito87	0.000458225785026161	0.000979058074897486	0.00160605303544024	333
canarito160	0.000457353768483951	0.00125276076383479	0.00167743317034869	334
canarito118	0.000456962727478193	0.000995525963288816	0.00164174310289446	335
Master_status_tend	0.00045668724151222	0.000175819540023165	0.000107070202362682	336
canarito19	0.000455412301958497	0.000687896896524773	0.00149898283307755	337
Master_mlimitecompra	0.000454892137525746	0.00102651166031498	0.00135622256326064	338
canarito38	0.000453876404297243	0.00109316810390296	0.00164174310289446	339
canarito46	0.000453161192132224	0.00070715137222093	0.00174881330525715	340
canarito75	0.00045289918415617	0.000748610113388936	0.00164174310289446	341
canarito104	0.000449934712482634	0.00117778403055784	0.00178450337271137	342
canarito197	0.000449876182788209	0.000840458566287449	0.00158820800171312	343
canarito100	0.000449305284323249	0.000797685855458682	0.00162389806916735	344
mcaja_ahorro_dolares_avg3	0.000449139106238727	0.000862977091400866	0.00123130732717085	345
mvr_mpagospesos	0.000448479249018336	0.000946218321894193	0.00115992719226239	346
canarito115	0.000447218423302367	0.000928858892563195	0.00158820800171312	347
canarito18	0.000446915757663452	0.00220856931836565	0.00174881330525715	348
canarito233	0.000446805773077105	0.00139956556132294	0.00164174310289446	349
mv_status05_delta1	0.000445483629918179	0.0022782081922235	0.000535351011813412	350
cmobile_app_trx_lag1	0.000444561889412904	0.00142248981536973	0.00146329276562333	351
canarito150	0.00044426401886238	0.000689027168520656	0.00160605303544024	352
mvr_msaldopesos2_lag1	0.000443258683460452	0.000987077009326305	0.00153467290053178	353
canarito59	0.000442105275056167	0.00154850451577309	0.00165958813662158	354
canarito111	0.00044166535363371	0.00124751930773568	0.00160605303544024	355
mvr_mpagospesos_avg3	0.000440575598346718	0.00109944380821859	0.00135622256326064	356
canarito187	0.000439972274690489	0.0017241001268246	0.00178450337271137	357
mv_fultimo_cierre	0.00043758536421282	0.000902913115561657	0.00128484242835219	358
ctarjeta_visa_transacciones_delta1	0.00043716705021781	0.00487374119614281	0.00160605303544024	359
