Feature	Gain	Cover	Frequency
ctrx_quarter	0.0737407151106223	0.00661977593459962	0.00190656702273329
mdescubierto_preacordado_delta1	0.0617662551254432	0.00192307031257964	0.000279828819383556
mcaja_ahorro	0.0416263801401261	0.00448680208968612	0.00180955969868033
mv_status06_tend	0.030088877539555	0.00165502610176542	0.00018282149533059
mcuentas_saldo	0.0294761960849816	0.00972028797207189	0.00280201924476067
ctarjeta_visa_transacciones	0.0250223836439218	0.00769202457799219	0.0010335011062566
mtarjeta_visa_consumo	0.0175265867160073	0.00413848071388397	0.000731285981322359
mcuenta_corriente	0.0160519553718558	0.00464336022659906	0.00212669902731502
cpayroll_trx	0.0115721652041197	0.0050205978298797	0.000350718786960723
foto_mes	0.0066282487913376	0.00675601856524659	0.00268635666608214
mprestamos_personales	0.00635070920707275	0.00491158813306012	0.00148868931912052
mv_Finiciomora_delta1	0.00610677282292086	0.00347740246743621	0.000298484074009126
mpayroll_lag1	0.00560967242379393	0.00141440177140182	0.000406684550837434
mpayroll	0.00414069821864599	0.00396541585271957	0.000455188212863917
mv_status07	0.00411992996009932	9.31169736421965e-05	4.10415601762549e-05
mprestamos_personales_delta1	0.00407557009154497	0.00454830043850486	0.00102603900440637
mcuenta_corriente_tend	0.00376901395017092	0.00247536011437238	0.00251472832352689
cpayroll_trx_lag1	0.00365963027100956	0.00109193503928467	0.000167897291630133
mcaja_ahorro_lag1	0.00365353383072672	0.00184270800297198	0.00187671861533238
mvr_mpagospesos	0.00357664810208334	0.000538829056648097	0.000861872763701352
Visa_Finiciomora	0.00343947700238863	0.00229765614086194	0.000320870379559811
mpasivos_margen	0.00332210527983952	0.00151299521602294	0.00226101686061913
mv_msaldopesos	0.00326743560864528	0.00173878063494621	0.000679051268370762
mactivos_margen	0.00300953834291024	0.00311655603941765	0.00243264520317438
ctrx_quarter_delta2	0.00290358657188466	0.00122253242683559	0.00233936893004653
mv_Finiciomora	0.00282629768511346	0.00221527553222669	0.000414146652687663
ctrx_quarter_tend	0.00277007328684197	0.00252024235132457	0.00226847896246936
ctrx_quarter_delta1	0.00276421373733693	0.00195925287479035	0.00231698262449584
mprestamos_personales_delta2	0.00276254208162501	0.00538082013235485	0.00114170158308491
mdescubierto_preacordado_lag1	0.00273378467925796	0.00137826466093721	0.000328332481410039
mv_status04_lag2	0.00245121585074555	3.98888610647383e-06	1.49242037004563e-05
mdescubierto_preacordado_tend	0.00239698857416259	0.00460863713605545	0.000604430249868481
cproductos	0.00238040695832915	0.00352384055976502	0.0012461710089881
cprestamos_personales_tend	0.00236999862336352	0.00351419686340341	0.000537271333216427
mprestamos_personales_lag1	0.00233798782890307	0.00158127126234172	0.000805906999824641
ctrx_quarter_lag2	0.00226422223748345	0.00157494706056716	0.00223116845321822
mcuentas_saldo_lag1	0.00219294405966969	0.00125956569216321	0.00199611224493603
mcuentas_saldo_delta2	0.00219077321925947	0.00150532653426043	0.00245503150872506
mcuentas_saldo_delta1	0.00218045450897539	0.00407044081229777	0.00268635666608214
mcuentas_saldo_tend	0.00215990865486783	0.00197497849778131	0.00208565746713877
mv_status02	0.00214724195859823	0.000524246476955659	8.58141712776238e-05
mactivos_margen_lag1	0.00204785161956508	0.00169458893634081	0.00224609265691867
ccomisiones_mantenimiento_tend	0.00204101866651033	0.00255920248583905	0.000813369101674869
mrentabilidad_annual	0.00199205560196037	0.002428100980216	0.00313035172617071
cprestamos_personales_delta2	0.00198086194900744	0.00134914123789684	0.000175359393480362
cliente_edad_lag2	0.00198021570510527	0.003146053789168	0.00286917816141273
mtarjeta_visa_consumo_tend	0.00194875125525164	0.000338141794684845	0.000731285981322359
mprestamos_personales_tend	0.00193444193565173	0.00136248912771825	0.00107827371735797
cproductos_tend	0.00192759174972218	0.0030775673582343	0.000876796967401808
mcomisiones_mantenimiento_tend	0.0019234728338412	0.0027305952305188	0.00203342275418717
Master_fechaalta_lag1	0.00186477599474625	0.00115976375125226	0.00196999488846023
mrentabilidad_annual_lag2	0.00181997920372763	0.00122587684557496	0.00240652784669858
numero_de_cliente	0.0017941831072912	0.00337032926888594	0.00291395077251409
mrentabilidad	0.00178841574114524	0.00106824412163775	0.00204834695788763
cliente_edad_lag1	0.00171946320024586	0.00287428659115428	0.00243637625409949
mv_fultimo_cierre	0.00165017838394563	0.00101262090638832	0.00130959887471504
mcaja_ahorro_tend	0.00163446018368154	0.00172478016579756	0.00161181399964928
mprestamos_personales_lag2	0.00160753118424715	0.00181631490471186	0.000895452222027379
cproductos_delta1	0.0016055039681613	0.00261069708492062	0.000354449837885837
Visa_Finiciomora_delta1	0.00156468399610569	0.00137169323014865	0.00010073837497808
mcuenta_corriente_delta1	0.00156230629139316	0.00192180763334998	0.00149988247189586
cprestamos_personales	0.00156092477402425	0.00138793337433618	0.000395491398062092
ccaja_ahorro	0.00155011709568951	0.00204938665961256	0.0005036918748904
mcuenta_corriente_lag2	0.00147160688113449	0.00169385647587944	0.00190656702273329
mactivos_margen_lag2	0.00147099049596506	0.00164697705576534	0.00207073326343831
mv_mpagospesos	0.00146093903312027	0.0008566181910511	0.000600699198943366
mrentabilidad_lag1	0.00145707880043501	0.000797488751323145	0.00194760858290955
mcomisiones_tend	0.0014529409765948	0.000933682245784118	0.00183194600423101
mrentabilidad_annual_tend	0.0014482117852723	0.00151727573019238	0.00195507068475978
cliente_edad	0.00143940750888705	0.00234486044188322	0.00220505109674242
mrentabilidad_annual_lag1	0.00143012500539284	0.00147798733994761	0.00240652784669858
mpayroll_delta2	0.00141302059056678	0.00231908583414076	0.000735017032247473
mcaja_ahorro_lag2	0.00141227515359621	0.00163578834061507	0.00196626383753512
mtransferencias_recibidas	0.00140267535476821	0.00211445532358721	0.000828293305375325
mcuentas_saldo_lag2	0.00139678048189812	0.00251475603453144	0.00217147163841639
ctrx_quarter_lag1	0.0013840475946716	0.00173835190856464	0.00181329074960544
mcomisiones	0.00136226503075851	0.0011745801535513	0.00204834695788763
