fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211115 055901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	266	TRUE	0.0574375245955959	0.803841766718193	7531	301	0.0323826500297089	35	5613750
20211115 060146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0289933062436432	0.914142998647527	367	455	0.0368598997430812	36	5945000
20211115 060442	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	263	TRUE	0.0775838731076382	0.402970562975947	6385	731	0.0344999288661261	37	5947500
20211115 060647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0345491855871305	0.707065885409084	1984	378	0.0354372222640657	38	5857500
20211115 060829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	117	TRUE	0.0926832483600639	0.398507780198264	3202	509	0.0395127748068925	39	5698750
20211115 061152	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	241	TRUE	0.0389983416760899	0.639422746171732	1062	636	0.0321232206070649	40	6102500
20211115 061417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	357	TRUE	0.0361606589905545	0.154521770766121	3700	912	0.0350941059308914	41	5458750
20211115 061631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	274	TRUE	0.0772020599885657	0.216171464156941	5029	768	0.0360648740930431	42	6113750
20211115 061915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	205	TRUE	0.0574770347673632	0.355708580444171	1078	683	0.0256709598051769	43	5416250
20211115 062230	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	278	TRUE	0.0827201820322871	0.445122697189893	6778	906	0.0399479467416501	44	5833750
20211115 062421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0614497867436148	0.376586052501737	3570	455	0.0363159348246341	45	5876250
20211115 062706	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	0.051510483745411	0.563124464816041	2977	546	0.0335877415413455	46	5733750
20211115 062956	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	439	TRUE	0.0571897158379108	0.164488068650709	5694	655	0.0334705798666031	47	5601250
20211115 063354	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	306	TRUE	0.0261860305045731	0.513292195390165	7761	656	0.0442578226339618	48	5940000
20211115 063804	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	590	TRUE	0.048912320607733	0.995964059002022	6650	244	0.0302402651201326	49	6083750
20211115 064317	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	417	TRUE	0.0267261028291844	0.544028218840365	4986	184	0.029068648372708	50	5308750
20211115 064800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	410	TRUE	0.0609886662657373	0.497974649444339	6412	910	0.0270350564468212	51	5512500
20211115 065058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	253	TRUE	0.0925959693831392	0.396578101772489	3028	198	0.0359226063451416	52	6385000
20211115 065813	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	742	TRUE	0.0481949858487211	0.421873312736605	6723	536	0.0300059417706477	53	6068750
20211115 070049	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.0940431672497466	0.532507430415251	5945	1015	0.0287673754947989	54	5603750
20211115 070239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.068958120415397	0.482023982235603	1379	119	0.0304745884696175	55	5498750
20211115 070409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.0976996565995924	0.856334283117973	4080	535	0.0378139305231269	56	6002500
20211115 070602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	315	TRUE	0.0723469795234688	0.130008793261764	6518	144	0.0289682240800716	57	5123750
20211115 070806	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	260	TRUE	0.0769593343723938	0.202459480938455	4644	217	0.035520909174596	58	5845000
20211115 071030	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0299708756191842	0.948382064583665	2101	385	0.0328680341107847	59	5641250
20211115 071425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	481	TRUE	0.0630811281507835	0.271732241935167	7958	138	0.0333701555739667	60	5816250
20211115 071817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	340	TRUE	0.0978895116117969	0.469711741302046	6729	896	0.0299222548601173	61	6031250
20211115 072715	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	871	TRUE	0.0255129659014009	0.451976334698149	5826	179	0.0309348664775343	62	5880000
20211115 072952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	318	TRUE	0.0602211944327503	0.22254505741389	5277	374	0.040424962131673	63	6062500
