fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211113 010748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	467	TRUE	0.0485679609421641	0.812200082595518	6848	557	0.0334789485576561	1	6150000
20211113 011025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	227	TRUE	0.0694525726698339	0.401175229586079	3844	906	0.0314453566317692	2	5803750
20211113 011259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	396	TRUE	0.0280438727512956	0.160725437295332	6456	657	0.0385671127178998	3	5840000
20211113 012048	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	697	TRUE	0.0426151562482119	0.566880352397857	4333	491	0.0346338279229746	4	6477500
20211113 012311	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	219	TRUE	0.0769388209364843	0.349702172529942	3299	713	0.0358472881256643	5	5896250
20211113 012439	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0868696545087732	0.312519602611428	2060	213	0.031897265948633	6	5886250
20211113 012608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	117	TRUE	0.0846899416751694	0.95427214524243	2866	601	0.0315625183065117	7	5936250
20211113 012840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	298	TRUE	0.0730772462580353	0.630408691486809	5420	413	0.0284577339258367	8	5250000
20211113 012952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0985639136622194	0.243620223802282	2260	1020	0.0394876687337334	9	5902500
20211113 013734	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	707	TRUE	0.0344197078992147	0.534330553532345	5829	795	0.0305080632338296	10	5943750
20211113 014003	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0513272671634331	0.69484128067561	1470	749	0.0339559639476789	11	6228750
20211113 014303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	217	TRUE	0.0368544003763236	0.489423041073314	1028	130	0.0341819186061108	12	6045000
20211113 014417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.0904848694708198	0.873797504692629	348	249	0.0338973831103077	13	6087500
20211113 015016	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	835	TRUE	0.0225729210360441	0.723101025544747	7367	292	0.0311775585180722	14	5893750
20211113 015219	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	248	TRUE	0.0644040121824946	0.909390308032744	7800	946	0.0329015088749969	15	5686250
20211113 015422	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	331	TRUE	0.0586509651492815	0.136960567996721	4809	353	0.035512540483543	16	6096250
20211113 015839	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	323	TRUE	0.0450501823368086	0.580469179212002	3367	483	0.02957076983589	17	5933750
20211113 020100	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	256	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0372030160762555	18	5743750
20211113 020536	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	375	TRUE	0.042284719926912	0.567045694401837	4968	677	0.0304076389411932	19	5908750
20211113 020946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	446	TRUE	0.0403950634230836	0.32190066823358	4391	332	0.0308428108759509	20	5843750
20211113 021222	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	294	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0307089118191024	21	6013750
20211113 021556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	486	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.0339308578745198	22	6082500
20211113 021909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	285	TRUE	0.062278566761408	0.423446070845309	5296	627	0.0377302436125966	23	6365000
20211113 022119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	240	TRUE	0.0291698684212565	0.990747633903171	6196	506	0.0392366080021424	24	5590000
20211113 022333	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	228	TRUE	0.0845429159516469	0.265302602361399	2184	862	0.0312863515017616	25	5827500
20211113 022509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0722323446390033	0.951347630601563	2650	667	0.0288845371695413	26	5686250
20211113 022720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0476338022232428	0.572736529607885	6004	663	0.0372699656046798	27	5233750
20211113 023041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	359	TRUE	0.0551776551933028	0.327766494586272	6499	587	0.032943352330262	28	5630000
20211113 023241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0798047164328769	0.393344031555881	5062	686	0.0318637911844208	29	6091250
20211113 023510	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	156	TRUE	0.0386352451506071	0.404612072499818	875	661	0.0304913258517235	30	6096250
20211113 023715	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	362	TRUE	0.0433675417006388	0.112609258927475	2956	217	0.0352363736787929	31	5737500
20211113 023913	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0697419938869402	0.427681592786498	466	679	0.0318637911844208	32	5841250
20211113 024222	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.0556473292419501	0.554259937580652	5574	930	0.0339559639476789	33	5828750
20211113 024627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	407	TRUE	0.0495886520421691	0.37796487140283	4246	549	0.0349978659837815	34	6072500
20211113 024826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	154	TRUE	0.0849849735815264	0.319760480330302	1022	336	0.0297548810390567	35	5856250
20211113 025058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	179	TRUE	0.0465037125027552	0.727070892823022	1014	527	0.0299808356974886	36	6222500
20211113 025330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	319	TRUE	0.0574375245955959	0.803841766718193	7531	301	0.0328764028018378	37	5590000
20211113 025723	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	275	TRUE	0.0289933062436432	0.914142998647527	367	455	0.030859548258057	38	6041250
20211113 030129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	415	TRUE	0.0775838731076382	0.402970562975947	6385	731	0.0367929502146569	39	6105000
20211113 030534	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	440	TRUE	0.0345491855871305	0.707065885409084	1984	378	0.0303406894127689	40	5968750
20211113 030715	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.0926832483600639	0.398507780198264	3202	509	0.0307256492012084	41	5961250
20211113 030957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	216	TRUE	0.0389983416760899	0.639422746171732	1062	636	0.0318470538023148	42	6393750
20211113 031220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	372	TRUE	0.0361606589905545	0.154521770766121	3700	912	0.0322822257370725	43	5928750
20211113 031352	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	168	TRUE	0.0772020599885657	0.216171464156941	5029	768	0.0326253420702468	44	6077500
20211113 031652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	258	TRUE	0.0574770347673632	0.355708580444171	1078	683	0.0325081803955043	45	6245000
