Feature	Gain	Cover	Frequency
ctrx_quarter	0.124438271450166	0.0128720476462641	0.00226044443135465
mdescubierto_preacordado_delta2	0.0945907899825619	0.00224965254124287	0.000780479184767403
mcuentas_saldo	0.0601534068071654	0.0134749073901314	0.00402756711384688
mcaja_ahorro	0.0262887660197867	0.00654442753107437	0.00236352658783336
mtarjeta_visa_consumo	0.0170631351624735	0.00616674121611605	0.000942465430662524
mdescubierto_preacordado_lag2	0.0126902351012826	0.000527551906712567	0.000368150558852548
cpayroll_trx	0.0116546855989083	0.00883859110794015	0.000728938106528046
foto_mes	0.0111723922500324	0.00640663975924047	0.00434417659446007
ctarjeta_visa_transacciones	0.0104683606341142	0.00837962492313013	0.00165667751483647
mpayroll	0.00991827458050646	0.00787577548261851	0.0011265407100888
mprestamos_personales	0.00970200659797505	0.00720451003903766	0.00275376618021706
mv_Finiciomora	0.00804770663030109	0.00431167925749944	0.000809931229475606
mcomisiones	0.00771494286937242	0.00102504462177956	0.00175239666013813
Visa_Finiciomora_delta1	0.00753579335259558	0.000947592970401076	0.000117808178832815
mv_status06_tend	0.00577786754618594	0.000693326506543484	0.000110445167655765
mprestamos_personales_delta2	0.00572268066612341	0.00385324381445153	0.0015020542801184
mv_status04_delta2	0.00522360210615139	0.000437419292777851	0.000103082156478714
mprestamos_personales_delta1	0.00422642781060383	0.00299864902398746	0.00124434888892161
mv_status01_tend	0.00415922463248573	0.00199472431320517	0.000265068402373835
cprestamos_personales_delta2	0.00408830128150322	0.00136375687523902	0.00030188345825909
ctrx_quarter_delta1	0.00384117891451442	0.0021953054400717	0.00293047844846629
mcuenta_corriente_delta2	0.00324391304294452	0.00261128391789741	0.00198801301780376
mv_msaldopesos	0.00303679381314685	0.00256595402185885	0.000773116173590352
cproductos	0.00301878565383564	0.00338126988315789	0.00165667751483647
ccomisiones_mantenimiento_tend	0.00294737645484585	0.00415792926086788	0.00138424610128558
mactivos_margen	0.00281785573782401	0.00326497750905136	0.0030188345825909
ctrx_quarter_tend	0.00276000359300902	0.00381764604505303	0.00317345781730897
mcuenta_corriente_tend	0.00267686288206841	0.00172778561765964	0.0026285949902072
mcomisiones_mantenimiento_tend	0.0026752878315985	0.00356708075662601	0.00275376618021706
ctrx_quarter_delta2	0.00261059982102101	0.00156658694311071	0.00266541004609245
mprestamos_personales_tend	0.00255362865679767	0.00117526645671746	0.00133270502304623
mpasivos_margen	0.00251419019170204	0.00123830558272274	0.00237088959901041
mcuenta_corriente	0.00251207578011673	0.0029353825390447	0.00237825261018746
mautoservicio	0.00247739005185825	0.00705070920143157	0.000854109296537912
ccaja_ahorro	0.0023364219746853	0.00346864259241471	0.00108972565420354
mvr_mpagospesos	0.00229563855658139	0.000467280822316856	0.00083938327418381
cprestamos_personales	0.00226227222847719	0.00283648852847887	0.000677397028288689
mprestamos_personales_lag2	0.00219883165965132	0.000772858658502193	0.000861472307714963
mcuentas_saldo_tend	0.00217665658405154	0.00206061564163882	0.00245924573313502
mcuentas_saldo_delta1	0.00215330024313038	0.00357253576749674	0.00318818383966307
mrentabilidad_annual	0.00206225821281977	0.00188877671136047	0.00326917696261063
cproductos_tend	0.00202156983363206	0.00412915261595585	0.00122225985539046
mcaja_ahorro_tend	0.00201675304617488	0.00290196469521633	0.00188493086132505
mv_status06	0.00194760717648574	2.47523085674456e-05	2.20890335311529e-05
mcuentas_saldo_delta2	0.00190720875370737	0.00165219280971543	0.00263595800138425
mcuenta_corriente_lag2	0.00189897470859264	0.00157090444657009	0.00213527324134478
mactivos_margen_lag2	0.00186077938018842	0.00170572372318575	0.00195119796191851
numero_de_cliente	0.00182059908533778	0.00499508102375755	0.00344588923085985
cliente_edad_lag2	0.00174882189006595	0.00307880599726861	0.00310719071671551
mv_mpagospesos_tend	0.00170893295878619	0.000759503637277858	0.0011707187771511
ccaja_ahorro_delta2	0.00169194431406118	0.0016374138848424	0.000220890335311529
mvr_mpagominimo	0.00165519489812559	0.00353003502914576	0.00127380093362982
cliente_edad_lag1	0.0016229351218172	0.00362409112898728	0.00286421134787283
Master_Finiciomora	0.00161525859058791	0.000881847869162849	0.000147260223541019
mactivos_margen_tend	0.00154819061854072	0.00178597940873286	0.00238561562136451
ctarjeta_visa_transacciones_tend	0.00151207858305992	0.00213292599946836	0.001877567850148
Visa_delinquency	0.00147887652722675	0.000523979971890141	0.000117808178832815
cliente_edad	0.00147544917463376	0.00321573612462569	0.00245188272195797
mcaja_ahorro_lag1	0.00145902963399416	0.00168489145569271	0.00206164312957427
mdescubierto_preacordado_delta1	0.00145887164791786	0.00148678633180053	0.000272431413550886
ctarjeta_visa_debitos_automaticos_tend	0.0014568754351338	0.00255927425428753	0.00129588996716097
mrentabilidad_annual_tend	0.0014465201509282	0.0019905561848053	0.00238561562136451
cproductos_delta1	0.00143954255452278	0.00338424384259302	0.000596403905341128
mrentabilidad_annual_lag2	0.00142056911013862	0.00102110325838055	0.00271695112433181
mv_msaldototal	0.00140236544022077	0.000772955767139284	0.000478595726508313
ccaja_seguridad	0.00136999214095571	0.00465234603758238	0.000463869704154211
cproductos_delta2	0.00136965676039893	0.0031519924710038	0.000714212084173944
mrentabilidad_annual_lag1	0.00136433478656397	0.00111021168801068	0.00237825261018746
mcuentas_saldo_lag1	0.00135406385629781	0.00120812867283942	0.00228989647606285
mpayroll_tend	0.00135334574279639	0.00180765138381684	0.000949828441839575
mpayroll_delta2	0.00133332251476464	0.00256104786781708	0.000994006508901881
mttarjeta_visa_debitos_automaticos_tend	0.00132764564421993	0.00200920199342541	0.00160513643659711
mv_mpagominimo	0.0013058609753157	0.00426324687414156	0.0011412667324429
mv_Finiciomora_delta1	0.00129104831127944	0.000836592630957211	0.000220890335311529
mdescubierto_preacordado_tend	0.00128921528675016	0.00319807013324479	0.000706849072996893
mactivos_margen_lag1	0.0012681430330919	0.00129657040861551	0.00201010205133491
chomebanking_transacciones_tend	0.00123394523580198	0.00139131701916945	0.0022678074425317
chomebanking_transacciones	0.0012286472109588	0.00153341160360359	0.00184075279426274
mpayroll_lag2	0.00122810745405711	0.0012863580248259	0.000662671005934587
mpagomiscuentas	0.00121997847724737	0.00704734995531215	0.000809931229475606
mes	0.0012186838019125	0.00137842485275175	0.00150941729129545
mcomisiones_otras	0.00121853611315181	0.000752362737316097	0.00150941729129545
ccuenta_debitos_automaticos_tend	0.00120115010228346	0.00163570596070283	0.000979280486547779
mtarjeta_visa_consumo_tend	0.00119156544174043	0.000374381235858489	0.000890924352423167
mprestamos_personales_lag1	0.00118820795347237	0.000839821389201587	0.000640581972403434
mtransferencias_recibidas	0.0011858225137116	0.0037105347431921	0.00120753383303636
mcuenta_debitos_automaticos	0.0011787583022794	0.00397786858476979	0.000942465430662524
mrentabilidad	0.00117545374730527	0.00101229880134461	0.00213527324134478
mcuentas_saldo_lag2	0.00115539366152847	0.00221310393871214	0.00196592398427261
Visa_mpagospesos_tend	0.00115532793927626	0.00264561375140317	0.00206900614075132
mcuenta_corriente_lag1	0.00113375448495493	0.00127276810166903	0.00164931450365942
mttarjeta_visa_debitos_automaticos_delta2	0.00110896804302743	0.00217120479876184	0.00169349257072172
mrentabilidad_annual_delta1	0.00110564519295218	0.000771689078513447	0.00215736227487593
canarito222	0.00109653817323728	0.00115263313582311	0.00240770465489567
mrentabilidad_annual_delta2	0.0010905019378139	0.000736998784874041	0.00215736227487593
mrentabilidad_lag1	0.00108789816311676	0.000933806632404535	0.00201746506251196
mpasivos_margen_tend	0.00108467663360482	0.00126239654286571	0.00170821859307582
canarito170	0.00107915001153662	0.000920083073508548	0.00228989647606285
ccaja_ahorro_tend	0.0010736399604677	0.00229326673257216	0.000515410782393568
mcaja_ahorro_lag2	0.00106313106647218	0.00197919673122478	0.00214263625252183
canarito46	0.00106185563396692	0.00113283633743041	0.00242979368842682
canarito216	0.00105333341148021	0.000918984231371041	0.00236352658783336
canarito37	0.00104529524531087	0.00146258335521135	0.00234143755430221
mactivos_margen_delta2	0.00104528808180535	0.00116577760651626	0.00205428011839722
mcomisiones_mantenimiento	0.00104277676381294	0.00333749711075152	0.00152414331364955
