fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211115 192440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	594	TRUE	0.0485679609421641	0.812200082595518	6848	557	0.0361485610035734	1	6301250
20211115 192653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0694525726698339	0.401175229586079	3844	906	0.0392868201484606	2	5382500
20211115 192922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	356	TRUE	0.0280438727512956	0.160725437295332	6456	657	0.0291188605190262	3	4451250
20211115 193356	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	344	TRUE	0.0426151562482119	0.566880352397857	4333	491	0.0322571196639134	4	5782500
20211115 193711	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	299	TRUE	0.0769388209364843	0.349702172529942	3299	713	0.0320730084607467	5	5560000
20211115 193900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0868696545087732	0.312519602611428	2060	213	0.0467014804214473	6	6025000
20211115 194055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	166	TRUE	0.0846899416751694	0.95427214524243	2866	601	0.023896797301934	7	5381250
20211115 194405	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	381	TRUE	0.0730772462580353	0.630408691486809	5420	413	0.0259220205367678	8	4828750
20211115 194602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	194	TRUE	0.0985639136622194	0.243620223802282	2260	1020	0.0304494823964584	9	5502500
20211115 195259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	589	TRUE	0.0344197078992147	0.534330553532345	5829	795	0.0290770170637611	10	5607500
20211115 195450	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.0513272671634331	0.69484128067561	1470	749	0.0415965788790975	11	5837500
20211115 195726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0368544003763236	0.489423041073314	1028	130	0.0277547638773819	12	5455000
20211115 195900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0904848694708198	0.873797504692629	348	249	0.0317466295096784	13	5458750
20211115 200438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	771	TRUE	0.0225729210360441	0.723101025544747	7367	292	0.0303825328680341	14	5212500
20211115 200659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	285	TRUE	0.0644040121824946	0.909390308032744	7800	946	0.0322320135907543	15	5486250
20211115 200857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	305	TRUE	0.0586509651492815	0.136960567996721	4809	353	0.0369184805804524	16	5636250
20211115 201129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	291	TRUE	0.045817174154059	0.834580968693514	7301	958	0.0325416551597165	17	5640000
20211115 201327	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.0492096822407644	0.76858727086162	5987	523	0.0307089118191024	18	5463750
