fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211126 023502	binary	custom	TRUE	TRUE	FALSE	-100	-1	43.1	223	TRUE	0.170238392297761	0.435008194564725	0.873372841716046	292	31.1466715036659	139	122.430955565069	34.1766644397285	10306	15	29.8636761456728	0.696799683678197	10	0.0512573958307181	4603875	4293875	0.0513419196103537	4831250	4531250	16
20211126 024144	binary	custom	TRUE	TRUE	FALSE	-100	-1	209.4	322	TRUE	0.0326390078091063	0.970793860387057	0.849745347580174	525	12.7654715001699	202	61.3065860385541	165.372184090083	65	2355	81.0839724354446	0.713379240265233	10	0.0429866184630062	5894250	5554250	0.0419438795577984	5885000	5535000	17
20211126 024805	binary	custom	TRUE	TRUE	FALSE	-100	-1	115.4	251	TRUE	0.0770153169875266	0.30805668054265	0.81455558522779	639	47.3597251981846	126	87.9692965443246	174.606347184163	22367	7	21.506502836477	0.671813500708842	10	0.0461006084038396	4479125	4164125	0.0452662499058522	4488750	4238750	18
20211126 025358	binary	custom	TRUE	TRUE	FALSE	-100	-1	138.4	303	TRUE	0.0385939136893721	0.602565256535308	0.34779673784913	975	8.48456481646281	150	82.1870338334702	23.5057574836537	861	224	55.1353244562633	0.895826187844446	10	0.0495677571071109	4936250	4651250	0.0544132292268166	4922500	4572500	19
20211126 030032	binary	custom	TRUE	TRUE	FALSE	-100	-1	149.3	261	TRUE	0.0650546195352217	0.234206568081863	0.970252362525789	589	10.8252444025129	94	41.4121702453122	137.133613174083	40	4070	85.8572096819989	0.758828559852613	10	0.0370423372080373	5992125	5692125	0.0361862201133121	5995000	5745000	20
20211126 030552	binary	custom	TRUE	TRUE	FALSE	-100	-1	42.7	230	TRUE	0.131849666342605	0.481323068712954	0.464793344413629	554	18.5059047740651	52	136.215130698401	146.288884745445	1473	22	49.7399895847775	0.147438997261284	10	0.0480187123931946	4377625	4212625	0.0543379110073393	4533750	4183750	21
20211126 030928	binary	custom	TRUE	TRUE	FALSE	-100	-1	12.3	222	TRUE	0.174903293052688	0.153176570526557	0.18532370627101	653	22.2863485224661	71	199.040210344829	72.8672761353664	153	849	72.4570538490079	0.605361221756088	10	0.0475492288251195	3602750	3707750	0.0443373251989656	3927500	3977500	22
20211126 031137	binary	custom	TRUE	TRUE	FALSE	-100	-1	13.3	220	TRUE	0.195864241810166	0.732350383963785	0.116775702662999	63	3.34255300054792	194	112.619299831567	51.9739295274485	21	2554	92.0883069932461	0.250057677650242	10	0.0508423087544877	3880875	3475875	0.0450737700116325	3917500	3917500	23
20211126 031551	binary	custom	TRUE	TRUE	FALSE	-100	-1	68.4	234	TRUE	0.116017295785481	0.139784391455469	0.382173009786638	976	32.2118675871752	243	128.027020748705	122.794671891024	4919	37	37.5197358289734	0.839690108531038	10	0.0559170830090466	3657875	3502875	0.0546224465031424	3641250	3791250	24
20211126 031908	binary	custom	TRUE	TRUE	FALSE	-100	-1	48.2	226	TRUE	0.150979951536981	0.674415641747182	0.655027195448056	271	12.1190651328652	225	54.3260564026423	199.878427155782	236	283	68.1300243702717	0.311419191898254	10	0.0447473910605642	5561250	5261250	0.044186688760011	5750000	5450000	25
20211126 032218	binary	custom	TRUE	TRUE	FALSE	-100	-1	24.7	221	TRUE	0.187018962516333	0.781928235529922	0.770147668566206	917	26.646586987772	178	182.888952831272	133.849669665797	17	4575	94.277404373046	0.362585298969003	10	0.0474923217259588	5051250	4766250	0.0479274936607165	5091250	4891250	26
20211126 032440	binary	custom	TRUE	TRUE	FALSE	-100	-1	24.3	238	TRUE	0.104735317057348	0.94057001189969	0.541007327970001	463	48.7545735368622	6	156.724371808814	193.290794221684	98	888	76.9368819999509	0.405807627134665	10	0.0439373017666307	4512250	4392250	0.0394918530792599	4501250	4651250	27
20211126 032933	binary	custom	TRUE	TRUE	FALSE	-100	-1	161.5	241	TRUE	0.0966215414139442	0.107921785218641	0.432043955473346	166	33.8088189184782	99	28.9036026108079	160.419391219039	426	13	62.2043222528882	0.0250406668334035	10	0.0412936322629777	4687125	4537125	0.047542533872277	4798750	4748750	28
20211126 033742	binary	custom	TRUE	TRUE	FALSE	-100	-1	94.3	271	TRUE	0.0556717456071638	0.551715011495398	0.924884416684508	185	42.5402499877964	211	39.5785024832003	41.2902435834985	4209	48	39.1134517090395	0.932213375316234	10	0.0465893399613366	5521125	5136125	0.0467307708401329	5520000	5270000	29
20211126 034343	binary	custom	TRUE	TRUE	FALSE	-100	-1	355.5	394	TRUE	0.0205375457373448	0.818533670424949	0.51725978128612	214	16.1777090432588	115	143.521169099258	128.117312234826	13488	9	27.0160099398345	0.584064006846922	10	0.0462336705915828	4199250	4099250	0.0440025775568443	4127500	4227500	30
20211126 034922	binary	custom	TRUE	TRUE	FALSE	-100	-1	44.6	265	TRUE	0.0607548441132531	0.330559209320927	0.318353293696418	728	45.1953951315954	223	177.153123506578	14.281515768962	2082	11	46.2509227041155	0.102581095880014	10	0.0542107069033333	3552750	3317750	0.0445716485484505	3442500	3942500	31
20211126 035443	binary	custom	TRUE	TRUE	FALSE	-100	-1	35.4	220	TRUE	0.192052908004145	0.390393826080253	0.933137268297723	838	48.1691072892863	120	4.2452977260109	81.7734529578593	3658	33	40.5409192647785	0.566613448508142	10	0.0442753968851732	5381750	5156750	0.0393830600955705	5417500	5317500	32
20211126 035858	binary	custom	TRUE	TRUE	FALSE	-100	-1	302.7	317	TRUE	0.0341634908083361	0.705144040514715	0.138528650041553	527	0.664618880837224	27	19.28897425998	95.627318834886	12	8079	98.2931898869574	0.451953619440901	10	0.039423229812625	5646500	4976500	0.0357510481785544	5760000	5060000	33
20211126 040130	binary	custom	TRUE	TRUE	FALSE	-100	-1	27.8	227	TRUE	0.143106756360852	0.827018531127251	0.194292197552859	878	40.2822332599317	237	9.1485788335558	93.8631148682907	50	236	83.7342006359249	0.0550600675590686	10	0.0482003129890454	4415500	4245500	0.0578192864854008	4413750	4163750	34
20211126 040847	binary	custom	TRUE	TRUE	FALSE	-100	-1	115.4	288	TRUE	0.0452643418182852	0.268260503403144	0.622740607177839	603	35.0605671020458	186	187.516973640304	183.39010435855	12	17818	97.750447856728	0.99672876609891	10	0.0502389261295641	4866000	4291000	0.0549069819989455	4848750	4048750	35
20211126 041315	binary	custom	TRUE	TRUE	FALSE	-100	-1	68.3	247	TRUE	0.0844724585483782	0.999675826363964	0.891125599420047	869	7.05421121965628	250	194.66119851917	36.7924589733593	252	822	67.4485924276523	0.965033695792023	10	0.042983270986585	5429750	5364750	0.0442703756705414	5387500	5287500	36
20211126 041537	binary	custom	TRUE	TRUE	FALSE	-100	-1	24.5	225	TRUE	0.158683690582402	0.870305344733642	0.149073354652501	33	32.8378237507422	164	67.9639937530737	76.4676809019875	6453	31	34.7331191296689	0.924353310710983	10	0.0467039910287632	3279000	3489000	0.038998100307131	3225000	3775000	37
20211126 042440	binary	custom	TRUE	TRUE	FALSE	-100	-1	1152.7	344	TRUE	0.027608868760406	0.860773703557788	0.787999046365148	724	24.4258827567683	16	11.4668382401578	16.9235516118351	18190	2	23.7886587772518	0.115468814981228	10	0.0368891901617668	5020000	4665000	0.0399186563229645	5037500	4737500	38
20211126 043056	binary	custom	TRUE	TRUE	FALSE	-100	-1	83.4	233	TRUE	0.121062012989074	0.501205814392306	0.405219476256752	949	4.98362391459523	39	102.960974425077	185.886317599798	8856	22	31.4506590180099	0.867693632920273	10	0.0474772580820634	4368500	4178500	0.0491493225544593	4408750	4108750	39
20211126 043614	binary	custom	TRUE	TRUE	FALSE	-100	-1	72.1	241	TRUE	0.0956660823401762	0.236075291255256	0.749050829253392	142	17.2108876239508	132	132.348300848389	0.896486243000254	24	1594	91.1588657130487	0.178311131299008	10	0.0430075401906388	5396125	5081125	0.0524047433740889	5472500	4872500	40
20211126 044035	binary	custom	TRUE	TRUE	FALSE	-100	-1	44.1	224	TRUE	0.164094527545677	0.614001124335761	0.918355110624738	330	25.4305151543353	170	20.7048444714079	106.337378753357	121	1035	74.8135360296366	0.583941832821612	10	0.0395512707857364	5817375	5592375	0.0376088975923276	6082500	5632500	41
20211126 044851	binary	custom	TRUE	TRUE	FALSE	-100	-1	100.5	260	TRUE	0.0660318442781273	0.542445372032639	0.952737796334114	765	22.769623501534	199	19.2258996871638	91.3631339807209	171	627	71.3266200259107	0.499689117318365	10	0.0413388231946641	6075375	5685375	0.0349392851464103	6031250	5581250	42
20211126 045200	binary	custom	TRUE	TRUE	FALSE	-100	-1	63.6	226	TRUE	0.150468173878268	0.754552571601831	0.617171955477489	9	10.4587543811358	39	10.1462651079132	74.981737216356	455	273	61.5449958174257	0.579443686164212	10	0.0341559756638464	5813250	5368250	0.0342446837890086	5935000	5285000	43
20211126 045715	binary	custom	TRUE	TRUE	FALSE	-100	-1	56.8	224	TRUE	0.166469669389286	0.275649888954181	0.895186173329511	689	3.36053096023757	138	44.4831723199633	108.33928189082	82	2126	78.6911583704349	0.812622922498197	10	0.0335458980860804	6029375	5374375	0.0402617726561389	6236250	5636250	44
20211126 050223	binary	custom	TRUE	TRUE	FALSE	-100	-1	76.5	240	TRUE	0.0981127514889742	0.647903749963614	0.919983882871884	511	3.59931461570855	241	39.2216440896105	122.764862815836	389	459	63.1148061621597	0.832407284242491	10	0.0379846518206087	6016375	5646375	0.0373662055517896	6068750	5568750	45
20211126 050845	binary	custom	TRUE	TRUE	FALSE	-100	-1	41.9	229	TRUE	0.136250840763636	0.579730659892987	0.947683920363403	570	34.4404755515959	114	60.6976100658794	42.3834462780118	77	1978	79.3711536553632	0.709961144617052	10	0.0425179717640364	5639250	5554250	0.0391068932908204	5908750	5808750	46
20211126 051421	binary	custom	TRUE	TRUE	FALSE	-100	-1	83.6	251	TRUE	0.077551303630399	0.225172923621163	0.922296125064158	618	44.0362527259845	105	42.3107536916634	46.0085948111011	71	2655	80.0740478819131	0.878421629206506	10	0.0425924531144084	5593125	5218125	0.0396257521361084	5681250	5581250	47
20211126 052053	binary	custom	TRUE	TRUE	FALSE	-100	-1	56.3	233	TRUE	0.121084505957485	0.439691348652022	0.968016234376042	441	25.9799138816876	195	61.9512577765126	168.834025990019	52	1877	83.3077770393608	0.455011360237559	10	0.0429288744947403	5732875	5337875	0.0412994903467149	5881250	5681250	48
20211126 052439	binary	custom	TRUE	TRUE	FALSE	-100	-1	56.4	233	TRUE	0.120662311695044	0.823827439820405	0.969531720457246	655	11.2957174099953	98	59.5720885992974	55.3099806239063	43	3702	85.0979142437998	0.74194856538808	10	0.0390759291339242	6178375	5688375	0.0372490438770472	6186250	5686250	49
20211126 052837	binary	custom	TRUE	TRUE	FALSE	-100	-1	36.5	225	TRUE	0.156800195712655	0.626956182640595	0.863830378463563	570	16.4012782741041	218	58.6658326532575	11.8967094310788	147	383	72.8426907146828	0.261987433648922	10	0.0403002686349828	5960500	5545500	0.0395671712987372	6090000	5790000	50
20211126 053149	binary	custom	TRUE	TRUE	FALSE	-100	-1	48.2	227	TRUE	0.144504749829815	0.651383289477566	0.931240795331772	544	15.0952045412054	40	56.032448955634	95.3416706731968	160	634	71.9721711591429	0.472601766136175	10	0.0391353468404007	5804500	5464500	0.0404124090950934	5963750	5663750	51
20211126 053517	binary	custom	TRUE	TRUE	FALSE	-100	-1	23.6	220	TRUE	0.199375604252356	0.686304782966941	0.84519796606724	401	33.947014237147	232	57.3824622946039	41.709308429772	122	1051	74.7126043216919	0.597719208872301	10	0.0403404383520374	5434500	5289500	0.0385545596813202	5691250	5841250	52
20211126 053857	binary	custom	TRUE	TRUE	FALSE	-100	-1	25.7	220	TRUE	0.195886328174552	0.88399158031507	0.863164422101685	631	32.6737748541761	217	50.4413444956063	16.330124716414	240	582	67.9516545014055	0.650984016527896	10	0.0437038152862511	5617125	5387125	0.0403454595666692	5773750	5523750	53
